系统,线路,from_station,to_station,from_id,to_id,distance(km),year of segment opening
深圳地铁,地铁16号线(龙坪线),园山西坑,安良,900000095071025,900000095071026,1.268,
深圳地铁,地铁16号线(龙坪线),安良,福坑,900000095071026,900000095071027,0.965,
深圳地铁,地铁16号线(龙坪线),福坑,大康,900000095071027,900000095071028,0.777,
深圳地铁,地铁16号线(龙坪线),大康,园山,900000095071028,900000095071029,1.176,
深圳地铁,地铁16号线(龙坪线),园山,大安,900000095071029,900000095071030,1.077,
深圳地铁,地铁16号线(龙坪线),大安,吉溪,900000095071030,900000095071031,0.699,
深圳地铁,地铁16号线(龙坪线),吉溪,金源,900000095071031,900000095071032,1.553,
深圳地铁,地铁16号线(龙坪线),金源,大运,900000095071032,440300024060007,1.321,
深圳地铁,地铁16号线(龙坪线),大运,大运中心,440300024060007,900000095071002,1.301,
深圳地铁,地铁16号线(龙坪线),大运中心,龙城公园,900000095071002,900000095071003,1.056,
深圳地铁,地铁16号线(龙坪线),龙城公园,黄阁坑,900000095071003,900000095071004,1.624,
深圳地铁,地铁16号线(龙坪线),黄阁坑,愉园,900000095071004,900000095071005,1.155,
深圳地铁,地铁16号线(龙坪线),愉园,回龙埔,900000095071005,900000095071006,1.285,
深圳地铁,地铁16号线(龙坪线),回龙埔,尚景,900000095071006,900000095071007,0.793,
深圳地铁,地铁16号线(龙坪线),尚景,盛平,900000095071007,900000095071008,0.966,
深圳地铁,地铁16号线(龙坪线),盛平,龙园,900000095071008,900000095071009,1.402,
深圳地铁,地铁16号线(龙坪线),龙园,双龙,900000095071009,440300024060002,1.163,
深圳地铁,地铁16号线(龙坪线),双龙,新塘围,440300024060002,900000095071011,0.997,
深圳地铁,地铁16号线(龙坪线),新塘围,龙东,900000095071011,900000095071012,1.111,
深圳地铁,地铁16号线(龙坪线),龙东,宝龙同乐,900000095071012,900000095071013,2.129,
深圳地铁,地铁16号线(龙坪线),宝龙同乐,坪山,900000095071013,900000095071014,1.602,
深圳地铁,地铁16号线(龙坪线),坪山,新和,900000095071014,900000095071015,0.874,
深圳地铁,地铁16号线(龙坪线),新和,六和,900000095071015,900000095071016,0.826,
深圳地铁,地铁16号线(龙坪线),六和,坪山围,900000095071016,900000095033005,0.795,
深圳地铁,地铁16号线(龙坪线),坪山围,坪环,900000095033005,900000095071018,0.739,
深圳地铁,地铁16号线(龙坪线),坪环,东纵纪念馆,900000095071018,900000095071019,0.875,
深圳地铁,地铁16号线(龙坪线),东纵纪念馆,沙壆,900000095071019,900000095071020,1.007,
深圳地铁,地铁16号线(龙坪线),沙壆,燕子湖,900000095071020,900000095071021,1.09,
深圳地铁,地铁16号线(龙坪线),燕子湖,石井,900000095071021,900000095071022,0.876,
深圳地铁,地铁16号线(龙坪线),石井,技术大学,900000095071022,900000095071023,1.996,
深圳地铁,地铁16号线(龙坪线),技术大学,田心,900000095071023,900000095071024,1.435,
