系统,线路,from_station,to_station,from_id,to_id,distance(km),year of segment opening
温州轨道交通,轨道交通S2线,清东路,旭阳路,900000153401001,900000153401002,2.824,
温州轨道交通,轨道交通S2线,旭阳路,万岙,900000153401002,900000153401003,2.916,
温州轨道交通,轨道交通S2线,万岙,盐盆,900000153401003,900000153401004,2.718,
温州轨道交通,轨道交通S2线,盐盆,新望,900000153401004,900000153401005,2.837,
温州轨道交通,轨道交通S2线,新望,翁垟,900000153401005,900000153401006,2.188,
温州轨道交通,轨道交通S2线,翁垟,柳市东,900000153401006,900000153401007,3.852,
温州轨道交通,轨道交通S2线,柳市东,灵昆,900000153401007,900000109349022,7.563,
温州轨道交通,轨道交通S2线,灵昆,机场,900000109349022,900000109349023,6.883,
温州轨道交通,轨道交通S2线,机场,永兴,900000109349023,900000153401010,3.108,
温州轨道交通,轨道交通S2线,永兴,沙城,900000153401010,900000153401011,2.386,
温州轨道交通,轨道交通S2线,沙城,天河,900000153401011,900000153401012,2.954,
温州轨道交通,轨道交通S2线,天河,海城,900000153401012,900000153401013,2.762,
温州轨道交通,轨道交通S2线,海城,鲍田,900000153401013,900000153401014,4.653,
温州轨道交通,轨道交通S2线,鲍田,大典下,900000153401014,900000153401015,2.46,
温州轨道交通,轨道交通S2线,大典下,汀田,900000153401015,900000153401016,1.396,
温州轨道交通,轨道交通S2线,汀田,莘塍,900000153401016,900000153401017,2.085,
温州轨道交通,轨道交通S2线,莘塍,上望,900000153401017,900000153401018,1.741,
温州轨道交通,轨道交通S2线,上望,上东路,900000153401018,900000153401019,1.167,
温州轨道交通,轨道交通S2线,上东路,东山,900000153401019,900000153401020,1.679,
