系统,线路,from_station,to_station,from_id,to_id,distance(km),year of segment opening
武汉地铁,轨道交通1号线,汉口北,滠口新城,420100034364030,420100034364029,3.287,
武汉地铁,轨道交通1号线,滠口新城,滕子岗,420100034364029,420100034364028,1.118,
武汉地铁,轨道交通1号线,滕子岗,堤角,420100034364028,420100034364027,1.011,
武汉地铁,轨道交通1号线,堤角,新荣,420100034364027,420100034364026,1.06,
武汉地铁,轨道交通1号线,新荣,丹水池,420100034364026,420100034364025,1.602,
武汉地铁,轨道交通1号线,丹水池,徐州新村,420100034364025,420100034364024,1.518,
武汉地铁,轨道交通1号线,徐州新村,二七路,420100034364024,420100034364023,0.792,
武汉地铁,轨道交通1号线,二七路,头道街,420100034364023,420100034364022,0.926,
武汉地铁,轨道交通1号线,头道街,黄浦路,420100034364022,420100034364021,1.183,
武汉地铁,轨道交通1号线,黄浦路,三阳路,420100034364021,420100034364020,1.259,
武汉地铁,轨道交通1号线,三阳路,大智路,420100034364020,420100024335017,0.911,
武汉地铁,轨道交通1号线,大智路,循礼门,420100024335017,420100024404014,1.19,
武汉地铁,轨道交通1号线,循礼门,友谊路,420100024404014,420100034364017,0.873,
武汉地铁,轨道交通1号线,友谊路,利济北路,420100034364017,420100034364016,0.881,
武汉地铁,轨道交通1号线,利济北路,崇仁路,420100034364016,420100034364015,0.879,
武汉地铁,轨道交通1号线,崇仁路,硚口路,420100034364015,420100034364014,1.128,
武汉地铁,轨道交通1号线,硚口路,太平洋,420100034364014,420100034364013,0.969,
武汉地铁,轨道交通1号线,太平洋,宗关,420100034364013,420100024331016,1.663,
武汉地铁,轨道交通1号线,宗关,汉西一路,420100024331016,420100034364011,0.824,
武汉地铁,轨道交通1号线,汉西一路,古田四路,420100034364011,420100034364010,0.819,
武汉地铁,轨道交通1号线,古田四路,古田三路,420100034364010,420100034364009,0.79,
武汉地铁,轨道交通1号线,古田三路,古田二路,420100034364009,420100034364008,0.9,
武汉地铁,轨道交通1号线,古田二路,古田一路,420100034364008,420100034364007,1.516,
武汉地铁,轨道交通1号线,古田一路,舵落口,420100034364007,420100034364006,1.433,
武汉地铁,轨道交通1号线,舵落口,竹叶海,420100034364006,420100034364005,0.785,
武汉地铁,轨道交通1号线,竹叶海,额头湾,420100034364005,420100034364004,0.847,
武汉地铁,轨道交通1号线,额头湾,五环大道,420100034364004,420100034364003,1.632,
武汉地铁,轨道交通1号线,五环大道,东吴大道,420100034364003,420100034364002,1.278,
武汉地铁,轨道交通1号线,东吴大道,码头潭公园,420100034364002,420100024335032,0.883,
武汉地铁,轨道交通1号线,码头潭公园,三店,420100024335032,420100034364032,1.951,
武汉地铁,轨道交通1号线,三店,径河,420100034364032,420100034364031,1.112,
