系统,线路,站名,站间距(km),累计里程(km),经度,纬度,station ID,pinyin,year of opening
武汉地铁,轨道交通4号线,柏林,0.0,0.0,113.994891,30.582229,420100034395030,,
武汉地铁,轨道交通4号线,新庙村,1.412,1.412,114.009379,30.579826,420100034395031,,
武汉地铁,轨道交通4号线,临嶂大道,2.045,3.457,114.028590,30.571790,420100034395032,,
武汉地铁,轨道交通4号线,蔡甸广场,1.266,4.723,114.041735,30.573054,420100034395033,,
武汉地铁,轨道交通4号线,凤凰路,2.078,6.801,114.060324,30.563412,420100034395034,,
武汉地铁,轨道交通4号线,新农,1.422,8.223,114.074791,30.560522,420100034395035,,
武汉地铁,轨道交通4号线,知音,1.676,9.899,114.091765,30.556845,420100034395036,,
武汉地铁,轨道交通4号线,集贤,2.104,12.003,114.112285,30.550087,420100034395037,,
武汉地铁,轨道交通4号线,新天,1.366,13.369,114.126339,30.552199,420100034395038,,
武汉地铁,轨道交通4号线,黄金口,2.25,15.619,114.145387,30.564055,420100034395017,,
武汉地铁,轨道交通4号线,孟家铺,2.732,18.351,114.173901,30.564990,420100034395018,,
武汉地铁,轨道交通4号线,永安堂,1.447,19.798,114.188919,30.566446,420100034395019,,
武汉地铁,轨道交通4号线,玉龙路,1.214,21.012,114.201403,30.564519,420100034395020,,
武汉地铁,轨道交通4号线,王家湾,0.897,21.909,114.210348,30.562121,420100024331017,,
武汉地铁,轨道交通4号线,十里铺,0.925,22.834,114.219444,30.559320,420100034395022,,
武汉地铁,轨道交通4号线,七里庙,1.164,23.998,114.231208,30.556688,420100034395023,,
武汉地铁,轨道交通4号线,五里墩,0.994,24.992,114.241105,30.553977,420100034395024,,
武汉地铁,轨道交通4号线,汉阳火车站,1.152,26.144,114.252849,30.551732,420100034395025,,
武汉地铁,轨道交通4号线,钟家村,1.303,27.447,114.266158,30.549283,420100024335011,,
武汉地铁,轨道交通4号线,拦江路,0.759,28.206,114.269012,30.542917,420100034395027,,
武汉地铁,轨道交通4号线,复兴路,3.23,31.436,114.301225,30.534309,420100034395028,,
武汉地铁,轨道交通4号线,首义路,0.704,32.14,114.308531,30.533612,420100034395029,,
武汉地铁,轨道交通4号线,武昌火车站,0.828,32.968,114.316449,30.530624,420100034395002,,
武汉地铁,轨道交通4号线,梅苑小区,0.93,33.898,114.326149,30.530916,420100034395003,,
武汉地铁,轨道交通4号线,中南路,0.983,34.881,114.332959,30.537528,420100024404008,,
武汉地铁,轨道交通4号线,洪山广场,0.923,35.804,114.336354,30.545298,420100024404009,,
武汉地铁,轨道交通4号线,楚河汉街,1.067,36.871,114.341415,30.553848,420100034395006,,
武汉地铁,轨道交通4号线,青鱼嘴,1.365,38.236,114.349884,30.563720,420100034395007,,
武汉地铁,轨道交通4号线,东亭,0.923,39.159,114.355809,30.570267,420100034395008,,
武汉地铁,轨道交通4号线,岳家嘴,0.965,40.124,114.362010,30.577109,420100034395009,,
武汉地铁,轨道交通4号线,铁机路,1.002,41.126,114.368895,30.583897,420100034395010,,
武汉地铁,轨道交通4号线,罗家港,1.022,42.148,114.371540,30.592800,420100034395011,,
武汉地铁,轨道交通4号线,园林路,1.038,43.186,114.378123,30.600224,420100034395012,,
武汉地铁,轨道交通4号线,仁和路,1.185,44.371,114.389090,30.605179,420100034395013,,
武汉地铁,轨道交通4号线,工业四路,1.634,46.005,114.405848,30.607996,420100034395014,,
武汉地铁,轨道交通4号线,杨春湖,1.049,47.054,114.416353,30.605300,420100034395015,,
武汉地铁,轨道交通4号线,武汉火车站,0.802,47.856,114.424376,30.607375,420100034395016,,
