系统,线路,站名,站间距(km),累计里程(km),经度,纬度,station ID,pinyin,year of opening
厦门轨道交通,地铁3号线,厦门火车站,0.0,0.0,118.114589,24.469372,900000076914026,,
厦门轨道交通,地铁3号线,湖滨东路,0.653,0.653,118.110656,24.474027,900000055907005,,
厦门轨道交通,地铁3号线,体育中心,1.277,1.93,118.105603,24.484551,900000076914024,,
厦门轨道交通,地铁3号线,人才中心,0.568,2.498,118.103277,24.489196,900000076914023,,
厦门轨道交通,地铁3号线,湖里公园,1.963,4.461,118.105518,24.506732,900000076914022,,
厦门轨道交通,地铁3号线,华荣路,0.655,5.116,118.109289,24.511515,900000076914021,,
厦门轨道交通,地铁3号线,火炬园,0.959,6.075,118.118751,24.512022,900000055907011,,
厦门轨道交通,地铁3号线,小东山,0.766,6.841,118.125966,24.514116,900000076914019,,
厦门轨道交通,地铁3号线,安兜,1.321,8.162,118.138383,24.517800,900000076914018,,
厦门轨道交通,地铁3号线,坂尚,0.86,9.022,118.146742,24.519206,900000076914017,,
厦门轨道交通,地铁3号线,湖里创新园,1.038,10.06,118.156149,24.522939,900000076914016,,
厦门轨道交通,地铁3号线,五缘湾,1.531,11.591,118.167067,24.532477,900000076914015,,
厦门轨道交通,地铁3号线,国际博览中心,4.957,16.548,118.208431,24.556380,900000076914014,,
厦门轨道交通,地铁3号线,东界,1.459,18.007,118.219450,24.564844,900000076914013,,
厦门轨道交通,地铁3号线,洪坑,0.97,18.977,118.226167,24.571068,900000076914012,,
厦门轨道交通,地铁3号线,林前,0.807,19.784,118.231969,24.576048,900000076914011,,
厦门轨道交通,地铁3号线,鼓锣,1.263,21.047,118.244170,24.578474,900000076914010,,
厦门轨道交通,地铁3号线,翔安市民公园,0.946,21.993,118.253521,24.578768,900000076914009,,
厦门轨道交通,地铁3号线,浦边,0.997,22.99,118.263250,24.580246,900000076914008,,
厦门轨道交通,地铁3号线,后村,0.839,23.829,118.271548,24.580158,900000076914007,,
厦门轨道交通,地铁3号线,蔡厝,1.183,25.012,118.279547,24.572393,900000076914006,,
