系统,线路,站名,站间距(km),累计里程(km),经度,纬度,station ID,pinyin,year of opening
港铁,观塘线,黄埔,0.0,0.0,114.194626,22.302199,810000020821017,,
港铁,观塘线,何文田,0.862,0.862,114.187751,22.306628,810000020821018,,
港铁,观塘线,油麻地,1.308,2.17,114.175658,22.310264,810000020821002,,
港铁,观塘线,旺角,0.745,2.915,114.174280,22.316842,810000020821003,,
港铁,观塘线,太子,0.577,3.492,114.173219,22.321937,810000020821004,,
港铁,观塘线,石硖尾,0.803,4.295,114.173690,22.329145,810000020821005,,
港铁,观塘线,九龙塘,0.924,5.219,114.180820,22.334207,810000020809004,,
港铁,观塘线,乐富,1.172,6.391,114.192180,22.335052,810000020821007,,
港铁,观塘线,黄大仙,0.817,7.208,114.198946,22.338902,810000020821008,,
港铁,观塘线,钻石山,0.767,7.975,114.206220,22.337385,810000020821009,,
港铁,观塘线,彩虹,0.995,8.97,114.213861,22.331892,810000020821010,,
港铁,观塘线,九龙湾,1.337,10.307,114.218878,22.320799,810000020821011,,
港铁,观塘线,牛头角,1.051,11.358,114.224017,22.312629,810000020821012,,
港铁,观塘线,观塘,0.826,12.184,114.231268,22.309430,810000020821013,,
港铁,观塘线,蓝田,0.924,13.108,114.237808,22.303733,810000020821014,,
港铁,观塘线,油塘,1.053,14.161,114.241935,22.295066,810000020804006,,
港铁,观塘线,调景岭,1.711,15.872,114.257144,22.301297,810000020804007,,
