系统,线路,from_station,to_station,from_id,to_id,distance(km),year of segment opening
郑州地铁,地铁3号线,省体育中心,王砦,900000075776001,900000075776002,1.364,
郑州地铁,地铁3号线,王砦,兴隆铺,900000075776002,900000075776003,1.393,
郑州地铁,地铁3号线,兴隆铺,同乐,900000075776003,900000075776004,1.506,
郑州地铁,地铁3号线,同乐,南阳新村,900000075776004,900000075776005,1.224,
郑州地铁,地铁3号线,南阳新村,海滩寺,900000075776005,900000058317003,1.492,
郑州地铁,地铁3号线,海滩寺,大石桥·市妇幼保健院,900000058317003,900000075776007,1.129,
郑州地铁,地铁3号线,大石桥·市妇幼保健院,人民公园,900000075776007,900000075776008,0.809,
郑州地铁,地铁3号线,人民公园,二七广场,900000075776008,410100022629013,0.865,
郑州地铁,地铁3号线,二七广场,西大街,410100022629013,900000075776010,1.006,
郑州地铁,地铁3号线,西大街,东大街·市第一人民医院,900000075776010,410100021064010,0.612,
郑州地铁,地铁3号线,东大街·市第一人民医院,郑州文庙,410100021064010,900000075776012,0.797,
郑州地铁,地铁3号线,郑州文庙,博览中心,900000075776012,900000075776013,1.128,
郑州地铁,地铁3号线,博览中心,凤凰台,900000075776013,900000075776014,0.929,
郑州地铁,地铁3号线,凤凰台,东十里铺,900000075776014,900000075776015,1.108,
郑州地铁,地铁3号线,东十里铺,通泰路,900000075776015,900000075776016,0.677,
郑州地铁,地铁3号线,通泰路,西周,900000075776016,900000075776017,1.232,
郑州地铁,地铁3号线,西周,东周,900000075776017,900000075776018,1.097,
郑州地铁,地铁3号线,东周,省骨科医院,900000075776018,900000058317015,1.385,
郑州地铁,地铁3号线,省骨科医院,圃田西,900000058317015,900000075776020,1.82,
郑州地铁,地铁3号线,圃田西,营岗,900000075776020,900000075776021,2.469,
郑州地铁,地铁3号线,营岗,潮河,900000075776021,900000075776022,2.9,
郑州地铁,地铁3号线,潮河,滨河新城,900000075776022,900000075776023,0.876,
郑州地铁,地铁3号线,滨河新城,司赵·市七院滨河院区,900000075776023,900000075776024,1.201,
郑州地铁,地铁3号线,司赵·市七院滨河院区,滨河新城南,900000075776024,900000075776025,0.998,
