系统,线路,from_station,to_station,from_id,to_id,distance(km),year of segment opening
郑州地铁,城郊线,南四环(贾河),十八里河,900000060882001,900000060882002,1.645,
郑州地铁,城郊线,十八里河,沙窝李,900000060882002,900000060882003,2.342,
郑州地铁,城郊线,沙窝李,双湖大道,900000060882003,900000060882004,1.711,
郑州地铁,城郊线,双湖大道,小乔,900000060882004,900000060882005,1.686,
郑州地铁,城郊线,小乔,华南城西,900000060882005,900000060882006,2.845,
郑州地铁,城郊线,华南城西,华南城,900000060882006,900000060882007,2.123,
郑州地铁,城郊线,华南城,华南城东,900000060882007,900000060882008,2.319,
郑州地铁,城郊线,华南城东,孟庄,900000060882008,900000060882009,4.138,
郑州地铁,城郊线,孟庄,港区北,900000060882009,900000060882010,1.799,
郑州地铁,城郊线,港区北,康平湖,900000060882010,900000060882011,1.393,
郑州地铁,城郊线,康平湖,兰河公园,900000060882011,900000060882012,1.161,
郑州地铁,城郊线,兰河公园,恩平湖,900000060882012,900000060882013,0.938,
郑州地铁,城郊线,恩平湖,综合保税区,900000060882013,900000060882014,2.021,
郑州地铁,城郊线,综合保税区,新郑机场,900000060882014,900000060882015,2.624,
郑州地铁,城郊线,新郑机场,新郑机场,900000060882015,900000060882015,0.0,
郑州地铁,城郊线,新郑机场,机场东,900000060882015,900000060882017,4.743,
郑州地铁,城郊线,机场东,港区会展,900000060882017,900000060882018,2.564,
郑州地铁,城郊线,港区会展,郑州航空港站,900000060882018,900000060882019,1.318,
