系统,线路,站名,站间距(km),累计里程(km),经度,纬度,station ID,pinyin,year of opening
广州地铁,APM线,广州塔,0.0,0.0,113.323464,23.106483,440100023025002,,
广州地铁,APM线,海心沙,0.571,0.571,113.324412,23.111545,440100023025003,,
广州地铁,APM线,大剧院,0.511,1.082,113.32446,23.116138,440100023025004,,
广州地铁,APM线,花城大道,0.344,1.426,113.324718,23.119223,440100023025005,,
广州地铁,APM线,妇儿中心,0.371,1.797,113.324558,23.122553,440100023025006,,
广州地铁,APM线,黄埔大道,0.501,2.298,113.32449,23.127054,440100023025007,,
广州地铁,APM线,天河南,0.481,2.779,113.324479,23.131384,440100023025008,,
广州地铁,APM线,体育中心南,0.323,3.102,113.324309,23.134281,440100023025009,,
广州地铁,APM线,林和西,0.789,3.891,113.323902,23.141363,440100023025010,,
广州地铁,佛山地铁2号线,广州南站,0.0,0.0,113.269815,22.988773,440100023308002,,
广州地铁,佛山地铁2号线,林岳东(2号线),2.137,2.137,113.249693,22.993909,900000108890016,,
广州地铁,佛山地铁2号线,林岳西,1.283,3.42,113.237161,22.993744,900000108890015,,
广州地铁,佛山地铁2号线,石洲,2.181,5.601,113.216131,22.990593,900000108890014,,
广州地铁,佛山地铁2号线,仙涌,2.015,7.616,113.198254,22.983006,900000108890013,,
广州地铁,佛山地铁2号线,花卉世界,3.926,11.542,113.16135,22.973388,900000108890012,,
广州地铁,佛山地铁2号线,登洲,1.437,12.979,113.148863,22.979296,900000108890011,,
广州地铁,佛山地铁2号线,湾华,2.254,15.233,113.131767,22.992076,900000108890010,,
广州地铁,佛山地铁2号线,石梁,1.334,16.567,113.118747,22.992691,900000108890009,,
广州地铁,佛山地铁2号线,魁奇路,1.047,17.614,113.108612,22.993964,440100023043002,,
广州地铁,佛山地铁2号线,沙岗,1.498,19.112,113.094247,22.996518,900000108890007,,
广州地铁,佛山地铁2号线,石湾,1.487,20.599,113.083286,23.005298,900000108890006,,
广州地铁,佛山地铁2号线,张槎,1.714,22.313,113.067748,23.011037,900000108890005,,
广州地铁,佛山地铁2号线,智慧新城,1.262,23.575,113.055418,23.011163,900000108890004,,
广州地铁,佛山地铁2号线,绿岛湖,2.396,25.971,113.034239,23.001982,900000108890003,,
广州地铁,佛山地铁2号线,湖涌,2.341,28.312,113.011388,23.00297,900000108890002,,
广州地铁,佛山地铁2号线,南庄,2.28,30.592,113.00655,22.982952,900000108890001,,
广州地铁,地铁10号线,西塱,0.0,0.0,113.231514,23.065063,440100023043015,,
广州地铁,地铁10号线,花围,1.621,1.621,113.245092,23.057549,900000094220018,,
广州地铁,地铁10号线,东沙,1.948,3.569,113.264127,23.057041,900000094220017,,
广州地铁,地铁10号线,大干围,2.023,5.592,113.283538,23.060525,900000094220016,,
广州地铁,地铁10号线,工业大道南,0.98,6.572,113.288847,23.067856,900000094220015,,
广州地铁,地铁10号线,东晓南,0.668,7.24,113.294174,23.071333,440100023308008,,
广州地铁,地铁10号线,五凤,1.203,8.443,113.29607,23.082006,900000074491033,,
广州地铁,地铁10号线,中大南门,0.773,9.216,113.296317,23.088952,900000094220012,,
广州地铁,地铁10号线,滨江东路,1.744,10.96,113.291848,23.104084,900000094220011,,
广州地铁,地铁10号线,东湖,1.27,12.23,113.288583,23.115102,440100023053011,,
广州地铁,地铁10号线,五羊邨,2.414,14.644,113.311641,23.119762,440100023037013,,
广州地铁,地铁10号线,杨箕东,0.673,15.317,113.315841,23.124419,900000094220007,,
广州地铁,地铁11号线,龙潭,0.0,0.0,113.340902,23.079237,900000074491031,,
广州地铁,地铁11号线,赤沙,2.393,2.393,113.363512,23.084747,900000074491001,,
广州地铁,地铁11号线,琶洲,1.565,3.958,113.3667,23.098516,440100023047013,,
广州地铁,地铁11号线,员村,1.914,5.872,113.363756,23.115515,440100023037017,,
广州地铁,地铁11号线,天河公园,1.044,6.916,113.364025,23.124903,900000046003032,,
广州地铁,地铁11号线,华景路,1.116,8.032,113.3601,23.134269,900000074491005,,
广州地铁,地铁11号线,华师,1.652,9.684,113.34533,23.14029,440100023033015,,
广州地铁,地铁11号线,龙口西,0.794,10.478,113.337669,23.141471,900000074491007,,
广州地铁,地铁11号线,广州东站,1.719,12.197,113.324493,23.151077,440100023031013,,
广州地铁,地铁11号线,沙河,1.21,13.407,113.312753,23.152429,440100023053006,,
广州地铁,地铁11号线,云台花园,2.072,15.479,113.29255,23.153902,900000074491011,,
广州地铁,地铁11号线,大金钟路,1.821,17.3,113.27691,23.161734,900000074491012,,
广州地铁,地铁11号线,中医药大学,0.935,18.235,113.269091,23.157364,900000074491013,,
广州地铁,地铁11号线,梓元岗,0.753,18.988,113.263079,23.153457,900000074491014,,
广州地铁,地铁11号线,流花,1.625,20.613,113.257195,23.139884,900000074491016,,
广州地铁,地铁11号线,彩虹桥,1.224,21.837,113.246524,23.134902,440100023047027,,
广州地铁,地铁11号线,中山八,1.651,23.488,113.233357,23.126307,440100023037004,,
广州地铁,地铁11号线,如意坊,1.26,24.748,113.23111,23.115164,440100023053018,,
广州地铁,地铁11号线,石围塘,1.42,26.168,113.224847,23.10377,900000074491020,,
广州地铁,地铁11号线,芳村,1.267,27.435,113.23587,23.09857,440100023049014,,
广州地铁,地铁11号线,大冲口,1.386,28.821,113.244551,23.089003,900000074491022,,
广州地铁,地铁11号线,沙涌,0.694,29.515,113.246755,23.083097,440100023043018,,
广州地铁,地铁11号线,鹤洞东,1.391,30.906,113.251183,23.071265,900000074491024,,
广州地铁,地铁11号线,棣园,1.351,32.257,113.264268,23.072908,900000074491025,,
广州地铁,地铁11号线,燕岗,0.828,33.085,113.271988,23.075142,440100023043020,,
广州地铁,地铁11号线,江泰路,1.18,34.265,113.28057,23.082231,440100023308009,,
广州地铁,地铁11号线,五凤,1.586,35.851,113.29607,23.082006,900000074491033,,
广州地铁,地铁11号线,逸景路,0.924,36.775,113.305099,23.081993,900000074491028,,
广州地铁,地铁11号线,上涌,0.83,37.605,113.312873,23.079844,900000074491029,,
广州地铁,地铁11号线,大塘,0.924,38.529,113.321677,23.077974,440100023033008,,
广州地铁,地铁12号线,二沙岛,0.0,0.0,113.303966,23.109858,900000226803009,,
广州地铁,地铁12号线,赤岗塔,2.284,2.284,113.324659,23.102133,900000226817002,,
广州地铁,地铁12号线,赤沙北,2.631,4.915,113.346854,23.090174,900000226817004,,
广州地铁,地铁12号线,赤沙,1.808,6.723,113.363512,23.084747,900000074491001,,
广州地铁,地铁12号线,北山,1.206,7.929,113.37529,23.085225,900000226817006,,
广州地铁,地铁12号线,官洲,1.949,9.878,113.37696,23.067763,440100023035006,,
广州地铁,地铁12号线,大学城北,1.418,11.296,113.385795,23.057937,440100023035007,,
广州地铁,地铁12号线,大学城南,2.206,13.502,113.400478,23.043408,440100023035008,,
广州地铁,地铁13号线,天河公园,0.0,0.0,113.364025,23.124903,900000046003032,,
广州地铁,地铁13号线,棠下,1.804,1.804,113.381651,23.125605,900000071578013,,
广州地铁,地铁13号线,车陂,1.521,3.325,113.396489,23.124704,440100023035003,,
广州地铁,地铁13号线,天河珠村,2.63,5.955,113.420673,23.116653,900000071578015,,
广州地铁,地铁13号线,鱼珠,2.158,8.113,113.432261,23.100431,440100023037022,,
广州地铁,地铁13号线,裕丰围,2.486,10.599,113.455795,23.094844,900000043742025,,
广州地铁,地铁13号线,双岗,1.896,12.495,113.474331,23.094468,900000071578003,,
广州地铁,地铁13号线,南海神庙,2.648,15.143,113.497434,23.083718,900000071578004,,
广州地铁,地铁13号线,夏园,2.144,17.287,113.518376,23.082901,440100023037034,,
广州地铁,地铁13号线,南岗,2.73,20.017,113.541438,23.095253,900000071578006,,
广州地铁,地铁13号线,沙村,3.418,23.435,113.570399,23.11059,900000071578007,,
广州地铁,地铁13号线,白江,2.938,26.373,113.595627,23.123235,900000071578008,,
广州地铁,地铁13号线,新塘,1.308,27.681,113.604472,23.131731,900000071578009,,
广州地铁,地铁13号线,官湖,3.338,31.019,113.636569,23.137226,900000071578010,,
广州地铁,地铁13号线,新沙,1.314,32.333,113.649417,23.136863,900000071578011,,
广州地铁,地铁14号线,乐嘉路,0.0,0.0,113.260291,23.171173,900000074701014,,
广州地铁,地铁14号线,云霄路,1.377,1.377,113.260715,23.183549,900000074701015,,
广州地铁,地铁14号线,新市墟,1.217,2.594,113.263041,23.194285,900000074701016,,
广州地铁,地铁14号线,马务,0.86,3.454,113.263788,23.201992,900000074701017,,
广州地铁,地铁14号线,鹤边,1.258,4.712,113.266612,23.213004,900000074701018,,
广州地铁,地铁14号线,鹤龙,1.21,5.922,113.272244,23.222575,900000074701019,,
广州地铁,地铁14号线,彭边,1.083,7.005,113.281577,23.227194,900000074701020,,
广州地铁,地铁14号线,嘉禾望岗,1.384,8.389,113.289243,23.23746,440100023031006,,
广州地铁,地铁14号线,白云东平,3.296,11.685,113.317841,23.25117,900000074701002,,
广州地铁,地铁14号线,夏良,3.007,14.692,113.323505,23.277704,900000074701003,,
广州地铁,地铁14号线,太和,3.408,18.1,113.347197,23.299284,900000074701004,,
广州地铁,地铁14号线,竹料,5.882,23.982,113.368332,23.348496,900000074701005,,
广州地铁,地铁14号线,钟落潭,4.475,28.457,113.400686,23.375649,900000074701006,,
广州地铁,地铁14号线,马沥,5.463,33.92,113.450388,23.393877,900000074701007,,
广州地铁,地铁14号线,新和,2.746,36.666,113.46706,23.413259,900000074701008,,
广州地铁,地铁14号线,太平,5.009,41.675,113.491955,23.45209,900000074701009,,
广州地铁,地铁14号线,神岗,3.644,45.319,113.517396,23.475101,900000074701010,,
广州地铁,地铁14号线,赤草,5.248,50.567,113.560256,23.50122,900000074701011,,
广州地铁,地铁14号线,从化客运站,4.887,55.454,113.594721,23.531769,900000074701012,,
广州地铁,地铁14号线,东风,3.882,59.336,113.600801,23.566233,900000074701013,,
广州地铁,地铁14号线支线(知识城线),新和,0.0,0.0,113.46706,23.413259,900000074701008,,
广州地铁,地铁14号线支线(知识城线),红卫,2.596,2.596,113.487415,23.399261,900000074703002,,
广州地铁,地铁14号线支线(知识城线),新南,2.576,5.172,113.495228,23.377232,900000074703003,,
广州地铁,地铁14号线支线(知识城线),枫下,2.066,7.238,113.508322,23.363059,900000074703004,,
广州地铁,地铁14号线支线(知识城线),知识城,2.298,9.536,113.525198,23.349377,900000074703005,,
广州地铁,地铁14号线支线(知识城线),何棠下,2.766,12.302,113.543688,23.33119,900000074703006,,
广州地铁,地铁14号线支线(知识城线),旺村,1.207,13.509,113.551749,23.323256,900000074703007,,
广州地铁,地铁14号线支线(知识城线),汤村,2.205,15.714,113.564686,23.307382,900000074703008,,
广州地铁,地铁14号线支线(知识城线),镇龙北,2.342,18.056,113.576945,23.289584,900000074703009,,
广州地铁,地铁14号线支线(知识城线),镇龙,1.734,19.79,113.593,23.284514,900000046003007,,
广州地铁,地铁18号线,冼村,0.0,0.0,113.328157,23.125722,900000075991002,,
广州地铁,地铁18号线,磨碟沙,3.292,3.292,113.341285,23.098689,440100023047011,,
广州地铁,地铁18号线,龙潭,2.163,5.455,113.340902,23.079237,900000074491031,,
广州地铁,地铁18号线,沙溪,4.877,10.332,113.33818,23.035452,900000075991005,,
广州地铁,地铁18号线,南村万博,3.542,13.874,113.347555,23.004789,900000043742004,,
广州地铁,地铁18号线,番禺广场,8.637,22.511,113.385642,22.935482,440100023033002,,
广州地铁,地铁18号线,横沥,23.99,46.501,113.511088,22.753319,900000075991008,,
广州地铁,地铁18号线,万顷沙,7.714,54.215,113.557043,22.698398,900000075991009,,
广州地铁,地铁1号线,西塱,0.0,0.0,113.231514,23.065063,440100023043015,,
广州地铁,地铁1号线,坑口,1.539,1.539,113.232498,23.078878,440100023049016,,
广州地铁,地铁1号线,花地湾,0.923,2.462,113.23403,23.087055,440100023049015,,
广州地铁,地铁1号线,芳村,1.294,3.756,113.23587,23.09857,440100023049014,,
广州地铁,地铁1号线,黄沙,1.39,5.146,113.239856,23.110524,440100023049013,,
广州地铁,地铁1号线,长寿路,0.91,6.056,113.242271,23.118402,440100023049012,,
广州地铁,地铁1号线,陈家祠,0.919,6.975,113.246439,23.125727,440100023047028,,
广州地铁,地铁1号线,西门口,0.962,7.937,113.25583,23.125219,440100023049010,,
广州地铁,地铁1号线,公园前,0.868,8.805,113.264315,23.125446,440100023049009,,
广州地铁,地铁1号线,农讲所,1.162,9.967,113.275602,23.126623,440100023049008,,
广州地铁,地铁1号线,烈士陵园,1.029,10.996,113.285663,23.126704,440100023049007,,
广州地铁,地铁1号线,东山口,1.038,12.034,113.295373,23.12398,440100023049006,,
广州地铁,地铁1号线,杨箕,1.456,13.49,113.308877,23.128137,440100023037012,,
广州地铁,地铁1号线,体育西路,1.334,14.824,113.321503,23.131138,440100023031015,,
广州地铁,地铁1号线,体育中心,0.822,15.646,113.328376,23.13497,440100023049003,,
广州地铁,地铁1号线,广州东站,1.834,17.48,113.324493,23.151077,440100023031013,,
广州地铁,地铁21号线,天河公园,0.0,0.0,113.364025,23.124903,900000046003032,,
广州地铁,地铁21号线,棠东,2.674,2.674,113.389329,23.130979,900000046003031,,
广州地铁,地铁21号线,黄村,1.837,4.511,113.407274,23.131814,440100023035002,,
广州地铁,地铁21号线,大观南路,1.419,5.93,113.406947,23.144575,900000046003029,,
广州地铁,地铁21号线,天河智慧城,2.115,8.045,113.403184,23.163275,900000046003028,,
广州地铁,地铁21号线,神舟路,2.886,10.931,113.431334,23.165215,900000046003027,,
广州地铁,地铁21号线,科学城,1.832,12.763,113.44925,23.165651,900000046003026,,
广州地铁,地铁21号线,苏元,2.053,14.816,113.468482,23.17097,440100023053026,,
广州地铁,地铁21号线,水西,2.117,16.933,113.47878,23.187489,900000043742019,,
广州地铁,地铁21号线,长平,2.775,19.708,113.489704,23.210341,900000046003023,,
广州地铁,地铁21号线,金坑,5.754,25.462,113.526727,23.249328,900000046003022,,
广州地铁,地铁21号线,镇龙西,5.774,31.236,113.573793,23.278088,900000046003008,,
广州地铁,地铁21号线,镇龙,2.088,33.324,113.593,23.284514,900000046003007,,
广州地铁,地铁21号线,中新,2.058,35.382,113.613131,23.285303,900000046003006,,
广州地铁,地铁21号线,坑贝,3.097,38.479,113.642606,23.278769,900000046003005,,
广州地铁,地铁21号线,凤岗,2.88,41.359,113.670634,23.275961,900000046003004,,
