系统,线路,from_station,to_station,from_id,to_id,distance(km),year of segment opening
武汉地铁,轨道交通11号线,江安路,紫阳湖,900000073743015,900000073743016,1.256,
武汉地铁,轨道交通11号线,紫阳湖,武昌站东广场,900000073743016,900000073743017,2.021,
武汉地铁,轨道交通11号线,武昌站东广场,丁字桥,900000073743017,900000073743018,1.179,
武汉地铁,轨道交通11号线,丁字桥,马房山,900000073743018,900000044147019,1.837,
武汉地铁,轨道交通11号线,马房山,虎泉,900000044147019,420100024404004,2.154,
武汉地铁,轨道交通11号线,虎泉,武汉体育学院,420100024404004,900000073743021,1.002,
武汉地铁,轨道交通11号线,武汉体育学院,光谷广场,900000073743021,420100024404002,2.229,
武汉地铁,轨道交通11号线,光谷广场,关山大道,420100024404002,900000073743023,1.71,
武汉地铁,轨道交通11号线,关山大道,武汉东站,900000073743023,420100024404035,2.083,
武汉地铁,轨道交通11号线,武汉东站,湖口,420100024404035,900000073743002,1.631,
武汉地铁,轨道交通11号线,湖口,光谷同济医院,900000073743002,900000073743003,1.719,
武汉地铁,轨道交通11号线,光谷同济医院,光谷生物园,900000073743003,900000073743004,1.444,
武汉地铁,轨道交通11号线,光谷生物园,光谷四路,900000073743004,900000073743005,1.048,
武汉地铁,轨道交通11号线,光谷四路,光谷五路,900000073743005,900000073743006,1.134,
武汉地铁,轨道交通11号线,光谷五路,光谷六路,900000073743006,900000073743007,0.957,
武汉地铁,轨道交通11号线,光谷六路,豹澥,900000073743007,900000073743008,1.047,
武汉地铁,轨道交通11号线,豹澥,光谷七路,900000073743008,900000073743009,1.073,
武汉地铁,轨道交通11号线,光谷七路,长岭山,900000073743009,900000073743010,2.786,
武汉地铁,轨道交通11号线,长岭山,未来一路,900000073743010,900000073743011,2.134,
武汉地铁,轨道交通11号线,未来一路,未来三路,900000073743011,900000073743012,2.009,
武汉地铁,轨道交通11号线,未来三路,左岭,900000073743012,900000073743013,1.417,
武汉地铁,轨道交通11号线,左岭,葛店南站,900000073743013,900000073743014,3.836,
武汉地铁,轨道交通16号线,国博中心南,老关村,420100024335006,420100024335005,1.756,
武汉地铁,轨道交通16号线,老关村,南太子湖,420100024335005,900000090803010,1.881,
武汉地铁,轨道交通16号线,南太子湖,沌口,900000090803010,900000090803009,2.172,
武汉地铁,轨道交通16号线,沌口,小军山,900000090803009,900000090803008,7.79,
武汉地铁,轨道交通16号线,小军山,枫林,900000090803008,900000090803007,2.141,
武汉地铁,轨道交通16号线,枫林,大军山,900000090803007,900000090803006,1.924,
武汉地铁,轨道交通16号线,大军山,桂子湖,900000090803006,900000090803005,4.202,
武汉地铁,轨道交通16号线,桂子湖,马影河,900000090803005,900000090803004,3.038,
武汉地铁,轨道交通16号线,马影河,协子河,900000090803004,900000090803003,1.353,
武汉地铁,轨道交通16号线,协子河,湾湖,900000090803003,900000090803002,1.564,
武汉地铁,轨道交通16号线,湾湖,周家河,900000090803002,900000090803001,2.402,
武汉地铁,轨道交通16号线,周家河,纱帽,900000090803001,900000090803014,3.163,
武汉地铁,轨道交通16号线,纱帽,通航机场,900000090803014,900000090803013,1.567,
武汉地铁,轨道交通19号线,新月溪公园,光谷五路,900000115789006,900000073743006,0.972,
武汉地铁,轨道交通19号线,光谷五路,花山河,900000073743006,900000115789004,6.31,
武汉地铁,轨道交通19号线,花山河,花山新城,900000115789004,900000115789003,1.687,
武汉地铁,轨道交通19号线,花山新城,鼓架山,900000115789003,900000115789007,3.62,
武汉地铁,轨道交通19号线,鼓架山,武东,900000115789007,900000115789002,2.921,
武汉地铁,轨道交通19号线,武东,武汉站西广场,900000115789002,900000115789001,4.401,
武汉地铁,轨道交通1号线,汉口北,滠口新城,420100034364030,420100034364029,3.287,
武汉地铁,轨道交通1号线,滠口新城,滕子岗,420100034364029,420100034364028,1.118,
武汉地铁,轨道交通1号线,滕子岗,堤角,420100034364028,420100034364027,1.011,
武汉地铁,轨道交通1号线,堤角,新荣,420100034364027,420100034364026,1.06,
武汉地铁,轨道交通1号线,新荣,丹水池,420100034364026,420100034364025,1.602,
武汉地铁,轨道交通1号线,丹水池,徐州新村,420100034364025,420100034364024,1.518,
武汉地铁,轨道交通1号线,徐州新村,二七路,420100034364024,420100034364023,0.792,
武汉地铁,轨道交通1号线,二七路,头道街,420100034364023,420100034364022,0.926,
武汉地铁,轨道交通1号线,头道街,黄浦路,420100034364022,420100034364021,1.183,
武汉地铁,轨道交通1号线,黄浦路,三阳路,420100034364021,420100034364020,1.259,
武汉地铁,轨道交通1号线,三阳路,大智路,420100034364020,420100024335017,0.911,
武汉地铁,轨道交通1号线,大智路,循礼门,420100024335017,420100024404014,1.19,
武汉地铁,轨道交通1号线,循礼门,友谊路,420100024404014,420100034364017,0.873,
武汉地铁,轨道交通1号线,友谊路,利济北路,420100034364017,420100034364016,0.881,
武汉地铁,轨道交通1号线,利济北路,崇仁路,420100034364016,420100034364015,0.879,
武汉地铁,轨道交通1号线,崇仁路,硚口路,420100034364015,420100034364014,1.128,
武汉地铁,轨道交通1号线,硚口路,太平洋,420100034364014,420100034364013,0.969,
武汉地铁,轨道交通1号线,太平洋,宗关,420100034364013,420100024331016,1.663,
武汉地铁,轨道交通1号线,宗关,汉西一路,420100024331016,420100034364011,0.824,
武汉地铁,轨道交通1号线,汉西一路,古田四路,420100034364011,420100034364010,0.819,
武汉地铁,轨道交通1号线,古田四路,古田三路,420100034364010,420100034364009,0.79,
武汉地铁,轨道交通1号线,古田三路,古田二路,420100034364009,420100034364008,0.9,
武汉地铁,轨道交通1号线,古田二路,古田一路,420100034364008,420100034364007,1.516,
武汉地铁,轨道交通1号线,古田一路,舵落口,420100034364007,420100034364006,1.433,
武汉地铁,轨道交通1号线,舵落口,竹叶海,420100034364006,420100034364005,0.785,
