系统,线路,from_station,to_station,from_id,to_id,distance(km),year of segment opening
无锡地铁,地铁1号线,堰桥,锡北运河,320200021334025,320200021334024,1.477,
无锡地铁,地铁1号线,锡北运河,西漳,320200021334024,320200021334023,2.115,
无锡地铁,地铁1号线,西漳,天一,320200021334023,320200021334022,0.892,
无锡地铁,地铁1号线,天一,刘潭,320200021334022,320200021334021,1.248,
无锡地铁,地铁1号线,刘潭,庄前,320200021334021,320200021334020,1.867,
无锡地铁,地铁1号线,庄前,民丰,320200021334020,320200021334019,0.996,
无锡地铁,地铁1号线,民丰,无锡火车站,320200021334019,320200021052016,1.319,
无锡地铁,地铁1号线,无锡火车站,胜利门,320200021052016,320200021334017,1.054,
无锡地铁,地铁1号线,胜利门,三阳广场,320200021334017,320200021334016,0.685,
无锡地铁,地铁1号线,三阳广场,南禅寺,320200021334016,320200021334015,1.102,
无锡地铁,地铁1号线,南禅寺,谈渡桥,320200021334015,320200021334014,0.612,
无锡地铁,地铁1号线,谈渡桥,太湖广场,320200021334014,320200021334013,0.762,
无锡地铁,地铁1号线,太湖广场,清名桥,320200021334013,320200021334012,0.878,
无锡地铁,地铁1号线,清名桥,人民医院,320200021334012,320200021334011,1.111,
无锡地铁,地铁1号线,人民医院,华清大桥,320200021334011,320200021334010,1.223,
无锡地铁,地铁1号线,华清大桥,扬名,320200021334010,320200021334009,1.448,
无锡地铁,地铁1号线,扬名,南湖家园,320200021334009,320200021334008,1.261,
无锡地铁,地铁1号线,南湖家园,塘铁桥,320200021334008,320200021334007,1.015,
无锡地铁,地铁1号线,塘铁桥,金匮公园,320200021334007,320200021334006,0.976,
无锡地铁,地铁1号线,金匮公园,市民中心,320200021334006,320200021334005,1.294,
无锡地铁,地铁1号线,市民中心,文化宫,320200021334005,320200021334004,1.486,
无锡地铁,地铁1号线,文化宫,江南大学,320200021334004,320200021334003,1.358,
无锡地铁,地铁1号线,江南大学,长广溪,320200021334003,320200021334002,1.182,
无锡地铁,地铁1号线,长广溪,雪浪,320200021334002,320200021334028,1.509,
无锡地铁,地铁1号线,雪浪,葛埭桥,320200021334028,320200021334027,1.446,
无锡地铁,地铁1号线,葛埭桥,南方泉,320200021334027,320200021334026,1.267,
无锡地铁,地铁2号线,无锡东站,迎宾广场,320200021050022,900000029089020,0.801,
无锡地铁,地铁2号线,迎宾广场,映月湖公园,900000029089020,900000029089019,0.666,
无锡地铁,地铁2号线,映月湖公园,查桥,900000029089019,900000029089018,1.863,
无锡地铁,地铁2号线,查桥,九里河公园,900000029089018,900000029089017,2.157,
无锡地铁,地铁2号线,九里河公园,云林,900000029089017,900000029089016,1.291,
无锡地铁,地铁2号线,云林,庄桥,900000029089016,900000029089015,1.52,
无锡地铁,地铁2号线,庄桥,东亭,900000029089015,900000029089014,1.527,
无锡地铁,地铁2号线,东亭,柏庄,900000029089014,900000029089013,1.267,
无锡地铁,地铁2号线,柏庄,广益,900000029089013,900000029089012,0.924,
无锡地铁,地铁2号线,广益,靖海,900000029089012,320200021052030,1.096,
无锡地铁,地铁2号线,靖海,上马墩,320200021052030,900000029089010,0.92,
无锡地铁,地铁2号线,上马墩,东林广场,900000029089010,900000029089009,1.249,
无锡地铁,地铁2号线,东林广场,三阳广场,900000029089009,320200021334016,0.866,
无锡地铁,地铁2号线,三阳广场,五爱广场,320200021334016,900000029089007,0.91,
无锡地铁,地铁2号线,五爱广场,梁溪大桥,900000029089007,900000029089006,0.812,
无锡地铁,地铁2号线,梁溪大桥,大王基,900000029089006,900000029089005,1.05,
无锡地铁,地铁2号线,大王基,河埒口,900000029089005,900000029089004,1.436,
无锡地铁,地铁2号线,河埒口,小桃源,900000029089004,900000029089003,1.124,
无锡地铁,地铁2号线,小桃源,荣巷,900000029089003,900000029089002,1.262,
无锡地铁,地铁2号线,荣巷,梅园开原寺,900000029089002,900000029089001,1.723,
无锡地铁,地铁3号线,苏庙,钱桥,320200021052009,320200021052010,1.29,
无锡地铁,地铁3号线,钱桥,龙山梢,320200021052010,320200021052011,1.417,
无锡地铁,地铁3号线,龙山梢,石门路,320200021052011,320200021052012,1.46,
无锡地铁,地铁3号线,石门路,盛岸,320200021052012,320200021052013,1.16,
无锡地铁,地铁3号线,盛岸,吴桥,320200021052013,320200021052014,1.493,
无锡地铁,地铁3号线,吴桥,北栅口,320200021052014,320200021052015,1.143,
无锡地铁,地铁3号线,北栅口,无锡火车站,320200021052015,320200021052016,0.932,
无锡地铁,地铁3号线,无锡火车站,广瑞,320200021052016,320200021052017,1.197,
无锡地铁,地铁3号线,广瑞,靖海,320200021052017,320200021052030,1.21,
无锡地铁,地铁3号线,靖海,东风,320200021052030,320200021052019,1.109,
无锡地铁,地铁3号线,东风,叙丰,320200021052019,320200021052020,0.93,
无锡地铁,地铁3号线,叙丰,太湖花园,320200021052020,320200021052021,1.028,
无锡地铁,地铁3号线,太湖花园,新光路,320200021052021,320200021052022,1.34,
无锡地铁,地铁3号线,新光路,旺庄路,320200021052022,320200021052023,0.955,
无锡地铁,地铁3号线,旺庄路,黄山路,320200021052023,320200021052024,1.79,
无锡地铁,地铁3号线,黄山路,高浪东路,320200021052024,320200021052032,0.921,
无锡地铁,地铁3号线,高浪东路,周泾巷,320200021052032,320200021052033,1.4,
无锡地铁,地铁3号线,周泾巷,无锡新区站,320200021052033,320200021052034,1.711,
无锡地铁,地铁3号线,无锡新区站,长江南路,320200021052034,320200021052026,1.074,
无锡地铁,地铁3号线,长江南路,硕放机场,320200021052026,320200021052027,2.678,
无锡地铁,地铁4号线,刘潭,广石路,320200021334021,900000062486002,1.675,
无锡地铁,地铁4号线,广石路,黄巷,900000062486002,900000062486003,2.26,
无锡地铁,地铁4号线,黄巷,盛岸,900000062486003,320200021052013,1.245,
无锡地铁,地铁4号线,盛岸,惠山古镇,320200021052013,900000062486005,1.449,
无锡地铁,地铁4号线,惠山古镇,青山湾荣院,900000062486005,900000062486006,1.578,
无锡地铁,地铁4号线,青山湾荣院,河埒口,900000062486006,900000029089004,1.122,
无锡地铁,地铁4号线,河埒口,西园弄,900000029089004,900000062486008,1.492,
无锡地铁,地铁4号线,西园弄,体育中心,900000062486008,900000062486009,0.852,
无锡地铁,地铁4号线,体育中心,夏家边,900000062486009,900000062486010,0.949,
无锡地铁,地铁4号线,夏家边,蠡湖大桥,900000062486010,900000062486011,1.187,
无锡地铁,地铁4号线,蠡湖大桥,大剧院,900000062486011,900000062486012,1.965,
无锡地铁,地铁4号线,大剧院,五湖大道,900000062486012,900000062486013,0.735,
无锡地铁,地铁4号线,五湖大道,周新苑,900000062486013,900000062486014,1.319,
无锡地铁,地铁4号线,周新苑,市民中心,900000062486014,320200021334005,1.507,
无锡地铁,地铁4号线,市民中心,吴都路,320200021334005,900000062486016,0.916,
无锡地铁,地铁4号线,吴都路,丰润道,900000062486016,900000062486017,1.222,
无锡地铁,地铁4号线,丰润道,博览中心,900000062486017,900000062486018,1.039,
无锡地铁,地铁S1号线(锡澄线),堰桥,马镇,320200021334025,900000133333002,3.734,
无锡地铁,地铁S1号线(锡澄线),马镇,青阳,900000133333002,900000133333003,7.031,
无锡地铁,地铁S1号线(锡澄线),青阳,峭岐,900000133333003,900000133333004,5.506,
无锡地铁,地铁S1号线(锡澄线),峭岐,南闸,900000133333004,900000133333005,2.84,
无锡地铁,地铁S1号线(锡澄线),南闸,江阴高铁站,900000133333005,900000133333006,2.568,
无锡地铁,地铁S1号线(锡澄线),江阴高铁站,江阴中医院,900000133333006,900000133333007,1.615,
无锡地铁,地铁S1号线(锡澄线),江阴中医院,南门,900000133333007,900000133333008,1.684,
无锡地铁,地铁S1号线(锡澄线),南门,中山公园,900000133333008,900000133333009,1.707,
无锡地铁,地铁S1号线(锡澄线),中山公园,江阴外滩,900000133333009,900000133333010,2.208,
