系统,线路,from_station,to_station,from_id,to_id,distance(km),year of segment opening
港铁,东涌线,东涌,欣澳,810000020807002,810000020807003,10.291,
港铁,东涌线,欣澳,青衣,810000020807003,810000010813003,8.539,
港铁,东涌线,青衣,荔景,810000010813003,810000020807005,2.196,
港铁,东涌线,荔景,南昌,810000020807005,810000020807006,3.738,
港铁,东涌线,南昌,奥运,810000020807006,810000020807007,1.168,
港铁,东涌线,奥运,九龙,810000020807007,810000010813004,1.449,
港铁,东涌线,九龙,香港,810000010813004,810000010813005,2.284,
港铁,东铁线,金钟,会展,810000020809014,810000020809015,1.057,
港铁,东铁线,会展,红磡,810000020809015,810000020809002,2.447,
港铁,东铁线,红磡,旺角东,810000020809002,810000020809003,2.342,
港铁,东铁线,旺角东,九龙塘,810000020809003,810000020809004,1.68,
港铁,东铁线,九龙塘,大围,810000020809004,810000020809005,4.004,
港铁,东铁线,大围,沙田,810000020809005,810000020809006,1.416,
港铁,东铁线,沙田,火炭,810000020809006,810000020809007,1.786,
港铁,东铁线,火炭,大学,810000020809007,810000020809008,2.402,
港铁,东铁线,大学,大埔墟,810000020809008,810000020809009,5.34,
港铁,东铁线,大埔墟,太和,810000020809009,810000020809010,1.164,
港铁,东铁线,太和,粉岭,810000020809010,810000020809011,5.137,
港铁,东铁线,粉岭,上水,810000020809011,810000020809012,1.529,
港铁,东铁线,上水,罗湖,810000020809012,810000020809013,3.374,
港铁,南港岛线,金钟,海洋公园,810000020809014,900000072541002,3.51,
港铁,南港岛线,海洋公园,黄竹坑,900000072541002,900000072541003,0.658,
港铁,南港岛线,黄竹坑,利东,900000072541003,900000072541004,1.33,
港铁,南港岛线,利东,海怡半岛,900000072541004,900000072541005,0.782,
港铁,将军澳线,北角,鲗鱼涌,810000020804004,810000020804005,1.014,
港铁,将军澳线,鲗鱼涌,油塘,810000020804005,810000020804006,3.02,
港铁,将军澳线,油塘,调景岭,810000020804006,810000020804007,1.711,
港铁,将军澳线,调景岭,将军澳,810000020804007,810000020804002,0.861,
港铁,将军澳线,将军澳,坑口,810000020804002,810000023589003,1.0,
港铁,将军澳线,坑口,宝琳,810000023589003,810000023589002,1.048,
港铁,屯马线,屯门,兆康,810000020825028,810000020825027,1.959,
港铁,屯马线,兆康,天水围,810000020825027,810000020825026,4.754,
港铁,屯马线,天水围,朗屏,810000020825026,810000020825025,2.163,
港铁,屯马线,朗屏,元朗,810000020825025,810000020825024,1.047,
港铁,屯马线,元朗,锦上路,810000020825024,810000020825023,3.133,
港铁,屯马线,锦上路,荃湾西,810000020825023,810000020825022,8.838,
港铁,屯马线,荃湾西,美孚,810000020825022,810000020823012,4.411,
港铁,屯马线,美孚,南昌,810000020823012,810000020807006,2.046,
港铁,屯马线,南昌,柯士甸,810000020807006,810000020825019,2.773,
港铁,屯马线,柯士甸,尖东,810000020825019,810000020825018,1.351,
港铁,屯马线,尖东,红磡,810000020825018,810000020809002,1.086,
港铁,屯马线,红磡,何文田,810000020809002,810000020821018,0.732,
港铁,屯马线,何文田,土瓜湾,810000020821018,810000020825015,0.925,
港铁,屯马线,土瓜湾,宋皇台,810000020825015,810000020825014,1.105,
港铁,屯马线,宋皇台,启德,810000020825014,810000020825013,1.005,
港铁,屯马线,启德,钻石山,810000020825013,810000020821009,1.096,
港铁,屯马线,钻石山,显径,810000020821009,810000020825011,4.113,
港铁,屯马线,显径,大围,810000020825011,810000020809005,1.256,
港铁,屯马线,大围,车公庙,810000020809005,810000020825009,0.84,
港铁,屯马线,车公庙,沙田围,810000020825009,810000020825008,0.906,
港铁,屯马线,沙田围,第一城,810000020825008,810000020825007,1.103,
港铁,屯马线,第一城,石门,810000020825007,810000020825006,0.731,
港铁,屯马线,石门,大水坑,810000020825006,810000020825005,2.729,
港铁,屯马线,大水坑,恒安,810000020825005,810000020825004,1.121,
港铁,屯马线,恒安,马鞍山,810000020825004,810000020825003,0.961,
港铁,屯马线,马鞍山,乌溪沙,810000020825003,810000020825002,1.317,
港铁,机场快线,香港,九龙,810000010813005,810000010813004,2.284,
港铁,机场快线,九龙,青衣,810000010813004,810000010813003,8.134,
港铁,机场快线,青衣,机场,810000010813003,810000010813002,18.232,
港铁,机场快线,机场,博览馆,810000010813002,810000010813001,0.98,
港铁,港岛线,坚尼地城,香港大学,810000020817018,810000020817017,0.78,
港铁,港岛线,香港大学,西营盘,810000020817017,810000020817016,0.711,
港铁,港岛线,西营盘,上环,810000020817016,810000020817015,1.052,
港铁,港岛线,上环,中环,810000020817015,810000020817014,0.834,
港铁,港岛线,中环,金钟,810000020817014,810000020809014,0.719,
港铁,港岛线,金钟,湾仔,810000020809014,810000020817012,0.796,
港铁,港岛线,湾仔,铜锣湾,810000020817012,810000020817011,1.148,
港铁,港岛线,铜锣湾,天后,810000020817011,810000020817010,0.89,
港铁,港岛线,天后,炮台山,810000020817010,810000020817009,0.673,
港铁,港岛线,炮台山,北角,810000020817009,810000020804004,0.727,
港铁,港岛线,北角,鲗鱼涌,810000020804004,810000020804005,1.014,
港铁,港岛线,鲗鱼涌,太古,810000020804005,810000020817006,0.74,
港铁,港岛线,太古,西湾河,810000020817006,810000020817005,0.699,
港铁,港岛线,西湾河,筲箕湾,810000020817005,810000020817004,0.76,
港铁,港岛线,筲箕湾,杏花邨,810000020817004,810000020817003,1.135,
港铁,港岛线,杏花邨,柴湾,810000020817003,810000020817002,1.365,
港铁,荃湾线,荃湾,大窝口,810000020823017,810000020823016,0.81,
港铁,荃湾线,大窝口,葵兴,810000020823016,810000020823015,1.069,
港铁,荃湾线,葵兴,葵芳,810000020823015,810000020823014,0.771,
港铁,荃湾线,葵芳,荔景,810000020823014,810000020807005,0.95,
港铁,荃湾线,荔景,美孚,810000020807005,810000020819006,1.527,
