系统,线路,线路ID,站名,站间距(km),累计里程(km),经度,纬度,station ID,pinyin,year of opening
长沙地铁,S2线,900000057211,磁浮机场站,0.0,0.0,113.219079,28.191653,900000057211003,,
长沙地铁,S2线,900000057211,磁浮榔梨,9.077,9.077,113.133357,28.160767,900000057211002,,
长沙地铁,S2线,900000057211,磁浮高铁站,6.598,15.675,113.067434,28.14882,900000057211001,,
长沙地铁,地铁1号线,430100020925,金盆丘(铜官窑巴士站),0.0,0.0,112.933221,28.338898,430100020925033,,
长沙地铁,地铁1号线,430100020925,金霞,1.964,1.964,112.94624,28.325458,430100020925034,,
长沙地铁,地铁1号线,430100020925,鹅羊山,2.066,4.03,112.95933,28.310878,430100020925035,,
长沙地铁,地铁1号线,430100020925,秀峰山,1.952,5.982,112.968747,28.295405,430100020925036,,
长沙地铁,地铁1号线,430100020925,宿龙桥,2.087,8.069,112.978551,28.278738,430100020925037,,
长沙地铁,地铁1号线,430100020925,开福区政府,1.974,10.043,112.985412,28.262049,430100020925002,,
长沙地铁,地铁1号线,430100020925,马厂,1.243,11.286,112.988706,28.251249,430100020925022,,
长沙地铁,地铁1号线,430100020925,北辰三角洲,1.744,13.03,112.983575,28.236228,430100020925023,,
长沙地铁,地铁1号线,430100020925,开福寺,1.583,14.613,112.979552,28.222438,430100020925024,,
长沙地铁,地铁1号线,430100020925,文昌阁,1.09,15.703,112.978199,28.212711,430100020925006,,
长沙地铁,地铁1号线,430100020925,培元桥,0.746,16.449,112.976453,28.206185,430100020925007,,
长沙地铁,地铁1号线,430100020925,五一广场,1.208,17.657,112.976433,28.195317,430100020925008,,
长沙地铁,地铁1号线,430100020925,黄兴广场,0.656,18.313,112.976431,28.189421,430100020925025,,
长沙地铁,地铁1号线,430100020925,南门口,0.661,18.974,112.976195,28.183482,430100020925026,,
长沙地铁,地铁1号线,430100020925,侯家塘,1.227,20.201,112.982137,28.173771,430100020925011,,
长沙地铁,地铁1号线,430100020925,南湖路,0.921,21.122,112.985594,28.166068,430100020925012,,
长沙地铁,地铁1号线,430100020925,黄土岭,0.615,21.737,112.985503,28.160534,430100020925027,,
长沙地铁,地铁1号线,430100020925,涂家冲,0.822,22.559,112.984784,28.153165,430100020925028,,
长沙地铁,地铁1号线,430100020925,铁道学院,1.907,24.466,112.987321,28.136157,430100020925015,,
长沙地铁,地铁1号线,430100020925,友谊路,1.394,25.86,112.986898,28.123626,430100020925016,,
长沙地铁,地铁1号线,430100020925,省政府·清风,1.385,27.245,112.987512,28.111178,430100020925017,,
长沙地铁,地铁1号线,430100020925,桂花坪,1.331,28.576,112.988329,28.09923,430100020925029,,
长沙地铁,地铁1号线,430100020925,大托,1.856,30.432,112.989189,28.082555,430100020925030,,
长沙地铁,地铁1号线,430100020925,中信广场,0.987,31.419,112.989731,28.073694,430100020925031,,
长沙地铁,地铁1号线,430100020925,尚双塘,1.335,32.754,112.992268,28.0619,430100020925032,,
长沙地铁,地铁2号线,430100020927,梅溪湖西,0.0,0.0,112.881887,28.185907,430100020927021,,
长沙地铁,地铁2号线,430100020927,麓云路,1.138,1.138,112.892059,28.19084,430100020927022,,
长沙地铁,地铁2号线,430100020927,文化艺术中心,1.05,2.188,112.900472,28.19669,430100020927023,,
长沙地铁,地铁2号线,430100020927,梅溪湖东,0.937,3.125,112.908183,28.201674,430100020927024,,
长沙地铁,地铁2号线,430100020927,望城坡(汽车西站),0.842,3.967,112.913704,28.207479,430100020927002,,
长沙地铁,地铁2号线,430100020927,金星路,1.469,5.436,112.928603,28.206047,430100020927003,,
长沙地铁,地铁2号线,430100020927,西湖公园,1.173,6.609,112.939929,28.202632,430100020927004,,
长沙地铁,地铁2号线,430100020927,溁湾镇,1.258,7.867,112.951436,28.197614,430100020927005,,
长沙地铁,地铁2号线,430100020927,橘子洲·青莲,1.109,8.976,112.96252,28.195601,430100020927006,,
长沙地铁,地铁2号线,430100020927,湘江中路,0.672,9.648,112.969365,28.195218,430100020927007,,
长沙地铁,地铁2号线,430100020927,五一广场,0.693,10.341,112.976433,28.195317,430100020925008,,
长沙地铁,地铁2号线,430100020927,芙蓉广场,0.808,11.149,112.984666,28.194886,430100020927009,,
长沙地铁,地铁2号线,430100020927,迎宾路口,0.737,11.886,112.992188,28.194793,430100020927010,,
长沙地铁,地铁2号线,430100020927,袁家岭,0.83,12.716,113.000651,28.194545,430100020927011,,
长沙地铁,地铁2号线,430100020927,长沙火车站,1.018,13.734,113.010987,28.193633,430100020927012,,
长沙地铁,地铁2号线,430100020927,锦泰广场,0.676,14.41,113.017587,28.191855,430100020927013,,
长沙地铁,地铁2号线,430100020927,万家丽广场,1.236,15.646,113.030191,28.191546,430100020927014,,
长沙地铁,地铁2号线,430100020927,人民东路,1.17,16.816,113.038701,28.184163,430100020927015,,
长沙地铁,地铁2号线,430100020927,长沙大道,1.852,18.668,113.04448,28.168306,430100020927016,,
长沙地铁,地铁2号线,430100020927,沙湾公园,1.183,19.851,113.044896,28.157673,430100020927017,,
长沙地铁,地铁2号线,430100020927,杜花路,1.695,21.546,113.056471,28.146351,430100020927018,,
长沙地铁,地铁2号线,430100020927,长沙火车南站,0.859,22.405,113.065216,28.146879,430100020927019,,
长沙地铁,地铁2号线,430100020927,光达,1.951,24.356,113.085035,28.148484,430100020927020,,
长沙地铁,地铁3号线,900000065929,湘潭北站,0.0,0.0,112.943204,27.963191,900000065929026,,
长沙地铁,地铁3号线,900000065929,船形山,1.911,1.911,112.949388,27.979486,900000065929027,,
长沙地铁,地铁3号线,900000065929,黄家湾,1.219,3.13,112.946955,27.990234,900000065929028,,
长沙地铁,地铁3号线,900000065929,双湖,4.439,7.569,112.927701,28.026353,900000065929029,,
长沙地铁,地铁3号线,900000065929,坪塘,2.411,9.98,112.912462,28.043363,900000065929030,,
长沙地铁,地铁3号线,900000065929,红桥,1.774,11.754,112.909383,28.059082,900000065929031,,
长沙地铁,地铁3号线,900000065929,桐溪,1.832,13.586,112.908378,28.075537,900000065929032,,
长沙地铁,地铁3号线,900000065929,大王山,1.69,15.276,112.91683,28.088779,900000065929033,,
长沙地铁,地铁3号线,900000065929,山塘,1.418,16.694,112.925807,28.098771,900000065929001,,
长沙地铁,地铁3号线,900000065929,洋湖湿地,2.178,18.872,112.938748,28.114688,900000065929002,,
长沙地铁,地铁3号线,900000065929,洋湖新城,1.671,20.543,112.945435,28.128512,900000065929003,,
长沙地铁,地铁3号线,900000065929,阳光,1.652,22.195,112.937036,28.141393,900000065929004,,
长沙地铁,地铁3号线,900000065929,中南大学,1.423,23.618,112.9377,28.15418,900000065929005,,
长沙地铁,地铁3号线,900000065929,阜埠河,1.656,25.274,112.947515,28.1663,900000065929006,,
长沙地铁,地铁3号线,900000065929,灵官渡,2.678,27.952,112.970553,28.179242,900000065929007,,
长沙地铁,地铁3号线,900000065929,侯家塘,1.288,29.24,112.982137,28.173771,430100020925011,,
长沙地铁,地铁3号线,900000065929,东塘,1.15,30.39,112.992915,28.169681,900000065929009,,
长沙地铁,地铁3号线,900000065929,桂花公园,0.84,31.23,113.001436,28.170511,900000065929010,,
长沙地铁,地铁3号线,900000065929,阿弥岭,0.802,32.032,113.008163,28.174613,900000065929011,,
长沙地铁,地铁3号线,900000065929,朝阳村,1.346,33.378,113.010784,28.186494,900000065929012,,
长沙地铁,地铁3号线,900000065929,长沙火车站,0.794,34.172,113.010987,28.193633,430100020927012,,
长沙地铁,地铁3号线,900000065929,烈士公园东,1.624,35.796,113.00897,28.208126,900000065929014,,
长沙地铁,地铁3号线,900000065929,丝茅冲,1.742,37.538,113.006989,28.223694,900000065929015,,
长沙地铁,地铁3号线,900000065929,四方坪·双拥,0.791,38.329,113.007036,28.230812,900000065929016,,
长沙地铁,地铁3号线,900000065929,雅雀湖,0.985,39.314,113.013852,28.237324,900000065929017,,
长沙地铁,地铁3号线,900000065929,长沙大学,1.739,41.053,113.031121,28.240928,900000065929018,,
长沙地铁,地铁3号线,900000065929,月湖公园北,0.996,42.049,113.041096,28.242686,900000065929019,,
长沙地铁,地铁3号线,900000065929,湘龙,1.975,44.024,113.06097,28.245687,900000065929020,,
长沙地铁,地铁3号线,900000065929,星沙,2.539,46.563,113.086893,28.245662,900000065929021,,
长沙地铁,地铁3号线,900000065929,松雅湖(南),1.632,48.195,113.10355,28.245423,900000065929022,,
长沙地铁,地铁3号线,900000065929,星沙文体中心,0.786,48.981,113.111578,28.24545,900000065929023,,
长沙地铁,地铁3号线,900000065929,螺丝塘,1.135,50.116,113.123168,28.245467,900000065929024,,
长沙地铁,地铁3号线,900000065929,广生,1.218,51.334,113.135584,28.244943,900000065929025,,
长沙地铁,地铁4号线,900000066167,罐子岭,0.0,0.0,112.923179,28.294837,900000066167001,,
长沙地铁,地铁4号线,900000066167,月亮岛西,1.047,1.047,112.929541,28.287271,900000066167002,,
长沙地铁,地铁4号线,900000066167,湘江新城,0.741,1.788,112.933708,28.281703,900000066167003,,
长沙地铁,地铁4号线,900000066167,汉王陵公园,2.062,3.85,112.947534,28.267719,900000066167004,,
长沙地铁,地铁4号线,900000066167,福元大桥西,1.949,5.799,112.958741,28.253235,900000066167005,,
长沙地铁,地铁4号线,900000066167,茶子山,1.178,6.977,112.959532,28.242663,900000066167006,,
长沙地铁,地铁4号线,900000066167,观沙岭,1.514,8.491,112.952474,28.230549,900000066167007,,
长沙地铁,地铁4号线,900000066167,六沟垅,1.042,9.533,112.954251,28.221307,900000066167008,,
长沙地铁,地铁4号线,900000066167,望月湖,1.642,11.175,112.955938,28.206613,900000066167009,,
长沙地铁,地铁4号线,900000066167,溁湾镇,1.094,12.269,112.951436,28.197614,430100020927005,,
长沙地铁,地铁4号线,900000066167,湖南师大,1.302,13.571,112.948159,28.186262,900000066167011,,
长沙地铁,地铁4号线,900000066167,湖南大学,0.747,14.318,112.946592,28.179689,900000066167012,,
长沙地铁,地铁4号线,900000066167,阜埠河,1.492,15.81,112.947515,28.1663,900000065929006,,
长沙地铁,地铁4号线,900000066167,碧沙湖(恰同学少年广场),2.001,17.811,112.967816,28.164447,900000066167014,,
长沙地铁,地铁4号线,900000066167,黄土岭,1.788,19.599,112.985503,28.160534,430100020925027,,
长沙地铁,地铁4号线,900000066167,砂子塘,0.748,20.347,112.992857,28.162338,900000066167016,,
长沙地铁,地铁4号线,900000066167,赤岗岭,1.254,21.601,113.005298,28.159718,900000066167017,,
长沙地铁,地铁4号线,900000066167,树木岭,1.508,23.109,113.020083,28.15598,900000066167018,,
长沙地铁,地铁4号线,900000066167,圭塘,1.091,24.2,113.031077,28.157508,900000066167019,,
长沙地铁,地铁4号线,900000066167,沙湾公园,1.355,25.555,113.044896,28.157673,430100020927017,,
长沙地铁,地铁4号线,900000066167,粟塘,0.736,26.291,113.052403,28.157647,900000066167021,,
长沙地铁,地铁4号线,900000066167,平阳,0.762,27.053,113.057081,28.152172,900000066167022,,
长沙地铁,地铁4号线,900000066167,长沙火车南站,0.991,28.044,113.065216,28.146879,430100020927019,,
长沙地铁,地铁4号线,900000066167,光达,1.951,29.995,113.085035,28.148484,430100020927020,,
长沙地铁,地铁4号线,900000066167,杜家坪,1.156,31.151,113.093776,28.141504,900000066167025,,
长沙地铁,地铁5号线,900000066175,水渡河,0.0,0.0,113.063964,28.279842,900000066175001,,
长沙地铁,地铁5号线,900000066175,土桥,1.945,1.945,113.05604,28.263805,900000066175002,,
长沙地铁,地铁5号线,900000066175,白茅铺,1.662,3.607,113.048751,28.25031,900000066175003,,
长沙地铁,地铁5号线,900000066175,月湖公园北,1.132,4.739,113.041096,28.242686,900000065929019,,
长沙地铁,地铁5号线,900000066175,马栏山,1.226,5.965,113.040804,28.231662,900000066175005,,
长沙地铁,地铁5号线,900000066175,鸭子铺,0.87,6.835,113.036078,28.225036,900000066175006,,
长沙地铁,地铁5号线,900000066175,火炬村,1.904,8.739,113.031218,28.208453,900000066175007,,
长沙地铁,地铁5号线,900000066175,马王堆,0.935,9.674,113.030885,28.200047,900000066175008,,
长沙地铁,地铁5号线,900000066175,万家丽广场,0.948,10.622,113.030191,28.191546,430100020927014,,
长沙地铁,地铁5号线,900000066175,芙蓉区政府,0.693,11.315,113.03038,28.185314,900000066175010,,
长沙地铁,地铁5号线,900000066175,高桥北,1.015,12.33,113.030082,28.176188,900000066175011,,
长沙地铁,地铁5号线,900000066175,高桥南,1.018,13.348,113.029654,28.167044,900000066175012,,
长沙地铁,地铁5号线,900000066175,圭塘,1.069,14.417,113.031077,28.157508,900000066167019,,
长沙地铁,地铁5号线,900000066175,木桥,0.979,15.396,113.030891,28.148709,900000066175014,,
长沙地铁,地铁5号线,900000066175,雨花区政府,1.306,16.702,113.035087,28.137564,900000066175015,,
长沙地铁,地铁5号线,900000066175,大塘,0.744,17.446,113.036453,28.130984,900000066175016,,
长沙地铁,地铁5号线,900000066175,板塘冲,1.663,19.109,113.03951,28.116274,900000066175017,,
长沙地铁,地铁5号线,900000066175,毛竹塘,2.38,21.489,113.036598,28.095029,900000066175018,,
长沙地铁,地铁6号线,900000075109,谢家桥,0.0,0.0,112.835855,28.172005,900000075109001,,
长沙地铁,地铁6号线,900000075109,象鼻窝,1.706,1.706,112.853249,28.172551,900000075109002,,
长沙地铁,地铁6号线,900000075109,中塘,1.366,3.072,112.863734,28.180643,900000075109003,,
长沙地铁,地铁6号线,900000075109,一师范西校区,1.378,4.45,112.864845,28.192999,900000075109004,,
长沙地铁,地铁6号线,900000075109,长庆,0.917,5.367,112.862904,28.201071,900000075109005,,
长沙地铁,地铁6号线,900000075109,和馨园,1.506,6.873,112.861548,28.214565,900000075109006,,
长沙地铁,地铁6号线,900000075109,长丰,1.215,8.088,112.871751,28.220778,900000075109007,,
长沙地铁,地铁6号线,900000075109,麓谷体育公园,1.0,9.088,112.881917,28.219941,900000075109008,,
长沙地铁,地铁6号线,900000075109,麓谷公园,1.427,10.515,112.896325,28.218089,900000075109009,,
