系统,线路,线路ID,站名,站间距(km),累计里程(km),经度,纬度,station ID,pinyin,year of opening
福州地铁,地铁1号线,350100020612,象峰,0.0,0.0,119.32964,26.14343,350100020612029,,
福州地铁,地铁1号线,350100020612,秀山,1.375,1.375,119.321016,26.133785,350100020612030,,
福州地铁,地铁1号线,350100020612,罗汉山,0.896,2.271,119.31837,26.126086,350100020612031,,
福州地铁,地铁1号线,350100020612,福州火车站,1.458,3.729,119.318133,26.112978,350100020612032,,
福州地铁,地铁1号线,350100020612,斗门,1.094,4.823,119.313723,26.103973,350100020612033,,
福州地铁,地铁1号线,350100020612,树兜,0.726,5.549,119.306675,26.102362,350100020612034,,
福州地铁,地铁1号线,350100020612,屏山,1.178,6.727,119.297038,26.096256,350100020612035,,
福州地铁,地铁1号线,350100020612,东街口,1.166,7.893,119.299259,26.08596,350100020612036,,
福州地铁,地铁1号线,350100020612,南门兜,1.149,9.042,119.303197,26.07625,350100020612037,,
福州地铁,地铁1号线,350100020612,茶亭,0.796,9.838,119.304376,26.069167,350100020612038,,
福州地铁,地铁1号线,350100020612,达道,1.461,11.299,119.309855,26.056982,350100020612039,,
福州地铁,地铁1号线,350100020612,上藤,1.824,13.123,119.320579,26.043708,350100020612040,,
福州地铁,地铁1号线,350100020612,三叉街,1.165,14.288,119.326693,26.034785,350100020612014,,
福州地铁,地铁1号线,350100020612,白湖亭,1.306,15.594,119.335262,26.025916,350100020612015,,
福州地铁,地铁1号线,350100020612,葫芦阵,1.283,16.877,119.34355,26.017109,350100020612016,,
福州地铁,地铁1号线,350100020612,黄山,0.932,17.809,119.348788,26.010176,350100020612017,,
福州地铁,地铁1号线,350100020612,排下,1.087,18.896,119.354008,26.001603,350100020612018,,
福州地铁,地铁1号线,350100020612,城门,0.867,19.763,119.36022,25.996158,350100020612019,,
福州地铁,地铁1号线,350100020612,三角埕,1.004,20.767,119.368306,25.990796,350100020612020,,
福州地铁,地铁1号线,350100020612,胪雷,1.37,22.137,119.380086,25.984504,350100020612021,,
福州地铁,地铁1号线,350100020612,福州火车南站,1.197,23.334,119.391878,25.986372,350100020612022,,
福州地铁,地铁1号线,350100020612,安平,1.228,24.562,119.402224,25.992335,350100020612041,,
福州地铁,地铁1号线,350100020612,梁厝,1.306,25.868,119.415109,25.994261,350100020612042,,
福州地铁,地铁1号线,350100020612,下洋,1.254,27.122,119.420776,25.984204,350100020612043,,
福州地铁,地铁1号线,350100020612,三江口,0.799,27.921,119.426122,25.978861,350100020612044,,
福州地铁,地铁2号线,350100020745,苏洋,0.0,0.0,119.15963,26.098509,350100020745002,,
福州地铁,地铁2号线,350100020745,沙堤,2.014,2.014,119.173983,26.085788,350100020745003,,
福州地铁,地铁2号线,350100020745,上街,1.74,3.754,119.187282,26.075681,350100020745004,,
福州地铁,地铁2号线,350100020745,金屿,1.593,5.347,119.200134,26.067193,350100020745005,,
福州地铁,地铁2号线,350100020745,福州大学,1.035,6.382,119.20348,26.058382,350100020745006,,
福州地铁,地铁2号线,350100020745,董屿·福建师大,1.934,8.316,119.207305,26.041328,350100020745007,,
福州地铁,地铁2号线,350100020745,厚庭,0.762,9.078,119.214929,26.04133,350100020745008,,
福州地铁,地铁2号线,350100020745,桔园洲,2.85,11.928,119.242783,26.046869,350100020745009,,
福州地铁,地铁2号线,350100020745,洪湾,0.73,12.658,119.250067,26.047386,350100020745010,,
福州地铁,地铁2号线,350100020745,金山,1.225,13.883,119.262331,26.047449,350100020745011,,
福州地铁,地铁2号线,350100020745,金祥,0.886,14.769,119.271121,26.048511,350100020745012,,
福州地铁,地铁2号线,350100020745,祥坂,2.017,16.786,119.286026,26.060745,350100020745013,,
福州地铁,地铁2号线,350100020745,宁化,0.759,17.545,119.293285,26.062753,350100020745014,,
福州地铁,地铁2号线,350100020745,西洋,1.055,18.6,119.296899,26.071669,350100020745015,,
福州地铁,地铁2号线,350100020745,南门兜,0.809,19.409,119.303197,26.07625,350100020612037,,
福州地铁,地铁2号线,350100020745,水部,1.096,20.505,119.314169,26.076428,350100020745018,,
福州地铁,地铁2号线,350100020745,紫阳,1.299,21.804,119.327173,26.076378,350100020745024,,
福州地铁,地铁2号线,350100020745,五里亭,1.33,23.134,119.340276,26.074265,350100020745020,,
福州地铁,地铁2号线,350100020745,前屿,1.04,24.174,119.350356,26.071935,350100020745021,,
福州地铁,地铁2号线,350100020745,上洋,1.403,25.577,119.363035,26.066498,350100020745022,,
福州地铁,地铁2号线,350100020745,鼓山,1.895,27.472,119.375054,26.053312,350100020745023,,
福州地铁,地铁2号线,350100020745,洋里,0.939,28.411,119.372233,26.045254,350100020745025,,
福州地铁,地铁4号线,900000090236,帝封江,0.0,0.0,119.33544,25.987382,900000088653016,,
福州地铁,地铁4号线,900000090236,螺洲温泉,1.397,1.397,119.349023,25.990339,900000090236002,,
福州地铁,地铁4号线,900000090236,城门,1.293,2.69,119.36022,25.996158,350100020612019,,
福州地铁,地铁4号线,900000090236,林浦,2.265,4.955,119.365369,26.015993,900000076581026,,
福州地铁,地铁4号线,900000090236,会展中心,1.621,6.576,119.359563,26.029607,900000090236005,,
福州地铁,地铁4号线,900000090236,花海公园,1.48,8.056,119.35042,26.040078,900000090236006,,
福州地铁,地铁4号线,900000090236,鳌峰洲,1.734,9.79,119.344516,26.054747,900000090236007,,
福州地铁,地铁4号线,900000090236,光明港,1.153,10.943,119.346943,26.064887,900000090236008,,
福州地铁,地铁4号线,900000090236,前屿,0.855,11.798,119.350356,26.071935,350100020745021,,
福州地铁,地铁4号线,900000090236,后屿,1.1,12.898,119.352541,26.081629,900000090236010,,
福州地铁,地铁4号线,900000090236,横屿,0.913,13.811,119.352237,26.089831,900000090236011,,
福州地铁,地铁4号线,900000090236,竹屿,1.497,15.308,119.337675,26.09304,900000090236012,,
福州地铁,地铁4号线,900000090236,三角池,1.163,16.471,119.326262,26.090976,900000090236013,,
福州地铁,地铁4号线,900000090236,东门,1.184,17.655,119.315019,26.08759,900000090236014,,
福州地铁,地铁4号线,900000090236,省立医院,0.748,18.403,119.307583,26.086754,900000090236015,,
福州地铁,地铁4号线,900000090236,东街口,0.836,19.239,119.299259,26.08596,350100020612036,,
福州地铁,地铁4号线,900000090236,西门,0.93,20.169,119.290055,26.0847,900000090236017,,
福州地铁,地铁4号线,900000090236,陆庄,0.694,20.863,119.283553,26.08251,900000090236018,,
福州地铁,地铁4号线,900000090236,凤凰池,1.176,22.039,119.27271,26.078389,900000090236019,,
福州地铁,地铁4号线,900000090236,金牛山,1.122,23.161,119.261723,26.076302,900000090236020,,
福州地铁,地铁4号线,900000090236,洪塘,1.202,24.363,119.250149,26.073332,900000088653003,,
福州地铁,地铁4号线,900000090236,建新,1.581,25.944,119.237864,26.064362,900000090236022,,
福州地铁,地铁4号线,900000090236,半洲,0.866,26.81,119.237833,26.056572,900000090236023,,
福州地铁,地铁5号线,900000088653,荆溪厚屿,0.0,0.0,119.231542,26.109727,900000088653001,,
福州地铁,地铁5号线,900000088653,农林大学,3.17,3.17,119.246814,26.084736,900000088653002,,
福州地铁,地铁5号线,900000088653,洪塘,1.311,4.481,119.250149,26.073332,900000088653003,,
福州地铁,地铁5号线,900000088653,阵坂,0.898,5.379,119.251769,26.065387,900000088653004,,
福州地铁,地铁5号线,900000088653,马榕,1.288,6.667,119.258374,26.055436,900000088653005,,
福州地铁,地铁5号线,900000088653,金山,0.972,7.639,119.262331,26.047449,350100020745011,,
福州地铁,地铁5号线,900000088653,凤岗里,1.076,8.715,119.266951,26.038708,900000088653007,,
福州地铁,地铁5号线,900000088653,浦上大道,0.769,9.484,119.272675,26.034091,900000088653008,,
福州地铁,地铁5号线,900000088653,霞镜,1.048,10.532,119.276478,26.025311,900000088653009,,
福州地铁,地铁5号线,900000088653,东岭,1.331,11.863,119.277347,26.013371,900000088653010,,
福州地铁,地铁5号线,900000088653,台屿,0.914,12.777,119.281334,26.005975,900000088653011,,
福州地铁,地铁5号线,900000088653,盘屿,1.376,14.153,119.292994,25.999391,900000088653012,,
福州地铁,地铁5号线,900000088653,吴山,1.788,15.941,119.310732,25.997274,900000088653013,,
福州地铁,地铁5号线,900000088653,盖山竹榄,1.052,16.993,119.320549,25.993859,900000088653014,,
福州地铁,地铁5号线,900000088653,义序,1.036,18.029,119.32743,25.986895,900000088653015,,
福州地铁,地铁5号线,900000088653,帝封江,0.802,18.831,119.33544,25.987382,900000088653016,,
福州地铁,地铁5号线,900000088653,螺洲古镇,1.598,20.429,119.351377,25.98628,900000088653017,,
福州地铁,地铁5号线,900000088653,前锦,1.121,21.55,119.362402,25.984426,900000088653021,,
福州地铁,地铁5号线,900000088653,龙江,0.998,22.548,119.372382,25.984442,900000088653022,,
福州地铁,地铁5号线,900000088653,福州火车南站,1.96,24.508,119.391878,25.986372,350100020612022,,
福州地铁,地铁6号线,900000076581,潘墩,0.0,0.0,119.357766,26.020812,900000076581025,,
福州地铁,地铁6号线,900000076581,林浦,0.93,0.93,119.365369,26.015993,900000076581026,,
福州地铁,地铁6号线,900000076581,樟岚,2.637,3.567,119.389454,26.006301,900000076581027,,
福州地铁,地铁6号线,900000076581,梁厝,2.892,6.459,119.415109,25.994261,350100020612042,,
福州地铁,地铁6号线,900000076581,下洋,1.254,7.713,119.420776,25.984204,350100020612043,,
福州地铁,地铁6号线,900000076581,营前,6.155,13.868,119.474237,25.956739,900000076581006,,
福州地铁,地铁6号线,900000076581,航城,1.782,15.65,119.491172,25.951756,900000076581007,,
福州地铁,地铁6号线,900000076581,郑和,1.388,17.038,119.503077,25.958179,900000076581008,,
福州地铁,地铁6号线,900000076581,十洋,1.214,18.252,119.515221,25.958195,900000076581009,,
福州地铁,地铁6号线,900000076581,吴航,1.577,19.829,119.528927,25.951181,900000076581010,,
福州地铁,地铁6号线,900000076581,鹤上,1.525,21.354,119.538539,25.940531,900000076581011,,
福州地铁,地铁6号线,900000076581,沙京,1.344,22.698,119.54656,25.930828,900000076581012,,
福州地铁,地铁6号线,900000076581,莲花,2.768,25.466,119.571059,25.91924,900000076581013,,
福州地铁,地铁6号线,900000076581,下吴,1.394,26.86,119.582616,25.912233,900000076581014,,
福州地铁,地铁6号线,900000076581,壶井,1.296,28.156,119.593335,25.905685,900000076581015,,
福州地铁,地铁6号线,900000076581,万寿,1.127,29.283,119.60263,25.899952,900000076581016,,
福州地铁,滨海快线,900000139163,福州火车站,0.0,0.0,119.318133,26.112978,350100020612032,,
