系统,线路,线路ID,站名,站间距(km),累计里程(km),经度,纬度,station ID,pinyin,year of opening
南昌地铁,地铁1号线,360100020431,昌北机场,0.0,0.0,115.918586,28.855564,360100020431026,,
南昌地铁,地铁1号线,360100020431,汇贤大道,6.534,6.534,115.882005,28.806308,360100020431027,,
南昌地铁,地铁1号线,360100020431,建业大道,1.51,8.044,115.880506,28.792796,360100020431028,,
南昌地铁,地铁1号线,360100020431,定子山,2.372,10.416,115.874417,28.772147,360100020431029,,
南昌地铁,地铁1号线,360100020431,冠山,1.257,11.673,115.861531,28.772526,360100020431030,,
南昌地铁,地铁1号线,360100020431,南齿,1.26,12.933,115.851141,28.765791,360100020431031,,
南昌地铁,地铁1号线,360100020431,方志敏大道,0.876,13.809,115.855573,28.75894,360100020431032,,
南昌地铁,地铁1号线,360100020431,蛟桥,0.881,14.69,115.858957,28.751591,360100020431033,,
南昌地铁,地铁1号线,360100020431,双港,0.965,15.655,115.86114,28.743126,360100020431002,,
南昌地铁,地铁1号线,360100020431,孔目湖,1.181,16.836,115.857961,28.732878,360100020431003,,
南昌地铁,地铁1号线,360100020431,长江路,2.719,19.555,115.879619,28.717481,360100020431004,,
南昌地铁,地铁1号线,360100020431,珠江路,1.165,20.72,115.875913,28.707524,360100020431005,,
南昌地铁,地铁1号线,360100020431,庐山南大道,1.209,21.929,115.865669,28.701409,360100020431006,,
南昌地铁,地铁1号线,360100020431,绿茵路,0.856,22.785,115.858056,28.697587,360100020431007,,
南昌地铁,地铁1号线,360100020431,卫东,1.159,23.944,115.848986,28.690856,360100020431008,,
南昌地铁,地铁1号线,360100020431,地铁大厦,0.824,24.768,115.852386,28.684076,360100020431009,,
南昌地铁,地铁1号线,360100020431,秋水广场,0.811,25.579,115.859973,28.681095,360100020431010,,
南昌地铁,地铁1号线,360100020431,滕王阁,1.942,27.521,115.877788,28.673301,360100020431011,,
南昌地铁,地铁1号线,360100020431,万寿宫,0.814,28.335,115.885883,28.675086,360100020431012,,
南昌地铁,地铁1号线,360100020431,八一馆,0.56,28.895,115.891587,28.675662,360100020431013,,
南昌地铁,地铁1号线,360100020431,八一广场,1.082,29.977,115.902665,28.67514,360100020431014,,
南昌地铁,地铁1号线,360100020431,丁公路北,1.049,31.026,115.913333,28.673932,360100020431015,,
南昌地铁,地铁1号线,360100020431,师大南路,1.061,32.087,115.924203,28.674034,360100020431016,,
南昌地铁,地铁1号线,360100020431,彭家桥,0.899,32.986,115.933419,28.674227,360100020431017,,
南昌地铁,地铁1号线,360100020431,谢家村,0.71,33.696,115.9407,28.674256,360100020431018,,
南昌地铁,地铁1号线,360100020431,青山湖大道,0.794,34.49,115.948839,28.674362,360100020431019,,
南昌地铁,地铁1号线,360100020431,高新大道,1.126,35.616,115.960385,28.674424,360100020431020,,
南昌地铁,地铁1号线,360100020431,艾溪湖西,1.298,36.914,115.973691,28.674424,360100020431021,,
南昌地铁,地铁1号线,360100020431,艾溪湖东,1.931,38.845,115.993481,28.674697,360100020431022,,
南昌地铁,地铁1号线,360100020431,太子殿,1.729,40.574,116.011198,28.67501,360100020431023,,
南昌地铁,地铁1号线,360100020431,奥体中心,1.322,41.896,116.024731,28.674482,360100020431024,,
南昌地铁,地铁1号线,360100020431,瑶湖西,1.355,43.251,116.038354,28.672109,360100020431025,,
南昌地铁,地铁1号线,360100020431,瑶湖东,2.337,45.588,116.061335,28.666177,360100020431034,,
南昌地铁,地铁1号线,360100020431,麻丘,1.688,47.276,116.078631,28.66657,360100020431035,,
南昌地铁,地铁2号线,360100020563,南路,0.0,0.0,115.789286,28.552708,360100020563023,,
南昌地铁,地铁2号线,360100020563,南昌中学,0.876,0.876,115.789363,28.56059,360100020563024,,
南昌地铁,地铁2号线,360100020563,生米,1.258,2.134,115.790844,28.571832,360100020563025,,
南昌地铁,地铁2号线,360100020563,九龙湖南,0.91,3.044,115.793412,28.579703,360100020563026,,
南昌地铁,地铁2号线,360100020563,市民中心,1.551,4.595,115.79619,28.593435,360100020563027,,
南昌地铁,地铁2号线,360100020563,鹰潭街,0.681,5.276,115.799006,28.599043,360100020563028,,
南昌地铁,地铁2号线,360100020563,国博,1.065,6.341,115.79587,28.608219,360100020563029,,
南昌地铁,地铁2号线,360100020563,西站南广场,1.245,7.586,115.790539,28.618386,360100020563022,,
南昌地铁,地铁2号线,360100020563,南昌西站,0.625,8.211,115.793362,28.623431,360100020563002,,
南昌地铁,地铁2号线,360100020563,龙岗,0.94,9.151,115.802987,28.623161,360100020563003,,
南昌地铁,地铁2号线,360100020563,国体中心,1.345,10.496,115.816739,28.622378,360100020563004,,
南昌地铁,地铁2号线,360100020563,卧龙山,1.169,11.665,115.822477,28.631606,360100020563005,,
南昌地铁,地铁2号线,360100020563,岭北,1.288,12.953,115.830145,28.641038,360100020563006,,
南昌地铁,地铁2号线,360100020563,前湖大道,1.292,14.245,115.834939,28.651869,360100020563007,,
南昌地铁,地铁2号线,360100020563,学府大道东,0.916,15.161,115.839123,28.659244,360100020563008,,
南昌地铁,地铁2号线,360100020563,翠苑路,1.66,16.821,115.846675,28.67262,360100020563009,,
南昌地铁,地铁2号线,360100020563,地铁大厦,1.39,18.211,115.852386,28.684076,360100020431009,,
南昌地铁,地铁2号线,360100020563,雅苑路,1.013,19.224,115.857386,28.692061,360100020563030,,
南昌地铁,地铁2号线,360100020563,红谷中大道,0.939,20.163,115.867006,28.691703,360100020563031,,
南昌地铁,地铁2号线,360100020563,阳明公园,2.405,22.568,115.891286,28.687954,360100020563032,,
南昌地铁,地铁2号线,360100020563,青山路口,1.057,23.625,115.902096,28.687249,360100020563033,,
南昌地铁,地铁2号线,360100020563,福州路,0.744,24.369,115.903284,28.680642,360100020563034,,
南昌地铁,地铁2号线,360100020563,八一广场,0.615,24.984,115.902665,28.67514,360100020431014,,
南昌地铁,地铁2号线,360100020563,永叔路,0.963,25.947,115.90533,28.666803,360100020563036,,
南昌地铁,地铁2号线,360100020563,丁公路南,0.812,26.759,115.912587,28.663235,360100020563037,,
南昌地铁,地铁2号线,360100020563,南昌火车站,0.821,27.58,115.921001,28.663184,360100020563038,,
南昌地铁,地铁2号线,360100020563,顺外,0.697,28.277,115.928124,28.663683,360100020563039,,
南昌地铁,地铁2号线,360100020563,辛家庵,1.217,29.494,115.93957,28.659337,360100020563040,,
南昌地铁,地铁2号线,360100020563,楞上,1.012,30.506,115.942831,28.650701,360100020563041,,
南昌地铁,地铁2号线,360100020563,北罗,0.74,31.246,115.949706,28.647897,360100020563042,,
南昌地铁,地铁2号线,360100020563,李巷,0.9,32.146,115.957776,28.643979,360100020563043,,
南昌地铁,地铁2号线,360100020563,沈桥,1.424,33.57,115.97193,28.640865,360100020563044,,
南昌地铁,地铁2号线,360100020563,观田,0.921,34.491,115.980876,28.638231,360100020563045,,
南昌地铁,地铁2号线,360100020563,罗家集,1.001,35.492,115.989514,28.633385,360100020563046,,
南昌地铁,地铁2号线,360100020563,枫下,1.426,36.918,115.997133,28.622442,360100020563047,,
南昌地铁,地铁2号线,360100020563,国展中心,1.149,38.067,116.006438,28.616119,360100020563048,,
南昌地铁,地铁2号线,360100020563,南昌东站,1.174,39.241,116.018241,28.614108,360100020563049,,
南昌地铁,地铁3号线,900000057035,京东大道,0.0,0.0,115.972495,28.692445,900000057035001,,
南昌地铁,地铁3号线,900000057035,梁万,1.209,1.209,115.960352,28.690277,900000057035002,,
南昌地铁,地铁3号线,900000057035,火炬广场,1.076,2.285,115.949586,28.688182,900000057035003,,
南昌地铁,地铁3号线,900000057035,国威路,0.767,3.052,115.941806,28.687168,900000057035004,,
南昌地铁,地铁3号线,900000057035,青山湖西,1.925,4.977,115.923339,28.693267,900000057035005,,
南昌地铁,地铁3号线,900000057035,上沙沟,1.158,6.135,115.911541,28.694437,900000057035006,,
南昌地铁,地铁3号线,900000057035,青山路口,1.22,7.355,115.902096,28.687249,360100020563033,,
南昌地铁,地铁3号线,900000057035,墩子塘,0.757,8.112,115.894791,28.684957,900000057035008,,
南昌地铁,地铁3号线,900000057035,八一馆,1.08,9.192,115.891587,28.675662,360100020431013,,
南昌地铁,地铁3号线,900000057035,六眼井,0.693,9.885,115.893928,28.669774,900000057035010,,
南昌地铁,地铁3号线,900000057035,绳金塔,1.476,11.361,115.901415,28.658241,900000057035011,,
南昌地铁,地铁3号线,900000057035,十字街,0.637,11.998,115.905827,28.654019,900000057035012,,
南昌地铁,地铁3号线,900000057035,京家山,1.681,13.679,115.90652,28.638918,900000057035013,,
南昌地铁,地铁3号线,900000057035,江铃,1.63,15.309,115.907392,28.62428,900000057035014,,
南昌地铁,地铁3号线,900000057035,施尧,1.008,16.317,115.907844,28.615223,900000057035015,,
南昌地铁,地铁3号线,900000057035,八大山人,1.493,17.81,115.908447,28.601805,900000057035016,,
南昌地铁,地铁3号线,900000057035,邓埠,1.331,19.141,115.909837,28.589895,900000057035017,,
南昌地铁,地铁3号线,900000057035,复兴大道东,1.556,20.697,115.912332,28.576072,900000057035018,,
南昌地铁,地铁3号线,900000057035,沥山,2.224,22.921,115.915972,28.556331,900000057035019,,
南昌地铁,地铁3号线,900000057035,柏岗,1.348,24.269,115.91819,28.544366,900000057035020,,
南昌地铁,地铁3号线,900000057035,斗门,1.956,26.225,115.927796,28.528927,900000057035021,,
南昌地铁,地铁3号线,900000057035,银三角北,1.125,27.35,115.934838,28.520919,900000057035022,,
南昌地铁,地铁4号线,900000068673,白马山,0.0,0.0,115.722486,28.630675,900000068673001,,
南昌地铁,地铁4号线,900000068673,裕丰街,1.362,1.362,115.730482,28.620635,900000068673002,,
南昌地铁,地铁4号线,900000068673,璜溪,0.974,2.336,115.740447,28.620206,900000068673003,,
南昌地铁,地铁4号线,900000068673,中堡,1.298,3.634,115.753264,28.62331,900000068673004,,
南昌地铁,地铁4号线,900000068673,礼庄山,1.817,5.451,115.771718,28.62549,900000068673005,,
南昌地铁,地铁4号线,900000068673,西站南广场,2.0,7.451,115.790539,28.618386,360100020563022,,
南昌地铁,地铁4号线,900000068673,怀玉山大道,0.941,8.392,115.799433,28.615132,900000068673007,,
南昌地铁,地铁4号线,900000068673,安丰,1.045,9.437,115.809017,28.610946,900000068673008,,
南昌地铁,地铁4号线,900000068673,东新,3.29,12.727,115.839267,28.597913,900000068673009,,
南昌地铁,地铁4号线,900000068673,新洪城大市场,1.435,14.162,115.850686,28.606035,900000068673010,,
南昌地铁,地铁4号线,900000068673,丁家洲,1.938,16.1,115.856715,28.622645,900000068673011,,
南昌地铁,地铁4号线,900000068673,观洲,1.249,17.349,115.863173,28.632342,900000068673012,,
南昌地铁,地铁4号线,900000068673,云天路,0.915,18.264,115.867984,28.639402,900000068673013,,
南昌地铁,地铁4号线,900000068673,灌婴路,1.069,19.333,115.872805,28.648037,900000068673014,,
南昌地铁,地铁4号线,900000068673,南昌大桥东,0.946,20.279,115.877592,28.65544,900000068673015,,
南昌地铁,地铁4号线,900000068673,桃苑,1.333,21.612,115.890374,28.659672,900000068673016,,
南昌地铁,地铁4号线,900000068673,绳金塔,1.089,22.701,115.901415,28.658241,900000057035011,,
南昌地铁,地铁4号线,900000068673,坛子口,0.83,23.531,115.909834,28.657195,900000068673018,,
南昌地铁,地铁4号线,900000068673,丁公路南,0.723,24.254,115.912587,28.663235,360100020563037,,
南昌地铁,地铁4号线,900000068673,丁公路北,1.192,25.446,115.913333,28.673932,360100020431015,,
南昌地铁,地铁4号线,900000068673,人民公园,1.126,26.572,115.912328,28.684019,900000068673021,,
南昌地铁,地铁4号线,900000068673,上沙沟,1.161,27.733,115.911541,28.694437,900000057035006,,
南昌地铁,地铁4号线,900000068673,起凤路,1.022,28.755,115.916931,28.702316,900000068673023,,
南昌地铁,地铁4号线,900000068673,七里,1.296,30.051,115.927472,28.709415,900000068673024,,
南昌地铁,地铁4号线,900000068673,民园路西,2.212,32.263,115.947587,28.718601,900000068673025,,
南昌地铁,地铁4号线,900000068673,火炬,1.258,33.521,115.960268,28.716502,900000068673026,,
南昌地铁,地铁4号线,900000068673,北沥,1.201,34.722,115.972525,28.715457,900000068673027,,
南昌地铁,地铁4号线,900000068673,科技城,0.934,35.656,115.982102,28.715406,900000068673030,,
南昌地铁,地铁4号线,900000068673,鱼尾洲,2.041,37.697,116.001967,28.709616,900000068673029,,
