系统,线路,线路ID,from_station,to_station,from_id,to_id,distance(km),year of segment opening
青岛地铁,地铁1号线北段,900000073472,东郭庄,沟岔,900000073472009,900000073472010,1.377,
青岛地铁,地铁1号线北段,900000073472,沟岔,农业大学,900000073472010,900000073472011,1.493,
青岛地铁,地铁1号线北段,900000073472,农业大学,正阳中路,900000073472011,900000073472012,1.091,
青岛地铁,地铁1号线北段,900000073472,正阳中路,小寨子,900000073472012,900000073472013,1.056,
青岛地铁,地铁1号线北段,900000073472,小寨子,凤岗路,900000073472013,900000073472014,1.228,
青岛地铁,地铁1号线北段,900000073472,凤岗路,流亭,900000073472014,900000073472015,1.978,
青岛地铁,地铁1号线北段,900000073472,流亭,仙家寨(汽车北站),900000073472015,900000073472016,3.171,
青岛地铁,地铁1号线北段,900000073472,仙家寨(汽车北站),瑞金路,900000073472016,900000073472017,1.411,
青岛地铁,地铁1号线北段,900000073472,瑞金路,遵义路,900000073472017,900000073472018,1.444,
青岛地铁,地铁1号线北段,900000073472,遵义路,南岭,900000073472018,900000073472019,1.486,
青岛地铁,地铁1号线北段,900000073472,南岭,兴国路,900000073472019,900000073472020,1.159,
青岛地铁,地铁1号线北段,900000073472,兴国路,永年路,900000073472020,900000073472021,1.155,
青岛地铁,地铁1号线北段,900000073472,永年路,沧安路,900000073472021,900000073472022,1.263,
青岛地铁,地铁1号线北段,900000073472,沧安路,青岛北站,900000073472022,900000030289001,1.225,
青岛地铁,地铁1号线北段,900000073472,青岛北站,安顺路,900000030289001,900000073472024,1.203,
青岛地铁,地铁1号线北段,900000073472,安顺路,胜利桥(纺织谷),900000073472024,900000073472025,1.307,
青岛地铁,地铁1号线北段,900000073472,胜利桥(纺织谷),中心医院,900000073472025,900000073472026,1.027,
青岛地铁,地铁1号线北段,900000073472,中心医院,水清沟,900000073472026,900000073472027,1.615,
青岛地铁,地铁1号线北段,900000073472,水清沟,北岭,900000073472027,900000073472028,1.475,
青岛地铁,地铁1号线北段,900000073472,北岭,小村庄,900000073472028,900000073472029,1.207,
青岛地铁,地铁1号线北段,900000073472,小村庄,海泊桥(海慈医疗),900000073472029,900000071917007,1.214,
青岛地铁,地铁1号线北段,900000073472,海泊桥(海慈医疗),台东,900000071917007,900000030291024,1.522,
青岛地铁,地铁1号线北段,900000073472,台东,广饶路,900000030291024,900000073472032,1.31,
青岛地铁,地铁1号线北段,900000073472,广饶路,观象山(市立医院),900000073472032,900000071917003,1.143,
青岛地铁,地铁1号线北段,900000073472,观象山(市立医院),中山路,900000071917003,900000073472034,0.744,
青岛地铁,地铁1号线北段,900000073472,中山路,青岛站,900000073472034,900000030289034,1.088,
青岛地铁,地铁1号线北段,900000073472,青岛站,西镇,900000030289034,900000073472036,0.813,
