系统,线路,线路ID,from_station,to_station,from_id,to_id,distance(km),year of segment opening
芜湖轨道交通,轨道交通1号线,900000075437,保顺路,华山路,900000075437001,900000075437002,1.254,
芜湖轨道交通,轨道交通1号线,900000075437,华山路,泰山路,900000075437002,900000075437003,1.244,
芜湖轨道交通,轨道交通1号线,900000075437,泰山路,衡山路,900000075437003,900000075437004,1.153,
芜湖轨道交通,轨道交通1号线,900000075437,衡山路,龙山路,900000075437004,900000075437005,1.74,
芜湖轨道交通,轨道交通1号线,900000075437,龙山路,鞍山路,900000075437005,900000075437006,0.938,
芜湖轨道交通,轨道交通1号线,900000075437,鞍山路,港湾路,900000075437006,900000075437007,1.67,
芜湖轨道交通,轨道交通1号线,900000075437,港湾路,裕安路,900000075437007,900000075437008,0.953,
芜湖轨道交通,轨道交通1号线,900000075437,裕安路,武夷山路,900000075437008,900000075437009,1.175,
芜湖轨道交通,轨道交通1号线,900000075437,武夷山路,港一路,900000075437009,900000075437010,0.877,
芜湖轨道交通,轨道交通1号线,900000075437,港一路,天柱山路,900000075437010,900000075437011,1.451,
芜湖轨道交通,轨道交通1号线,900000075437,天柱山路,天门山路,900000075437011,900000075437012,0.94,
芜湖轨道交通,轨道交通1号线,900000075437,天门山路,赤铸山路,900000075437012,900000075437013,0.893,
芜湖轨道交通,轨道交通1号线,900000075437,赤铸山路,赭山路,900000075437013,900000075437014,1.203,
芜湖轨道交通,轨道交通1号线,900000075437,赭山路,赭山公园,900000075437014,900000075437015,0.703,
芜湖轨道交通,轨道交通1号线,900000075437,赭山公园,中山北路,900000075437015,900000075437016,0.716,
芜湖轨道交通,轨道交通1号线,900000075437,中山北路,鸠兹广场,900000075437016,900000075437017,0.851,
芜湖轨道交通,轨道交通1号线,900000075437,鸠兹广场,环城北路,900000075437017,900000075437018,1.216,
芜湖轨道交通,轨道交通1号线,900000075437,环城北路,奥体中心,900000075437018,900000075437019,1.499,
芜湖轨道交通,轨道交通1号线,900000075437,奥体中心,红花山路,900000075437019,900000075437020,1.084,
芜湖轨道交通,轨道交通1号线,900000075437,红花山路,博览中心,900000075437020,900000075437021,0.849,
芜湖轨道交通,轨道交通1号线,900000075437,博览中心,文津东路,900000075437021,900000075437022,1.235,
芜湖轨道交通,轨道交通1号线,900000075437,文津东路,珩琅山路,900000075437022,900000075437023,2.069,
芜湖轨道交通,轨道交通1号线,900000075437,珩琅山路,芜湖南站,900000075437023,900000075437024,1.89,
芜湖轨道交通,轨道交通1号线,900000075437,芜湖南站,白马山,900000075437024,900000075437025,0.849,
芜湖轨道交通,轨道交通2号线,900000075459,鸠兹广场,文化路,900000075437017,900000075459002,1.189,
芜湖轨道交通,轨道交通2号线,900000075459,文化路,神山口,900000075459002,900000075459003,1.302,
芜湖轨道交通,轨道交通2号线,900000075459,神山口,芜湖火车站,900000075459003,900000075459004,1.108,
芜湖轨道交通,轨道交通2号线,900000075459,芜湖火车站,神山公园,900000075459004,900000075459012,1.772,
芜湖轨道交通,轨道交通2号线,900000075459,神山公园,云从路,900000075459012,900000075459013,1.129,
芜湖轨道交通,轨道交通2号线,900000075459,云从路,政务中心,900000075459013,900000075459006,0.834,
芜湖轨道交通,轨道交通2号线,900000075459,政务中心,海晏路,900000075459006,900000075459008,1.0,
芜湖轨道交通,轨道交通2号线,900000075459,海晏路,方特·徽州路,900000075459008,900000075459009,1.81,
芜湖轨道交通,轨道交通2号线,900000075459,方特·徽州路,梦溪路,900000075459009,900000075459010,2.115,
芜湖轨道交通,轨道交通2号线,900000075459,梦溪路,万春湖路,900000075459010,900000075459011,1.859,
