系统,线路,线路ID,from_station,to_station,from_id,to_id,distance(km),year of segment opening
北京地铁,地铁16号线,900000062236,北安河,温阳路,900000062236001,900000062236002,2.633,
北京地铁,地铁16号线,900000062236,温阳路,稻香湖路,900000062236002,900000062236003,2.28,
北京地铁,地铁16号线,900000062236,稻香湖路,屯佃,900000062236003,900000062236004,2.358,
北京地铁,地铁16号线,900000062236,屯佃,永丰,900000062236004,900000062236005,1.963,
北京地铁,地铁16号线,900000062236,永丰,永丰南,900000062236005,900000062236006,1.08,
北京地铁,地铁16号线,900000062236,永丰南,西北旺,900000062236006,900000062236007,2.052,
北京地铁,地铁16号线,900000062236,西北旺,马连洼,900000062236007,900000062236008,2.258,
北京地铁,地铁16号线,900000062236,马连洼,农大南路,900000062236008,900000062236009,1.43,
北京地铁,地铁16号线,900000062236,农大南路,西苑,900000062236009,110100023076004,2.676,
北京地铁,地铁16号线,900000062236,西苑,万泉河桥,110100023076004,900000062236011,1.665,
北京地铁,地铁16号线,900000062236,万泉河桥,苏州街,900000062236011,110100023282003,1.173,
北京地铁,地铁16号线,900000062236,苏州街,苏州桥,110100023282003,900000062236013,1.488,
北京地铁,地铁16号线,900000062236,苏州桥,万寿寺,900000062236013,900000062236014,1.627,
北京地铁,地铁16号线,900000062236,万寿寺,国家图书馆,900000062236014,110100023076011,1.402,
北京地铁,地铁16号线,900000062236,国家图书馆,二里沟,110100023076011,110100023339036,1.394,
北京地铁,地铁16号线,900000062236,二里沟,甘家口,110100023339036,900000062236017,1.005,
北京地铁,地铁16号线,900000062236,甘家口,玉渊潭东门,900000062236017,900000062236018,1.04,
北京地铁,地铁16号线,900000062236,玉渊潭东门,木樨地,900000062236018,110100023110011,0.785,
北京地铁,地铁16号线,900000062236,木樨地,达官营,110100023110011,110100023054004,1.951,
北京地铁,地铁16号线,900000062236,达官营,红莲南路,110100023054004,900000062236021,1.378,
北京地铁,地铁16号线,900000062236,红莲南路,丽泽商务区,900000062236021,900000028907029,1.185,
北京地铁,地铁16号线,900000062236,丽泽商务区,东管头南,900000028907029,110100023092014,1.512,
北京地铁,地铁16号线,900000062236,东管头南,丰台站,110100023092014,110100023282036,1.7,
北京地铁,地铁16号线,900000062236,丰台站,丰台南路,110100023282036,110100023116005,1.222,
北京地铁,地铁16号线,900000062236,丰台南路,富丰桥,110100023116005,900000062236026,0.978,
北京地铁,地铁16号线,900000062236,富丰桥,看丹,900000062236026,900000062236027,1.247,
北京地铁,地铁16号线,900000062236,看丹,榆树庄,900000062236027,900000062236028,1.233,
北京地铁,地铁16号线,900000062236,榆树庄,洪泰庄,900000062236028,900000062236029,1.365,
北京地铁,地铁16号线,900000062236,洪泰庄,宛平城,900000062236029,900000062236030,1.687,
