系统,线路,线路ID,站名,站间距(km),累计里程(km),经度,纬度,station ID,pinyin,year of opening
北京地铁,地铁4号线大兴线,110100023076,天宫院,0.0,0.0,116.319932,39.670342,110100023076036,,
北京地铁,地铁4号线大兴线,110100023076,生物医药基地,1.804,1.804,116.321662,39.686510,110100023076035,,
北京地铁,地铁4号线大兴线,110100023076,义和庄,2.886,4.69,116.319079,39.712387,110100023076034,,
北京地铁,地铁4号线大兴线,110100023076,黄村火车站,1.65,6.34,116.332611,39.722966,110100023076033,,
北京地铁,地铁4号线大兴线,110100023076,黄村西大街,0.979,7.319,116.332631,39.731769,110100023076032,,
北京地铁,地铁4号线大兴线,110100023076,清源路,1.218,8.537,116.332513,39.742724,110100023076031,,
北京地铁,地铁4号线大兴线,110100023076,枣园,1.194,9.731,116.332204,39.753458,110100023076030,,
北京地铁,地铁4号线大兴线,110100023076,高米店南,1.117,10.848,116.331605,39.763489,110100023076029,,
北京地铁,地铁4号线大兴线,110100023076,高米店北,1.121,11.969,116.330787,39.773547,110100023076028,,
北京地铁,地铁4号线大兴线,110100023076,西红门,1.816,13.785,116.328689,39.789800,110100023076027,,
北京地铁,地铁4号线大兴线,110100023076,新宫,4.042,17.827,116.365549,39.812592,110100023076026,,
北京地铁,地铁4号线大兴线,110100023076,公益西桥,2.656,20.483,116.370796,39.836135,110100023076025,,
北京地铁,地铁4号线大兴线,110100023076,角门西,1.081,21.564,116.371154,39.845850,110100023076024,,
北京地铁,地铁4号线大兴线,110100023076,马家堡,0.807,22.371,116.371361,39.853109,110100023076023,,
北京地铁,地铁4号线大兴线,110100023076,北京南站,1.476,23.847,116.378963,39.865029,110100023076022,,
北京地铁,地铁4号线大兴线,110100023076,陶然亭,1.545,25.392,116.374383,39.878470,110100023076021,,
北京地铁,地铁4号线大兴线,110100023076,菜市口,1.204,26.596,116.374425,39.889296,110100023054006,,
北京地铁,地铁4号线大兴线,110100023076,宣武门,1.164,27.76,116.374314,39.899765,110100023076019,,
北京地铁,地铁4号线大兴线,110100023076,西单,0.847,28.607,116.374072,39.907383,110100023076018,,
北京地铁,地铁4号线大兴线,110100023076,灵境胡同,0.949,29.556,116.373746,39.915912,110100023076017,,
北京地铁,地铁4号线大兴线,110100023076,西四,0.923,30.479,116.373332,39.924206,110100023076016,,
北京地铁,地铁4号线大兴线,110100023076,平安里,1.084,31.563,116.372883,39.933949,110100023076015,,
北京地铁,地铁4号线大兴线,110100023076,新街口,0.866,32.429,116.367742,39.940667,110100023076014,,
北京地铁,地铁4号线大兴线,110100023076,西直门,1.05,33.479,116.355426,39.940474,110100023076013,,
北京地铁,地铁4号线大兴线,110100023076,动物园,1.419,34.898,116.339031,39.938250,110100023076012,,
北京地铁,地铁4号线大兴线,110100023076,国家图书馆,1.298,36.196,116.325190,39.943114,110100023076011,,
北京地铁,地铁4号线大兴线,110100023076,魏公村,1.653,37.849,116.323220,39.957904,110100023076010,,
北京地铁,地铁4号线大兴线,110100023076,人民大学,1.019,38.868,116.321367,39.966956,110100023076009,,
北京地铁,地铁4号线大兴线,110100023076,海淀黄庄,1.056,39.924,116.317564,39.975996,110100023076008,,
北京地铁,地铁4号线大兴线,110100023076,中关村,0.894,40.818,116.316467,39.983991,110100023076007,,
北京地铁,地铁4号线大兴线,110100023076,北京大学东门,0.916,41.734,116.315842,39.992212,110100023076006,,
北京地铁,地铁4号线大兴线,110100023076,圆明园,0.958,42.692,116.310186,39.999662,110100023076005,,
北京地铁,地铁4号线大兴线,110100023076,西苑,1.65,44.342,116.290908,39.998258,110100023076004,,
北京地铁,地铁4号线大兴线,110100023076,北宫门,1.219,45.561,116.277647,40.002373,110100023076003,,
北京地铁,地铁4号线大兴线,110100023076,安河桥北,1.274,46.835,116.269956,40.012195,110100023076002,,
