系统,线路,线路ID,from_station,to_station,from_id,to_id,distance(km),year of segment opening
成都地铁,地铁10号线,900000059714,武侯祠,高升桥,900000059714017,900000039590003,1.004,
成都地铁,地铁10号线,900000059714,高升桥,红牌楼,900000039590003,900000039590002,1.35,
成都地铁,地铁10号线,900000059714,红牌楼,太平园,900000039590002,900000039590001,1.306,
成都地铁,地铁10号线,900000059714,太平园,簇锦,900000039590001,900000059714002,2.03,
成都地铁,地铁10号线,900000059714,簇锦,华兴,900000059714002,900000059714003,1.576,
成都地铁,地铁10号线,900000059714,华兴,金花,900000059714003,900000059714004,3.067,
成都地铁,地铁10号线,900000059714,金花,双流机场1航站楼,900000059714004,900000059714005,1.781,
成都地铁,地铁10号线,900000059714,双流机场1航站楼,双流机场2航站楼,900000059714005,900000059714006,1.023,
成都地铁,地铁10号线,900000059714,双流机场2航站楼,双流西站,900000059714006,900000039590018,4.716,
成都地铁,地铁10号线,900000059714,双流西站,应天寺,900000039590018,900000059714008,1.469,
成都地铁,地铁10号线,900000059714,应天寺,黄水,900000059714008,900000059714009,2.258,
成都地铁,地铁10号线,900000059714,黄水,花源,900000059714009,900000059714010,3.871,
成都地铁,地铁10号线,900000059714,花源,新津站,900000059714010,900000059714011,2.595,
成都地铁,地铁10号线,900000059714,新津站,花桥,900000059714011,900000059714012,2.819,
成都地铁,地铁10号线,900000059714,花桥,五津,900000059714012,900000059714013,4.663,
成都地铁,地铁10号线,900000059714,五津,儒林路,900000059714013,900000059714014,1.277,
成都地铁,地铁10号线,900000059714,儒林路,刘家碾,900000059714014,900000059714015,1.131,
成都地铁,地铁10号线,900000059714,刘家碾,新平(宝墩),900000059714015,900000059714016,1.216,
