系统,线路,线路ID,站名,站间距(km),累计里程(km),经度,纬度,station ID,pinyin,year of opening
成都地铁,地铁8号线,900000075312,桂龙路,0.0,0.0,104.188771,30.716844,900000075312026,,
成都地铁,地铁8号线,900000075312,桂林,0.916,0.916,104.179186,30.717007,900000075312027,,
成都地铁,地铁8号线,900000075312,同乐,1.018,1.934,104.170445,30.711783,900000075312028,,
成都地铁,地铁8号线,900000075312,龙潭寺,1.221,3.155,104.164970,30.701859,900000075312029,,
成都地铁,地铁8号线,900000075312,龙潭立交,1.099,4.254,104.157639,30.694250,900000075312030,,
成都地铁,地铁8号线,900000075312,圣灯公园,0.96,5.214,104.151400,30.687489,900000075312031,,
成都地铁,地铁8号线,900000075312,十里店,1.122,6.336,104.144194,30.679527,900000075312001,,
成都地铁,地铁8号线,900000075312,理工大学,0.911,7.247,104.137900,30.673375,900000039592059,,
成都地铁,地铁8号线,900000075312,东郊记忆,1.0,8.247,104.129064,30.668561,900000075312003,,
成都地铁,地铁8号线,900000075312,杉板桥,1.054,9.301,104.119292,30.664170,900000075312004,,
成都地铁,地铁8号线,900000075312,万年路,1.121,10.422,104.114948,30.654810,900000075312005,,
成都地铁,地铁8号线,900000075312,双桥路,0.886,11.308,104.113278,30.646975,900000039621005,,
成都地铁,地铁8号线,900000075312,东大路,1.467,12.775,104.112173,30.633816,510100024533008,,
成都地铁,地铁8号线,900000075312,净居寺,1.45,14.225,104.104410,30.622617,900000075312008,,
成都地铁,地铁8号线,900000075312,东光,0.659,14.884,104.098493,30.619577,900000061908009,,
成都地铁,地铁8号线,900000075312,东湖公园,0.977,15.861,104.088291,30.619992,900000075312010,,
成都地铁,地铁8号线,900000075312,川大望江校区,1.342,17.203,104.075629,30.625187,900000075312011,,
成都地铁,地铁8号线,900000075312,倪家桥,0.838,18.041,104.066885,30.624773,510100022320011,,
成都地铁,地铁8号线,900000075312,芳草街,1.398,19.439,104.052352,30.626041,900000075312013,,
成都地铁,地铁8号线,900000075312,永丰,0.572,20.011,104.046902,30.628165,900000075312014,,
成都地铁,地铁8号线,900000075312,九兴大道,1.07,21.081,104.039868,30.620681,900000058344026,,
成都地铁,地铁8号线,900000075312,高朋大道,0.591,21.672,104.034900,30.617521,900000039592046,,
成都地铁,地铁8号线,900000075312,殷家林,1.29,22.962,104.034350,30.605928,900000075312017,,
成都地铁,地铁8号线,900000075312,庆安,0.838,23.8,104.033988,30.598394,900000075312018,,
成都地铁,地铁8号线,900000075312,石羊,1.463,25.263,104.031122,30.585472,900000075312019,,
成都地铁,地铁8号线,900000075312,三元,0.612,25.875,104.026702,30.581493,900000075312020,,
成都地铁,地铁8号线,900000075312,顺风,1.582,27.457,104.010964,30.577149,900000075312021,,
成都地铁,地铁8号线,900000075312,珠江路,1.22,28.677,104.008013,30.566477,900000075312022,,
成都地铁,地铁8号线,900000075312,川大江安校区,1.253,29.93,104.007095,30.555238,900000075312023,,
成都地铁,地铁8号线,900000075312,文星,1.665,31.595,103.990564,30.550592,900000075312024,,
成都地铁,地铁8号线,900000075312,莲花,1.175,32.77,103.979376,30.546250,900000075312025,,
成都地铁,地铁8号线,900000075312,龙港,1.308,34.078,103.974142,30.535386,900000075312032,,
