系统,线路,线路ID,站名,站间距(km),累计里程(km),经度,纬度,station ID,pinyin,year of opening
重庆轨道交通,轨道交通10号线,900000077387,兰花路,0.0,0.0,106.557704,29.504302,900000077387040,,
重庆轨道交通,轨道交通10号线,900000077387,南湖,1.384,1.384,106.557155,29.516738,900000055077025,,
重庆轨道交通,轨道交通10号线,900000077387,万寿路,0.914,2.298,106.562897,29.523264,900000077387038,,
重庆轨道交通,轨道交通10号线,900000077387,后堡,1.64,3.938,106.569266,29.536932,900000073429023,,
重庆轨道交通,轨道交通10号线,900000077387,七星岗,2.081,6.019,106.563142,29.554871,500100022282021,,
重庆轨道交通,轨道交通10号线,900000077387,大礼堂,1.052,7.071,106.555675,29.561744,900000077387030,,
重庆轨道交通,轨道交通10号线,900000077387,曾家岩,0.752,7.823,106.550111,29.566468,500100031250006,,
重庆轨道交通,轨道交通10号线,900000077387,鲤鱼池,0.774,8.597,106.549403,29.573397,900000070621012,,
重庆轨道交通,轨道交通10号线,900000077387,红土地,1.193,9.79,106.551176,29.584019,900000027933002,,
重庆轨道交通,轨道交通10号线,900000077387,龙头寺公园,1.628,11.418,106.550608,29.598653,900000077387026,,
重庆轨道交通,轨道交通10号线,900000077387,重庆北站南广场,0.904,12.322,106.549274,29.606696,500100021584014,,
重庆轨道交通,轨道交通10号线,900000077387,重庆北站北广场,0.717,13.039,106.551195,29.612922,900000070644008,,
重庆轨道交通,轨道交通10号线,900000077387,民心佳园,2.199,15.238,106.567621,29.626609,900000077387023,,
重庆轨道交通,轨道交通10号线,900000077387,三亚湾,2.11,17.348,106.584785,29.638338,900000077387022,,
重庆轨道交通,轨道交通10号线,900000077387,上湾路,2.665,20.013,106.608952,29.649889,900000070621021,,
重庆轨道交通,轨道交通10号线,900000077387,环山公园,1.616,21.629,106.622117,29.658846,900000077387020,,
重庆轨道交通,轨道交通10号线,900000077387,长河,1.833,23.462,106.629425,29.674056,900000077387010,,
重庆轨道交通,轨道交通10号线,900000077387,江北机场T3航站楼,4.565,28.027,106.655275,29.708424,900000077387009,,
重庆轨道交通,轨道交通10号线,900000077387,江北机场T2航站楼,1.999,30.026,106.638292,29.718703,500100021584002,,
重庆轨道交通,轨道交通10号线,900000077387,渝北广场,0.816,30.842,106.629849,29.718544,900000077387007,,
重庆轨道交通,轨道交通10号线,900000077387,鹿山,2.087,32.929,106.608363,29.720589,900000077387006,,
重庆轨道交通,轨道交通10号线,900000077387,中央公园东,1.569,34.498,106.592505,29.723646,900000070621029,,
重庆轨道交通,轨道交通10号线,900000077387,中央公园,0.848,35.346,106.583722,29.723671,900000077387004,,
重庆轨道交通,轨道交通10号线,900000077387,中央公园西,1.101,36.447,106.572323,29.723702,900000070367030,,
重庆轨道交通,轨道交通10号线,900000077387,悦来,2.362,38.809,106.547955,29.725508,500100022269004,,
重庆轨道交通,轨道交通10号线,900000077387,王家庄,2.013,40.822,106.545659,29.743497,500100022269008,,
