系统,线路,线路ID,站名,站间距(km),累计里程(km),经度,纬度,station ID,pinyin,year of opening
福州地铁,地铁4号线,900000090236,帝封江,0.0,0.0,119.335440,25.987382,900000088653016,,
福州地铁,地铁4号线,900000090236,螺洲温泉,1.397,1.397,119.349023,25.990339,900000090236002,,
福州地铁,地铁4号线,900000090236,城门,1.293,2.69,119.360220,25.996158,350100020612019,,
福州地铁,地铁4号线,900000090236,林浦,2.265,4.955,119.365369,26.015993,900000076581026,,
福州地铁,地铁4号线,900000090236,会展中心,1.621,6.576,119.359563,26.029607,900000090236005,,
福州地铁,地铁4号线,900000090236,花海公园,1.48,8.056,119.350420,26.040078,900000090236006,,
福州地铁,地铁4号线,900000090236,鳌峰洲,1.734,9.79,119.344516,26.054747,900000090236007,,
福州地铁,地铁4号线,900000090236,光明港,1.153,10.943,119.346943,26.064887,900000090236008,,
福州地铁,地铁4号线,900000090236,前屿,0.855,11.798,119.350356,26.071935,350100020745021,,
福州地铁,地铁4号线,900000090236,后屿,1.1,12.898,119.352541,26.081629,900000090236010,,
福州地铁,地铁4号线,900000090236,横屿,0.913,13.811,119.352237,26.089831,900000090236011,,
福州地铁,地铁4号线,900000090236,竹屿,1.497,15.308,119.337675,26.093040,900000090236012,,
福州地铁,地铁4号线,900000090236,三角池,1.163,16.471,119.326262,26.090976,900000090236013,,
福州地铁,地铁4号线,900000090236,东门,1.184,17.655,119.315019,26.087590,900000090236014,,
福州地铁,地铁4号线,900000090236,省立医院,0.748,18.403,119.307583,26.086754,900000090236015,,
福州地铁,地铁4号线,900000090236,东街口,0.836,19.239,119.299259,26.085960,350100020612036,,
福州地铁,地铁4号线,900000090236,西门,0.93,20.169,119.290055,26.084700,900000090236017,,
福州地铁,地铁4号线,900000090236,陆庄,0.694,20.863,119.283553,26.082510,900000090236018,,
福州地铁,地铁4号线,900000090236,凤凰池,1.176,22.039,119.272710,26.078389,900000090236019,,
福州地铁,地铁4号线,900000090236,金牛山,1.122,23.161,119.261723,26.076302,900000090236020,,
福州地铁,地铁4号线,900000090236,洪塘,1.202,24.363,119.250149,26.073332,900000088653003,,
福州地铁,地铁4号线,900000090236,建新,1.581,25.944,119.237864,26.064362,900000090236022,,
福州地铁,地铁4号线,900000090236,半洲,0.866,26.81,119.237833,26.056572,900000090236023,,
