系统,线路,线路ID,from_station,to_station,from_id,to_id,distance(km),year of segment opening
广州地铁,地铁3号线,440100023033,海傍,海涌路,440100023033018,440100023033019,1.825,
广州地铁,地铁3号线,440100023033,海涌路,石碁南,440100023033019,440100023033020,1.879,
广州地铁,地铁3号线,440100023033,石碁南,傍江,440100023033020,440100023033021,3.101,
广州地铁,地铁3号线,440100023033,傍江,番禺广场,440100023033021,440100023033002,2.461,
广州地铁,地铁3号线,440100023033,番禺广场,市桥,440100023033002,440100023033003,2.918,
广州地铁,地铁3号线,440100023033,市桥,汉溪长隆,440100023033003,440100023033004,5.789,
广州地铁,地铁3号线,440100023033,汉溪长隆,大石,440100023033004,440100023033005,2.899,
广州地铁,地铁3号线,440100023033,大石,厦滘,440100023033005,440100023033006,2.253,
广州地铁,地铁3号线,440100023033,厦滘,沥滘,440100023033006,440100023033007,1.874,
广州地铁,地铁3号线,440100023033,沥滘,大塘,440100023033007,440100023033008,2.589,
广州地铁,地铁3号线,440100023033,大塘,客村,440100023033008,440100023033009,2.031,
广州地铁,地铁3号线,440100023033,客村,广州塔,440100023033009,440100023025002,1.188,
广州地铁,地铁3号线,440100023033,广州塔,珠江新城,440100023025002,440100023033011,1.451,
广州地铁,地铁3号线,440100023033,珠江新城,体育西路,440100023033011,440100023031015,1.309,
广州地铁,地铁3号线,440100023033,体育西路,石牌桥,440100023031015,440100023033013,1.109,
广州地铁,地铁3号线,440100023033,石牌桥,岗顶,440100023033013,440100023033014,0.789,
广州地铁,地铁3号线,440100023033,岗顶,华师,440100023033014,440100023033015,0.84,
广州地铁,地铁3号线,440100023033,华师,五山,440100023033015,440100023033016,1.544,
广州地铁,地铁3号线,440100023033,五山,天河客运站,440100023033016,440100023033017,2.191,
