系统,线路,线路ID,from_station,to_station,from_id,to_id,distance(km),year of segment opening
广州地铁,地铁8号线,440100023047,滘心,亭岗,440100023047017,440100023047018,1.616,
广州地铁,地铁8号线,440100023047,亭岗,石井,440100023047018,440100023047019,1.761,
广州地铁,地铁8号线,440100023047,石井,小坪,440100023047019,440100023047020,1.645,
广州地铁,地铁8号线,440100023047,小坪,石潭,440100023047020,440100023047021,1.425,
广州地铁,地铁8号线,440100023047,石潭,聚龙,440100023047021,440100023047022,0.784,
广州地铁,地铁8号线,440100023047,聚龙,上步,440100023047022,440100023047023,1.167,
广州地铁,地铁8号线,440100023047,上步,同德,440100023047023,440100023047024,0.836,
广州地铁,地铁8号线,440100023047,同德,鹅掌坦,440100023047024,440100023047025,0.805,
广州地铁,地铁8号线,440100023047,鹅掌坦,西村,440100023047025,440100023037006,1.698,
广州地铁,地铁8号线,440100023047,西村,彩虹桥,440100023037006,440100023047027,0.93,
广州地铁,地铁8号线,440100023047,彩虹桥,陈家祠,440100023047027,440100023047028,1.02,
广州地铁,地铁8号线,440100023047,陈家祠,华林寺,440100023047028,440100023047029,0.9,
广州地铁,地铁8号线,440100023047,华林寺,文化公园,440100023047029,440100023047015,0.959,
广州地铁,地铁8号线,440100023047,文化公园,同福西,440100023047015,440100023047016,0.903,
广州地铁,地铁8号线,440100023047,同福西,凤凰新村,440100023047016,440100023047002,0.86,
广州地铁,地铁8号线,440100023047,凤凰新村,沙园,440100023047002,440100023043019,0.823,
广州地铁,地铁8号线,440100023047,沙园,宝岗大道,440100023043019,440100023047004,0.976,
广州地铁,地铁8号线,440100023047,宝岗大道,昌岗,440100023047004,440100023047005,0.897,
广州地铁,地铁8号线,440100023047,昌岗,晓港,440100023047005,440100023047006,0.577,
广州地铁,地铁8号线,440100023047,晓港,中大,440100023047006,440100023047007,1.128,
广州地铁,地铁8号线,440100023047,中大,鹭江,440100023047007,440100023047008,1.611,
广州地铁,地铁8号线,440100023047,鹭江,客村,440100023047008,440100023033009,1.243,
广州地铁,地铁8号线,440100023047,客村,赤岗,440100023033009,440100023047010,1.483,
广州地铁,地铁8号线,440100023047,赤岗,磨碟沙,440100023047010,440100023047011,0.707,
广州地铁,地铁8号线,440100023047,磨碟沙,新港东,440100023047011,440100023047012,1.608,
广州地铁,地铁8号线,440100023047,新港东,琶洲,440100023047012,440100023047013,0.991,
广州地铁,地铁8号线,440100023047,琶洲,万胜围,440100023047013,440100023035005,1.853,
