系统,线路,线路ID,站名,站间距(km),累计里程(km),经度,纬度,station ID,pinyin,year of opening
广州地铁,地铁9号线,900000043839,高增,0.0,0.0,113.295504,23.355162,440100023031003,,
广州地铁,地铁9号线,900000043839,清塘,3.834,3.834,113.262858,23.372206,900000043839011,,
广州地铁,地铁9号线,900000043839,清布,1.379,5.213,113.250989,23.378122,900000043839009,,
广州地铁,地铁9号线,900000043839,莲塘,1.359,6.572,113.245149,23.389101,900000043839008,,
广州地铁,地铁9号线,900000043839,马鞍山公园,1.394,7.966,113.237846,23.399699,900000043839007,,
广州地铁,地铁9号线,900000043839,花都广场,1.563,9.529,113.222628,23.401307,900000043839006,,
广州地铁,地铁9号线,900000043839,花果山公园,1.636,11.165,113.218389,23.387119,900000043839005,,
广州地铁,地铁9号线,900000043839,花城路,1.014,12.179,113.212740,23.379622,900000043839004,,
广州地铁,地铁9号线,900000043839,广州北站,1.195,13.374,113.201568,23.376419,900000043839003,,
广州地铁,地铁9号线,900000043839,花都汽车城,2.194,15.568,113.180367,23.379671,900000043839002,,
广州地铁,地铁9号线,900000043839,飞鹅岭,2.58,18.148,113.155127,23.378345,900000043839001,,
