系统,线路,线路ID,from_station,to_station,from_id,to_id,distance(km),year of segment opening
合肥轨道交通,轨道交通1号线,900000039731,九联圩,丙子铺,900000039731001,900000039731002,1.061,
合肥轨道交通,轨道交通1号线,900000039731,丙子铺,万年埠,900000039731002,900000039731003,0.896,
合肥轨道交通,轨道交通1号线,900000039731,万年埠,万达城,900000039731003,900000039731004,0.826,
合肥轨道交通,轨道交通1号线,900000039731,万达城,云谷路,900000039731004,900000039731005,0.818,
合肥轨道交通,轨道交通1号线,900000039731,云谷路,金斗公园,900000039731005,900000039731006,1.092,
合肥轨道交通,轨道交通1号线,900000039731,金斗公园,塘西河公园,900000039731006,900000039731007,0.942,
合肥轨道交通,轨道交通1号线,900000039731,塘西河公园,紫庐,900000039731007,900000039731008,1.027,
合肥轨道交通,轨道交通1号线,900000039731,紫庐,滨湖会展中心,900000039731008,900000039731009,1.545,
合肥轨道交通,轨道交通1号线,900000039731,滨湖会展中心,高王,900000039731009,900000039731010,2.316,
合肥轨道交通,轨道交通1号线,900000039731,高王,骆岗,900000039731010,900000039731011,1.142,
合肥轨道交通,轨道交通1号线,900000039731,骆岗,南站南广场,900000039731011,900000039731012,1.027,
合肥轨道交通,轨道交通1号线,900000039731,南站南广场,合肥南站,900000039731012,900000039731013,0.83,
合肥轨道交通,轨道交通1号线,900000039731,合肥南站,望湖城,900000039731013,900000039731014,0.625,
合肥轨道交通,轨道交通1号线,900000039731,望湖城,葛大店,900000039731014,900000039731015,1.468,
合肥轨道交通,轨道交通1号线,900000039731,葛大店,秋浦河路,900000039731015,900000039731016,0.964,
合肥轨道交通,轨道交通1号线,900000039731,秋浦河路,朱岗,900000039731016,900000039731017,0.999,
合肥轨道交通,轨道交通1号线,900000039731,朱岗,合工大南区,900000039731017,900000039731018,1.675,
合肥轨道交通,轨道交通1号线,900000039731,合工大南区,包公园,900000039731018,900000039731019,1.011,
合肥轨道交通,轨道交通1号线,900000039731,包公园,大东门,900000039731019,900000039729016,0.856,
合肥轨道交通,轨道交通1号线,900000039731,大东门,明光路,900000039729016,900000039731021,0.761,
合肥轨道交通,轨道交通1号线,900000039731,明光路,长淮,900000039731021,900000039731022,0.76,
合肥轨道交通,轨道交通1号线,900000039731,长淮,合肥火车站,900000039731022,900000039731023,1.056,
合肥轨道交通,轨道交通1号线,900000039731,合肥火车站,瑶海公园,900000039731023,900000039731027,0.752,
合肥轨道交通,轨道交通1号线,900000039731,瑶海公园,兴华苑,900000039731027,900000039731028,1.496,
合肥轨道交通,轨道交通1号线,900000039731,兴华苑,张洼,900000039731028,900000039731029,1.81,
