系统,线路,线路ID,站名,站间距(km),累计里程(km),经度,纬度,station ID,pinyin,year of opening
济南地铁,轨道交通1号线,900000071030,方特,0.0,0.0,116.894884,36.682580,900000071030001,,
济南地铁,轨道交通1号线,900000071030,济南西站,1.459,1.459,116.893758,36.669486,900000071030002,,
济南地铁,轨道交通1号线,900000071030,大杨,2.164,3.623,116.896207,36.650122,900000071030003,,
济南地铁,轨道交通1号线,900000071030,王府庄,3.204,6.827,116.881587,36.623802,900000071030004,,
济南地铁,轨道交通1号线,900000071030,玉符河,2.626,9.453,116.857649,36.610067,900000071030005,,
济南地铁,轨道交通1号线,900000071030,赵营,2.974,12.427,116.834664,36.590704,900000071030006,,
济南地铁,轨道交通1号线,900000071030,紫薇路,3.289,15.716,116.810216,36.568575,900000071030007,,
济南地铁,轨道交通1号线,900000071030,大学城,1.901,17.617,116.803741,36.552291,900000071030008,,
济南地铁,轨道交通1号线,900000071030,园博园,1.833,19.45,116.799960,36.536088,900000071030009,,
济南地铁,轨道交通1号线,900000071030,创新谷,2.925,22.375,116.805017,36.510099,900000071030010,,
济南地铁,轨道交通1号线,900000071030,工研院,1.565,23.94,116.795194,36.498445,900000071030011,,
