系统,线路,线路ID,from_station,to_station,from_id,to_id,distance(km),year of segment opening
济南地铁,轨道交通8号线,900000217676,清源大街,绣源河,900000217676001,900000217676002,1.211,
济南地铁,轨道交通8号线,900000217676,绣源河,山大龙山,900000217676002,900000217676003,1.752,
济南地铁,轨道交通8号线,900000217676,山大龙山,圣井,900000217676003,900000217676004,2.326,
济南地铁,轨道交通8号线,900000217676,圣井,黄旗山北,900000217676004,900000217676005,1.845,
济南地铁,轨道交通8号线,900000217676,黄旗山北,黄土崖,900000217676005,900000217676006,1.715,
济南地铁,轨道交通8号线,900000217676,黄土崖,山财章丘校区,900000217676006,900000217676007,1.126,
济南地铁,轨道交通8号线,900000217676,山财章丘校区,山东现代学院,900000217676007,900000217676008,1.991,
济南地铁,轨道交通8号线,900000217676,山东现代学院,山东职业学院,900000217676008,900000217676009,2.401,
济南地铁,轨道交通8号线,900000217676,山东职业学院,春博路,900000217676009,900000217676010,1.771,
济南地铁,轨道交通8号线,900000217676,春博路,公路技师学院,900000217676010,900000217676011,2.145,
济南地铁,轨道交通8号线,900000217676,公路技师学院,超算中心,900000217676011,900000217676012,1.898,
济南地铁,轨道交通8号线,900000217676,超算中心,青年政治学院,900000217676012,900000217676013,2.184,
济南地铁,轨道交通8号线,900000217676,青年政治学院,邢村立交桥东,900000217676013,900000217582005,1.899,
