系统,线路,线路ID,站名,站间距(km),累计里程(km),经度,纬度,station ID,pinyin,year of opening
金华轨道交通,金义东线义东段,900000167206,凌云,0.0,0.0,120.057450,29.351277,900000167206002,,
金华轨道交通,金义东线义东段,900000167206,春晗,1.998,1.998,120.070060,29.337060,900000167206003,,
金华轨道交通,金义东线义东段,900000167206,秦塘,1.956,3.954,120.088253,29.329459,900000167204016,,
金华轨道交通,金义东线义东段,900000167206,国际商贸城,1.409,5.363,120.102602,29.331452,900000167206005,,
金华轨道交通,金义东线义东段,900000167206,浙医四院,1.956,7.319,120.122731,29.330229,900000167206006,,
金华轨道交通,金义东线义东段,900000167206,江东,2.48,9.799,120.146507,29.321994,900000167206007,,
金华轨道交通,金义东线义东段,900000167206,木雕城,4.694,14.493,120.185891,29.297450,900000167206008,,
金华轨道交通,金义东线义东段,900000167206,歌山路,3.256,17.749,120.213966,29.281387,900000167206009,,
金华轨道交通,金义东线义东段,900000167206,人民路,2.493,20.242,120.239263,29.277433,900000167206010,,
金华轨道交通,金义东线义东段,900000167206,会展中心,2.081,22.323,120.259517,29.271248,900000167206011,,
金华轨道交通,金义东线义东段,900000167206,体育馆,2.042,24.365,120.279890,29.266622,900000167206012,,
金华轨道交通,金义东线义东段,900000167206,横店高铁站,5.993,30.358,120.264288,29.214469,900000167206013,,
金华轨道交通,金义东线义东段,900000167206,明清宫,6.032,36.39,120.307075,29.175134,900000167206014,,
