系统,线路,线路ID,from_station,to_station,from_id,to_id,distance(km),year of segment opening
南宁地铁,轨道交通5号线,900000087801,国凯大道,那洪立交,900000087801001,900000073499016,0.758,
南宁地铁,轨道交通5号线,900000087801,那洪立交,金凯路,900000073499016,900000087801003,0.896,
南宁地铁,轨道交通5号线,900000087801,金凯路,江南公园,900000087801003,900000087801004,1.336,
南宁地铁,轨道交通5号线,900000087801,江南公园,周家坡,900000087801004,900000087801005,0.965,
南宁地铁,轨道交通5号线,900000087801,周家坡,五一立交,900000087801005,900000087801006,1.356,
南宁地铁,轨道交通5号线,900000087801,五一立交,新秀公园,900000087801006,900000087801007,2.223,
南宁地铁,轨道交通5号线,900000087801,新秀公园,广西大学,900000087801007,900000058314017,1.53,
南宁地铁,轨道交通5号线,900000087801,广西大学,秀灵路,900000058314017,900000087801009,1.629,
南宁地铁,轨道交通5号线,900000087801,秀灵路,明秀路,900000087801009,900000060985031,0.747,
南宁地铁,轨道交通5号线,900000087801,明秀路,北湖南路,900000060985031,900000087801011,1.094,
南宁地铁,轨道交通5号线,900000087801,北湖南路,虎邱,900000087801011,900000087801012,1.03,
南宁地铁,轨道交通5号线,900000087801,虎邱,狮山公园,900000087801012,900000087801013,1.16,
南宁地铁,轨道交通5号线,900000087801,狮山公园,小鸡村,900000087801013,900000067049009,1.596,
南宁地铁,轨道交通5号线,900000087801,小鸡村,邕宾立交,900000067049009,900000087801015,0.811,
南宁地铁,轨道交通5号线,900000087801,邕宾立交,降桥,900000087801015,900000087801016,1.227,
南宁地铁,轨道交通5号线,900000087801,降桥,金桥客运站,900000087801016,900000087801017,1.158,
