系统,线路,线路ID,from_station,to_station,from_id,to_id,distance(km),year of segment opening
宁波轨道交通,轨道交通3号线(宁奉城际),900000067955,大通桥,中兴大桥南,330200021780018,900000067955002,1.638,
宁波轨道交通,轨道交通3号线(宁奉城际),900000067955,中兴大桥南,明楼,900000067955002,900000067955003,1.162,
宁波轨道交通,轨道交通3号线(宁奉城际),900000067955,明楼,体育馆,900000067955003,900000067955004,0.962,
宁波轨道交通,轨道交通3号线(宁奉城际),900000067955,体育馆,樱花公园,900000067955004,330200021803015,0.898,
宁波轨道交通,轨道交通3号线(宁奉城际),900000067955,樱花公园,儿童公园,330200021803015,900000067955006,1.287,
宁波轨道交通,轨道交通3号线(宁奉城际),900000067955,儿童公园,仇毕,900000067955006,900000067955007,0.93,
宁波轨道交通,轨道交通3号线(宁奉城际),900000067955,仇毕,钱湖北路,900000067955007,900000067955008,1.424,
宁波轨道交通,轨道交通3号线(宁奉城际),900000067955,钱湖北路,锦寓路,900000067955008,900000067955009,1.019,
宁波轨道交通,轨道交通3号线(宁奉城际),900000067955,锦寓路,四明中路,900000067955009,900000067955010,0.802,
宁波轨道交通,轨道交通3号线(宁奉城际),900000067955,四明中路,鄞州区政府,900000067955010,900000067955011,0.938,
宁波轨道交通,轨道交通3号线(宁奉城际),900000067955,鄞州区政府,南部商务区,900000067955011,900000067955012,1.399,
宁波轨道交通,轨道交通3号线(宁奉城际),900000067955,南部商务区,鄞州客运总站,900000067955012,900000067955013,0.983,
宁波轨道交通,轨道交通3号线(宁奉城际),900000067955,鄞州客运总站,句章路,900000067955013,900000067955014,1.087,
宁波轨道交通,轨道交通3号线(宁奉城际),900000067955,句章路,高塘桥,900000067955014,900000067955015,0.831,
宁波轨道交通,轨道交通3号线(宁奉城际),900000067955,高塘桥,姜山,900000067955015,900000067955016,2.113,
宁波轨道交通,轨道交通3号线(宁奉城际),900000067955,姜山,狮山,900000067955016,900000067955017,1.11,
宁波轨道交通,轨道交通3号线(宁奉城际),900000067955,狮山,明辉路,900000067955017,900000067955018,1.315,
宁波轨道交通,轨道交通3号线(宁奉城际),900000067955,明辉路,朝阳,900000067955018,900000067955019,1.588,
宁波轨道交通,轨道交通3号线(宁奉城际),900000067955,朝阳,方桥,900000067955019,900000067955020,4.137,
宁波轨道交通,轨道交通3号线(宁奉城际),900000067955,方桥,琎琳,900000067955020,900000067955021,2.647,
宁波轨道交通,轨道交通3号线(宁奉城际),900000067955,琎琳,南渡,900000067955021,900000067955022,1.499,
宁波轨道交通,轨道交通3号线(宁奉城际),900000067955,南渡,大成东路,900000067955022,900000067955023,4.028,
宁波轨道交通,轨道交通3号线(宁奉城际),900000067955,大成东路,金海路,900000067955023,900000067955024,2.332,
