系统,线路,线路ID,站名,站间距(km),累计里程(km),经度,纬度,station ID,pinyin,year of opening
青岛地铁,地铁1号线北段,900000073472,东郭庄,0.0,0.0,120.412004,36.334834,900000073472009,,
青岛地铁,地铁1号线北段,900000073472,沟岔,1.377,1.377,120.400078,36.327025,900000073472010,,
青岛地铁,地铁1号线北段,900000073472,农业大学,1.493,2.87,120.390904,36.315811,900000073472011,,
青岛地铁,地铁1号线北段,900000073472,正阳中路,1.091,3.961,120.390723,36.306004,900000073472012,,
青岛地铁,地铁1号线北段,900000073472,小寨子,1.056,5.017,120.390192,36.296519,900000073472013,,
青岛地铁,地铁1号线北段,900000073472,凤岗路,1.228,6.245,120.386132,36.285973,900000073472014,,
青岛地铁,地铁1号线北段,900000073472,流亭,1.978,8.223,120.388616,36.268301,900000073472015,,
青岛地铁,地铁1号线北段,900000073472,仙家寨(汽车北站),3.171,11.394,120.393189,36.240025,900000073472016,,
青岛地铁,地铁1号线北段,900000073472,瑞金路,1.411,12.805,120.395172,36.227434,900000073472017,,
青岛地铁,地铁1号线北段,900000073472,遵义路,1.444,14.249,120.396876,36.214525,900000073472018,,
青岛地铁,地铁1号线北段,900000073472,南岭,1.486,15.735,120.399490,36.201327,900000073472019,,
青岛地铁,地铁1号线北段,900000073472,兴国路,1.159,16.894,120.401527,36.191035,900000073472020,,
青岛地铁,地铁1号线北段,900000073472,永年路,1.155,18.049,120.396039,36.181643,900000073472021,,
青岛地铁,地铁1号线北段,900000073472,沧安路,1.263,19.312,120.382098,36.180128,900000073472022,,
青岛地铁,地铁1号线北段,900000073472,青岛北站,1.225,20.537,120.377367,36.169798,900000030289001,,
青岛地铁,地铁1号线北段,900000073472,安顺路,1.203,21.74,120.375905,36.159048,900000073472024,,
青岛地铁,地铁1号线北段,900000073472,胜利桥(纺织谷),1.307,23.047,120.382247,36.148467,900000073472025,,
青岛地铁,地铁1号线北段,900000073472,中心医院,1.027,24.074,120.374974,36.141338,900000073472026,,
青岛地铁,地铁1号线北段,900000073472,水清沟,1.615,25.689,120.370285,36.127316,900000073472027,,
青岛地铁,地铁1号线北段,900000073472,北岭,1.475,27.164,120.361089,36.116323,900000073472028,,
青岛地铁,地铁1号线北段,900000073472,小村庄,1.207,28.371,120.360967,36.105470,900000073472029,,
青岛地铁,地铁1号线北段,900000073472,海泊桥(海慈医疗),1.214,29.585,120.361391,36.094558,900000071917007,,
青岛地铁,地铁1号线北段,900000073472,台东,1.522,31.107,120.354120,36.082200,900000030291024,,
青岛地铁,地铁1号线北段,900000073472,广饶路,1.31,32.417,120.342190,36.075425,900000073472032,,
青岛地铁,地铁1号线北段,900000073472,观象山(市立医院),1.143,33.56,120.329802,36.073089,900000071917003,,
青岛地铁,地铁1号线北段,900000073472,中山路,0.744,34.304,120.321608,36.072149,900000073472034,,
青岛地铁,地铁1号线北段,900000073472,青岛站,1.088,35.392,120.314566,36.064191,900000030289034,,
青岛地铁,地铁1号线北段,900000073472,西镇,0.813,36.205,120.306328,36.061162,900000073472036,,
青岛地铁,地铁1号线北段,900000073472,团岛,0.767,36.972,120.299188,36.057387,900000073472037,,
青岛地铁,地铁1号线北段,900000073472,凤凰岛,6.454,43.426,120.293328,35.999539,900000073472038,,
青岛地铁,地铁1号线北段,900000073472,山里,1.556,44.982,120.287829,35.986270,900000073472039,,
青岛地铁,地铁1号线北段,900000073472,南北屯,2.356,47.338,120.263776,35.977893,900000073472040,,
青岛地铁,地铁1号线北段,900000073472,新港山路,1.847,49.185,120.244127,35.973076,900000073472041,,
青岛地铁,地铁1号线北段,900000073472,安子,0.962,50.147,120.233599,35.971550,900000073472042,,
青岛地铁,地铁1号线北段,900000073472,天目山路,0.888,51.035,120.228052,35.964945,900000073472043,,
青岛地铁,地铁1号线北段,900000073472,薛家岛,0.886,51.921,120.219133,35.961575,900000073472044,,
青岛地铁,地铁1号线北段,900000073472,丁家河,1.69,53.611,120.200792,35.958302,900000073472045,,
青岛地铁,地铁1号线北段,900000073472,井冈山路,1.302,54.913,120.187630,35.953437,900000071736003,,
青岛地铁,地铁1号线北段,900000073472,太行山路,0.791,55.704,120.179811,35.950198,900000073472047,,
青岛地铁,地铁1号线北段,900000073472,石油大学,0.879,56.583,120.171996,35.945460,900000073472048,,
青岛地铁,地铁1号线北段,900000073472,王家港,0.966,57.549,120.161956,35.942382,900000073472049,,
