系统,线路,线路ID,站名,站间距(km),累计里程(km),经度,纬度,station ID,pinyin,year of opening
上海地铁,地铁11号线,310100024518,迪士尼,0.0,0.0,121.667959,31.141263,310100024518036,,
上海地铁,地铁11号线,310100024518,康新公路,4.979,4.979,121.617199,31.130439,310100024518035,,
上海地铁,地铁11号线,310100024518,秀沿路,1.984,6.963,121.598390,31.138128,310100024518034,,
上海地铁,地铁11号线,310100024518,罗山路,1.755,8.718,121.593152,31.153259,310100024518033,,
上海地铁,地铁11号线,310100024518,御桥,2.184,10.902,121.570914,31.158131,310100024518032,,
上海地铁,地铁11号线,310100024518,康恒路,1.695,12.597,121.553699,31.154229,310100024518038,,
上海地铁,地铁11号线,310100024518,浦三路,1.448,14.045,121.539005,31.150861,310100024518031,,
上海地铁,地铁11号线,310100024518,三林东,1.6,15.645,121.522999,31.146459,310100024518030,,
上海地铁,地铁11号线,310100024518,三林,1.125,16.77,121.511796,31.143224,310100024518029,,
上海地铁,地铁11号线,310100024518,东方体育中心,3.202,19.972,121.480304,31.153366,310100024518028,,
上海地铁,地铁11号线,310100024518,龙耀路,2.084,22.056,121.459702,31.159720,310100024518027,,
上海地铁,地铁11号线,310100024518,云锦路,0.761,22.817,121.458519,31.166488,310100024518026,,
上海地铁,地铁11号线,310100024518,龙华,0.868,23.685,121.452958,31.172672,310100024518025,,
上海地铁,地铁11号线,310100024518,上海游泳馆,1.311,24.996,121.441424,31.179123,310100024518024,,
上海地铁,地铁11号线,310100024518,徐家汇,1.879,26.875,121.436603,31.195514,310100024518023,,
上海地铁,地铁11号线,310100024518,交通大学,0.756,27.631,121.435253,31.202213,310100024518022,,
上海地铁,地铁11号线,310100024518,江苏路,2.07,29.701,121.430642,31.220411,310100024518021,,
上海地铁,地铁11号线,310100024518,隆德路,1.309,31.01,121.423576,31.230509,310100024518020,,
上海地铁,地铁11号线,310100024518,曹杨路,1.126,32.136,121.417701,31.239302,310100024518019,,
上海地铁,地铁11号线,310100024518,枫桥路,0.662,32.798,121.411402,31.241850,310100024518018,,
上海地铁,地铁11号线,310100024518,真如,1.068,33.866,121.407219,31.250767,310100024518017,,
上海地铁,地铁11号线,310100024518,上海西站,1.455,35.321,121.400926,31.262693,310100024518016,,
上海地铁,地铁11号线,310100024518,李子园,1.257,36.578,121.389969,31.269020,310100024518015,,
上海地铁,地铁11号线,310100024518,祁连山路,1.356,37.934,121.376035,31.271650,310100024518014,,
上海地铁,地铁11号线,310100024518,武威路,1.214,39.148,121.364678,31.276646,310100024518013,,
上海地铁,地铁11号线,310100024518,桃浦新村,1.533,40.681,121.349623,31.281603,310100024518012,,
上海地铁,地铁11号线,310100024518,南翔,3.041,43.722,121.323141,31.296952,310100024518011,,
上海地铁,地铁11号线,310100024518,陈翔公路,1.881,45.603,121.306787,31.306484,310100024518037,,
上海地铁,地铁11号线,310100024518,马陆,3.195,48.798,121.276906,31.319675,310100024518010,,
上海地铁,地铁11号线,310100024518,嘉定新城,2.439,51.237,121.254294,31.330062,310100024518009,,
上海地铁,地铁11号线,310100024518,上海赛车场,2.686,53.923,121.226098,31.331898,310100024518008,,
上海地铁,地铁11号线,310100024518,昌吉东路,4.907,58.83,121.200384,31.293620,310100024518007,,
上海地铁,地铁11号线,310100024518,上海汽车城,2.078,60.908,121.180742,31.285403,310100024518006,,
上海地铁,地铁11号线,310100024518,安亭,1.815,62.723,121.161985,31.288490,310100024518005,,
上海地铁,地铁11号线,310100024518,兆丰路,1.111,63.834,121.150315,31.289048,310100024518004,,
上海地铁,地铁11号线,310100024518,光明路,3.247,67.081,121.117186,31.296210,310100024518003,,
上海地铁,地铁11号线,310100024518,花桥,1.248,68.329,121.104407,31.298790,310100024518002,,
