系统,线路,线路ID,from_station,to_station,from_id,to_id,distance(km),year of segment opening
上海地铁,地铁15号线,900000070795,顾村公园,锦秋路,310100024542030,900000070795002,2.839,
上海地铁,地铁15号线,900000070795,锦秋路,丰翔路,900000070795002,900000070795003,1.333,
上海地铁,地铁15号线,900000070795,丰翔路,南大路,900000070795003,900000070795004,0.997,
上海地铁,地铁15号线,900000070795,南大路,祁安路,900000070795004,900000070795005,0.956,
上海地铁,地铁15号线,900000070795,祁安路,古浪路,900000070795005,900000070795006,1.053,
上海地铁,地铁15号线,900000070795,古浪路,武威东路,900000070795006,900000070795007,0.985,
上海地铁,地铁15号线,900000070795,武威东路,上海西站,900000070795007,310100024518016,1.667,
上海地铁,地铁15号线,900000070795,上海西站,铜川路,310100024518016,310100027599009,1.38,
上海地铁,地铁15号线,900000070795,铜川路,梅岭北路,310100027599009,900000070795010,0.826,
上海地铁,地铁15号线,900000070795,梅岭北路,大渡河路,900000070795010,310100024524003,1.307,
上海地铁,地铁15号线,900000070795,大渡河路,长风公园,310100024524003,900000070795012,0.745,
上海地铁,地铁15号线,900000070795,长风公园,娄山关路,900000070795012,310100025693017,1.732,
上海地铁,地铁15号线,900000070795,娄山关路,红宝石路,310100025693017,900000070795014,1.47,
上海地铁,地铁15号线,900000070795,红宝石路,姚虹路,900000070795014,900000070795015,1.116,
上海地铁,地铁15号线,900000070795,姚虹路,吴中路,900000070795015,900000070795016,1.073,
上海地铁,地铁15号线,900000070795,吴中路,桂林路,900000070795016,310100024546016,1.134,
上海地铁,地铁15号线,900000070795,桂林路,桂林公园,310100024546016,310100025711027,0.881,
上海地铁,地铁15号线,900000070795,桂林公园,上海南站,310100025711027,310100025685025,1.697,
上海地铁,地铁15号线,900000070795,上海南站,华东理工大学,310100025685025,900000070795020,1.152,
上海地铁,地铁15号线,900000070795,华东理工大学,罗秀路,900000070795020,900000070795021,1.555,
上海地铁,地铁15号线,900000070795,罗秀路,朱梅路,900000070795021,900000070795022,0.822,
上海地铁,地铁15号线,900000070795,朱梅路,景洪路,900000070795022,900000070795023,1.732,
上海地铁,地铁15号线,900000070795,景洪路,虹梅南路,900000070795023,900000070795024,1.261,
上海地铁,地铁15号线,900000070795,虹梅南路,景西路,900000070795024,900000070795025,1.436,
上海地铁,地铁15号线,900000070795,景西路,曙建路,900000070795025,900000070795026,1.015,
上海地铁,地铁15号线,900000070795,曙建路,双柏路,900000070795026,900000070795027,0.902,
上海地铁,地铁15号线,900000070795,双柏路,元江路,900000070795027,900000070795028,2.466,
上海地铁,地铁15号线,900000070795,元江路,永德路,900000070795028,900000070795029,2.843,
上海地铁,地铁15号线,900000070795,永德路,紫竹高新区,900000070795029,900000070795030,1.932,
