系统,线路,线路ID,站名,站间距(km),累计里程(km),经度,纬度,station ID,pinyin,year of opening
深圳地铁,地铁13号线(石岩线),900000094840,深圳湾口岸,0.0,0.0,113.950252,22.502977,900000094840001,,
深圳地铁,地铁13号线(石岩线),900000094840,人才公园,1.249,1.249,113.943126,22.512078,900000094840002,,
深圳地铁,地铁13号线(石岩线),900000094840,后海,0.679,1.928,113.943503,22.518172,440300024056016,,
深圳地铁,地铁13号线(石岩线),900000094840,科苑,1.022,2.95,113.946195,22.527019,440300024076011,,
深圳地铁,地铁13号线(石岩线),900000094840,粤海门,0.635,3.585,113.945531,22.532695,440300024054033,,
深圳地铁,地铁13号线(石岩线),900000094840,深大,0.679,4.264,113.944173,22.538667,440300024063014,,
深圳地铁,地铁13号线(石岩线),900000094840,高新中,0.935,5.199,113.945319,22.547012,900000094840007,,
深圳地铁,地铁13号线(石岩线),900000094840,高新北,1.091,6.29,113.945497,22.556822,900000094840017,,
深圳地铁,地铁13号线(石岩线),900000094840,石鼓,1.964,8.254,113.944008,22.574429,900000094840019,,
深圳地铁,地铁13号线(石岩线),900000094840,留仙洞,0.681,8.935,113.943543,22.580534,440300024058020,,
深圳地铁,地铁13号线(石岩线),900000094840,百旺,4.64,13.575,113.939193,22.622073,900000094840021,,
深圳地铁,地铁13号线(石岩线),900000094840,应人石,2.812,16.387,113.926469,22.644471,900000094840022,,
深圳地铁,地铁13号线(石岩线),900000094840,罗租,2.742,19.129,113.933819,22.668178,900000094840023,,
深圳地铁,地铁13号线(石岩线),900000094840,石岩,1.405,20.534,113.938218,22.680142,900000094840024,,
深圳地铁,地铁13号线(石岩线),900000094840,上屋,0.982,21.516,113.939795,22.688855,440300024046025,,
