系统,线路,线路ID,from_station,to_station,from_id,to_id,distance(km),year of segment opening
深圳地铁,地铁7号线,440300024050,深大丽湖,北大,440300024050031,440300024050032,1.041,
深圳地铁,地铁7号线,440300024050,北大,西丽湖,440300024050032,440300024050003,1.301,
深圳地铁,地铁7号线,440300024050,西丽湖,西丽,440300024050003,440300024050004,1.841,
深圳地铁,地铁7号线,440300024050,西丽,茶光,440300024050004,440300024050025,0.727,
深圳地铁,地铁7号线,440300024050,茶光,珠光,440300024050025,440300024050005,0.915,
深圳地铁,地铁7号线,440300024050,珠光,龙井,440300024050005,440300024050006,1.526,
深圳地铁,地铁7号线,440300024050,龙井,桃源村,440300024050006,440300024050007,0.876,
深圳地铁,地铁7号线,440300024050,桃源村,深云,440300024050007,440300024050008,1.265,
深圳地铁,地铁7号线,440300024050,深云,安托山,440300024050008,440300024050009,1.547,
深圳地铁,地铁7号线,440300024050,安托山,农林,440300024050009,440300024050010,1.536,
深圳地铁,地铁7号线,440300024050,农林,车公庙,440300024050010,440300024050011,0.916,
深圳地铁,地铁7号线,440300024050,车公庙,上沙,440300024050011,440300024050012,1.631,
深圳地铁,地铁7号线,440300024050,上沙,沙尾,440300024050012,440300024050013,0.841,
深圳地铁,地铁7号线,440300024050,沙尾,石厦,440300024050013,440300024050014,1.179,
深圳地铁,地铁7号线,440300024050,石厦,皇岗村,440300024050014,440300024050026,0.641,
深圳地铁,地铁7号线,440300024050,皇岗村,福民,440300024050026,440300024050015,0.626,
深圳地铁,地铁7号线,440300024050,福民,皇岗口岸,440300024050015,440300024050016,0.843,
深圳地铁,地铁7号线,440300024050,皇岗口岸,赤尾,440300024050016,440300024050017,1.453,
深圳地铁,地铁7号线,440300024050,赤尾,华强南,440300024050017,440300024050018,0.729,
深圳地铁,地铁7号线,440300024050,华强南,华强北,440300024050018,440300024050028,0.817,
深圳地铁,地铁7号线,440300024050,华强北,华新,440300024050028,440300024050019,0.521,
深圳地铁,地铁7号线,440300024050,华新,黄木岗,440300024050019,440300024050020,0.749,
深圳地铁,地铁7号线,440300024050,黄木岗,八卦岭,440300024050020,440300024046038,1.03,
深圳地铁,地铁7号线,440300024050,八卦岭,红岭北,440300024046038,440300024050022,0.993,
深圳地铁,地铁7号线,440300024050,红岭北,笋岗,440300024050022,440300024050029,0.733,
深圳地铁,地铁7号线,440300024050,笋岗,洪湖,440300024050029,440300024050030,1.184,
深圳地铁,地铁7号线,440300024050,洪湖,田贝,440300024050030,440300024050023,0.791,
深圳地铁,地铁7号线,440300024050,田贝,太安,440300024050023,440300024050024,1.0,
