系统,线路,线路ID,站名,站间距(km),累计里程(km),经度,纬度,station ID,pinyin,year of opening
苏州轨道交通,轨道交通7号线,900000061754,常楼,0.0,0.0,120.652778,31.411000,900000061754010,,
苏州轨道交通,轨道交通7号线,900000061754,登云,1.27,1.27,120.646247,31.401028,900000061754011,,
苏州轨道交通,轨道交通7号线,900000061754,蠡塘河路,1.269,2.539,120.644350,31.389734,900000061754012,,
苏州轨道交通,轨道交通7号线,900000061754,春申湖东路,0.815,3.354,120.644801,31.382412,900000061754013,,
苏州轨道交通,轨道交通7号线,900000061754,华元路东,0.715,4.069,120.645870,31.376047,900000061754014,,
苏州轨道交通,轨道交通7号线,900000061754,白荡北,0.981,5.05,120.647354,31.367312,900000061754015,,
苏州轨道交通,轨道交通7号线,900000061754,板泾,3.081,8.131,120.656466,31.340722,900000061754017,,
苏州轨道交通,轨道交通7号线,900000061754,洋泾,0.784,8.915,120.657297,31.333706,900000061754018,,
苏州轨道交通,轨道交通7号线,900000061754,积翠桥,1.504,10.419,120.660440,31.320448,900000061754019,,
苏州轨道交通,轨道交通7号线,900000061754,中央公园,0.851,11.27,120.661112,31.312819,320500022828017,,
苏州轨道交通,轨道交通7号线,900000061754,惹云桥,0.77,12.04,120.662865,31.306060,900000061754021,,
苏州轨道交通,轨道交通7号线,900000061754,黄天荡,1.037,13.077,120.663715,31.296763,900000055756021,,
苏州轨道交通,轨道交通7号线,900000061754,娄葑,0.842,13.919,120.665358,31.289321,900000061754023,,
苏州轨道交通,轨道交通7号线,900000061754,群力,1.154,15.073,120.666896,31.279030,900000061754024,,
苏州轨道交通,轨道交通7号线,900000061754,通园路南,1.065,16.138,120.668468,31.269543,900000039926035,,
苏州轨道交通,轨道交通7号线,900000061754,林家潭,1.521,17.659,120.674333,31.256819,900000061754026,,
苏州轨道交通,轨道交通7号线,900000061754,郭巷,0.88,18.539,120.673794,31.248922,320500022816033,,
苏州轨道交通,轨道交通7号线,900000061754,尹山,1.083,19.622,120.666708,31.241299,900000061754028,,
苏州轨道交通,轨道交通7号线,900000061754,金家桥南,1.992,21.614,120.645759,31.241396,900000061754029,,
苏州轨道交通,轨道交通7号线,900000061754,枫津路,0.839,22.453,120.637195,31.243206,900000061754030,,
苏州轨道交通,轨道交通7号线,900000061754,红庄,1.083,23.536,120.628762,31.236657,320500022810032,,
苏州轨道交通,轨道交通7号线,900000061754,蠡墅,1.003,24.539,120.621464,31.230146,900000061754003,,
苏州轨道交通,轨道交通7号线,900000061754,石湖莫舍,1.887,26.426,120.603001,31.223926,900000061754004,,
苏州轨道交通,轨道交通7号线,900000061754,越溪,1.129,27.555,120.596117,31.215656,900000061754005,,
苏州轨道交通,轨道交通7号线,900000061754,文溪路,1.34,28.895,120.596339,31.203609,900000061754006,,
苏州轨道交通,轨道交通7号线,900000061754,天鹅荡路,1.461,30.356,120.600472,31.190958,900000061754007,,
苏州轨道交通,轨道交通7号线,900000061754,苏州湾北,0.952,31.308,120.595072,31.183751,900000061754008,,
苏州轨道交通,轨道交通7号线,900000061754,木里,1.684,32.992,120.577445,31.182368,900000061754009,,
