系统,线路,线路ID,站名,站间距(km),累计里程(km),经度,纬度,station ID,pinyin,year of opening
无锡地铁,地铁2号线,900000029089,无锡东站,0.0,0.0,120.460118,31.596981,320200021050022,,
无锡地铁,地铁2号线,900000029089,迎宾广场,0.801,0.801,120.454474,31.591617,900000029089020,,
无锡地铁,地铁2号线,900000029089,映月湖公园,0.666,1.467,120.449698,31.587221,900000029089019,,
无锡地铁,地铁2号线,900000029089,查桥,1.863,3.33,120.431377,31.581120,900000029089018,,
无锡地铁,地铁2号线,900000029089,九里河公园,2.157,5.487,120.408619,31.580374,900000029089017,,
无锡地铁,地铁2号线,900000029089,云林,1.291,6.778,120.395030,31.579536,900000029089016,,
无锡地铁,地铁2号线,900000029089,庄桥,1.52,8.298,120.379073,31.578105,900000029089015,,
无锡地铁,地铁2号线,900000029089,东亭,1.527,9.825,120.363665,31.582134,900000029089014,,
无锡地铁,地铁2号线,900000029089,柏庄,1.267,11.092,120.351078,31.585997,900000029089013,,
无锡地铁,地铁2号线,900000029089,广益,0.924,12.016,120.341347,31.586566,900000029089012,,
无锡地铁,地铁2号线,900000029089,靖海,1.096,13.112,120.330414,31.583353,320200021052030,,
无锡地铁,地铁2号线,900000029089,上马墩,0.92,14.032,120.320767,31.582366,900000029089010,,
无锡地铁,地铁2号线,900000029089,东林广场,1.249,15.281,120.308394,31.578479,900000029089009,,
无锡地铁,地铁2号线,900000029089,三阳广场,0.866,16.147,120.299815,31.575787,320200021334016,,
无锡地铁,地铁2号线,900000029089,五爱广场,0.91,17.057,120.290551,31.573626,900000029089007,,
无锡地铁,地铁2号线,900000029089,梁溪大桥,0.812,17.869,120.286370,31.567255,900000029089006,,
无锡地铁,地铁2号线,900000029089,大王基,1.05,18.919,120.275666,31.564803,900000029089005,,
无锡地铁,地铁2号线,900000029089,河埒口,1.436,20.355,120.260863,31.562011,900000029089004,,
无锡地铁,地铁2号线,900000029089,小桃源,1.124,21.479,120.249470,31.559200,900000029089003,,
无锡地铁,地铁2号线,900000029089,荣巷,1.262,22.741,120.236493,31.556647,900000029089002,,
无锡地铁,地铁2号线,900000029089,梅园开原寺,1.723,24.464,120.219585,31.550948,900000029089001,,
