系统,线路,线路ID,站名,站间距(km),累计里程(km),经度,纬度,station ID,pinyin,year of opening
郑州地铁,地铁8号线,900000139439,天健湖,0.0,0.0,113.478690,34.808149,900000139439001,,
郑州地铁,地铁8号线,900000139439,轻工业大学,2.484,2.484,113.505896,34.808169,900000139439002,,
郑州地铁,地铁8号线,900000139439,祥营,1.666,4.15,113.524139,34.808070,900000139439003,,
郑州地铁,地铁8号线,900000139439,郑州大学,1.581,5.731,113.541443,34.807581,410100022629026,,
郑州地铁,地铁8号线,900000139439,银屏路,1.793,7.524,113.561073,34.808081,900000139439005,,
郑州地铁,地铁8号线,900000139439,冬青街,1.022,8.546,113.568358,34.801103,900000139439006,,
郑州地铁,地铁8号线,900000139439,南流,1.41,9.956,113.578714,34.791695,900000139439007,,
郑州地铁,地铁8号线,900000139439,大学科技园,2.382,12.338,113.604772,34.790799,900000139439008,,
郑州地铁,地铁8号线,900000139439,五龙口,0.801,13.139,113.613384,34.789430,900000139439009,,
郑州地铁,地铁8号线,900000139439,同乐,2.137,15.276,113.635653,34.795346,900000075776004,,
郑州地铁,地铁8号线,900000139439,省中医院,1.25,16.526,113.648224,34.799800,900000139439011,,
郑州地铁,地铁8号线,900000139439,白庙,1.635,18.161,113.666129,34.799543,900000080953007,,
郑州地铁,地铁8号线,900000139439,东风路,1.476,19.637,113.681655,34.795852,410100021064006,,
郑州地铁,地铁8号线,900000139439,枣庄,1.162,20.799,113.694320,34.794877,900000139439014,,
郑州地铁,地铁8号线,900000139439,小营,2.274,23.073,113.719221,34.794849,900000090761035,,
郑州地铁,地铁8号线,900000139439,龙湖中环南,1.803,24.876,113.738685,34.792133,900000075797016,,
郑州地铁,地铁8号线,900000139439,郑大一附院东区,2.279,27.155,113.763288,34.795579,900000139439017,,
郑州地铁,地铁8号线,900000139439,高铁公园,1.137,28.292,113.774913,34.791912,900000139439018,,
郑州地铁,地铁8号线,900000139439,畅和街,1.32,29.612,113.775918,34.780074,900000139439019,,
郑州地铁,地铁8号线,900000139439,郑州东站,2.318,31.93,113.777099,34.759251,410100022629004,,
郑州地铁,地铁8号线,900000139439,圃田西,2.425,34.355,113.793199,34.741918,900000075776020,,
郑州地铁,地铁8号线,900000139439,圃田,2.552,36.907,113.821086,34.743193,900000139439022,,
郑州地铁,地铁8号线,900000139439,省社科院,3.024,39.931,113.848797,34.758072,900000139439023,,
郑州地铁,地铁8号线,900000139439,福泽路,1.802,41.733,113.868513,34.758582,900000139439024,,
郑州地铁,地铁8号线,900000139439,李湖桥,1.285,43.018,113.882577,34.758596,900000139439025,,
郑州地铁,地铁8号线,900000139439,龙王庙,1.821,44.839,113.902502,34.758213,900000139439026,,
郑州地铁,地铁8号线,900000139439,绿博园,2.483,47.322,113.929507,34.760783,900000139439027,,
郑州地铁,地铁8号线,900000139439,鲁庙,1.687,49.009,113.947795,34.762895,900000139439028,,
