系统,线路,线路ID,from_station,to_station,from_id,to_id,distance(km),year of segment opening
大连地铁,地铁12号线,210200021329,河口,蔡大岭,210200021329011,210200021329003,1.832,
大连地铁,地铁12号线,210200021329,蔡大岭,黄泥川,210200021329003,210200021329004,4.0,
大连地铁,地铁12号线,210200021329,黄泥川,龙王塘,210200021329004,210200021329005,4.534,
大连地铁,地铁12号线,210200021329,龙王塘,塔河湾,210200021329005,210200021329006,5.527,
大连地铁,地铁12号线,210200021329,塔河湾,旅顺,210200021329006,210200021329007,8.012,
大连地铁,地铁12号线,210200021329,旅顺,铁山,210200021329007,210200021329010,8.007,
大连地铁,地铁12号线,210200021329,铁山,旅顺新港,210200021329010,210200021329009,2.882,
大连地铁,地铁13号线,900000113424,普兰店振兴街,普兰店开发区,900000113424001,900000113424002,3.083,
大连地铁,地铁13号线,900000113424,普兰店开发区,海湾高中,900000113424002,900000113424003,1.495,
大连地铁,地铁13号线,900000113424,海湾高中,大医三院,900000113424003,900000113424004,1.761,
大连地铁,地铁13号线,900000113424,大医三院,长店堡,900000113424004,900000113424005,3.27,
大连地铁,地铁13号线,900000113424,长店堡,石河北海,900000113424005,900000113424006,3.71,
大连地铁,地铁13号线,900000113424,石河北海,普湾体育场,900000113424006,900000113424007,1.985,
大连地铁,地铁13号线,900000113424,普湾体育场,石河黄旗,900000113424007,900000113424008,3.771,
大连地铁,地铁13号线,900000113424,石河黄旗,三十里堡,900000113424008,900000113424009,7.591,
大连地铁,地铁13号线,900000113424,三十里堡,二十里堡,900000113424009,900000113424010,7.98,
大连地铁,地铁13号线,900000113424,二十里堡,十三里,900000113424010,900000113424011,2.654,
大连地铁,地铁13号线,900000113424,十三里,九里,900000113424011,210200021335002,3.068,
大连地铁,地铁1号线,210200021331,姚家,大连北站,210200021331002,210200021331003,1.38,
大连地铁,地铁1号线,210200021331,大连北站,华北路,210200021331003,210200021331004,1.382,
大连地铁,地铁1号线,210200021331,华北路,华南北,210200021331004,210200021331005,1.135,
大连地铁,地铁1号线,210200021331,华南北,华南广场,210200021331005,210200021331023,1.192,
大连地铁,地铁1号线,210200021331,华南广场,千山路,210200021331023,210200021331006,1.229,
大连地铁,地铁1号线,210200021331,千山路,松江路,210200021331006,210200021331007,1.184,
大连地铁,地铁1号线,210200021331,松江路,东纬路,210200021331007,210200021331008,1.413,
大连地铁,地铁1号线,210200021331,东纬路,春柳,210200021331008,210200021331009,2.267,
大连地铁,地铁1号线,210200021331,春柳,香工街,210200021331009,210200021331010,0.776,
大连地铁,地铁1号线,210200021331,香工街,中长街,210200021331010,210200021331011,0.851,
大连地铁,地铁1号线,210200021331,中长街,兴工街,210200021331011,210200021331012,0.833,
大连地铁,地铁1号线,210200021331,兴工街,西安路,210200021331012,210200021331013,0.841,
大连地铁,地铁1号线,210200021331,西安路,富国街,210200021331013,210200021331014,1.196,
大连地铁,地铁1号线,210200021331,富国街,会展中心,210200021331014,210200021331024,0.822,
大连地铁,地铁1号线,210200021331,会展中心,星海广场,210200021331024,210200021331025,0.811,
大连地铁,地铁1号线,210200021331,星海广场,大医二院,210200021331025,210200021331026,1.097,
大连地铁,地铁1号线,210200021331,大医二院,黑石礁,210200021331026,210200021331027,1.356,
大连地铁,地铁1号线,210200021331,黑石礁,学苑广场,210200021331027,210200021331028,1.033,
大连地铁,地铁1号线,210200021331,学苑广场,海事大学,210200021331028,210200021331029,1.366,
大连地铁,地铁1号线,210200021331,海事大学,七贤岭,210200021331029,210200021331030,1.179,
大连地铁,地铁1号线,210200021331,七贤岭,河口,210200021331030,210200021329011,1.922,
大连地铁,地铁2号线,210200021333,大连北站,南关岭,210200021331003,210200021333037,1.671,
大连地铁,地铁2号线,210200021333,南关岭,体育中心,210200021333037,210200021333038,1.511,
大连地铁,地铁2号线,210200021333,体育中心,卫生中心,210200021333038,210200021333039,1.265,
大连地铁,地铁2号线,210200021333,卫生中心,后革,210200021333039,210200021333040,1.242,
大连地铁,地铁2号线,210200021333,后革,革镇堡,210200021333040,210200021333041,1.333,
大连地铁,地铁2号线,210200021333,革镇堡,中革,210200021333041,210200021333042,1.226,
大连地铁,地铁2号线,210200021333,中革,前革,210200021333042,210200021333043,1.779,
大连地铁,地铁2号线,210200021333,前革,辛寨子,210200021333043,210200021333035,1.365,
大连地铁,地铁2号线,210200021333,辛寨子,机场,210200021333035,210200021333011,2.426,
大连地铁,地铁2号线,210200021333,机场,虹港路,210200021333011,210200021333012,0.699,
大连地铁,地铁2号线,210200021333,虹港路,虹锦路,210200021333012,210200021333013,0.994,
大连地铁,地铁2号线,210200021333,虹锦路,红旗西路,210200021333013,210200021333014,2.232,
大连地铁,地铁2号线,210200021333,红旗西路,湾家,210200021333014,210200021333015,0.811,
大连地铁,地铁2号线,210200021333,湾家,马栏广场,210200021333015,210200021333016,1.21,
大连地铁,地铁2号线,210200021333,马栏广场,辽师大,210200021333016,210200021333017,0.934,
大连地铁,地铁2号线,210200021333,辽师大,交通大学,210200021333017,210200021333030,0.751,
大连地铁,地铁2号线,210200021333,交通大学,西安路,210200021333030,210200021331013,1.374,
大连地铁,地铁2号线,210200021333,西安路,联合路,210200021331013,210200021333020,0.976,
大连地铁,地铁2号线,210200021333,联合路,人民广场,210200021333020,210200021333021,1.264,
大连地铁,地铁2号线,210200021333,人民广场,一二九街,210200021333021,210200021333022,1.093,
大连地铁,地铁2号线,210200021333,一二九街,青泥洼桥,210200021333022,210200021333023,0.872,
大连地铁,地铁2号线,210200021333,青泥洼桥,友好广场,210200021333023,210200021333024,0.621,
大连地铁,地铁2号线,210200021333,友好广场,中山广场,210200021333024,210200021333025,0.582,
大连地铁,地铁2号线,210200021333,中山广场,港湾广场,210200021333025,210200021333026,1.519,
大连地铁,地铁2号线,210200021333,港湾广场,会议中心,210200021333026,210200021333027,1.349,
大连地铁,地铁2号线,210200021333,会议中心,东港,210200021333027,210200021333032,1.316,
大连地铁,地铁2号线,210200021333,东港,东海,210200021333032,210200021333033,1.273,
大连地铁,地铁2号线,210200021333,东海,海之韵,210200021333033,210200021333034,1.181,
大连地铁,地铁3号线,210200031346,大连站,香炉礁,210200031346002,210200031346003,2.28,
大连地铁,地铁3号线,210200031346,香炉礁,金家街,210200031346003,210200031346004,4.362,
大连地铁,地铁3号线,210200031346,金家街,泉水,210200031346004,210200031346005,3.955,
大连地铁,地铁3号线,210200031346,泉水,后盐,210200031346005,210200031346006,2.851,
大连地铁,地铁3号线,210200031346,后盐,大连湾,210200031346006,210200031346007,6.436,
大连地铁,地铁3号线,210200031346,大连湾,金马路,210200031346007,210200031346008,3.308,
大连地铁,地铁3号线,210200031346,金马路,开发区,210200031346008,210200031346009,2.723,
大连地铁,地铁3号线,210200031346,开发区,保税区,210200031346009,210200031346010,2.481,
大连地铁,地铁3号线,210200031346,保税区,双D港,210200031346010,210200031346011,5.993,
大连地铁,地铁3号线,210200031346,双D港,小窑湾,210200031346011,210200031346012,2.781,
大连地铁,地铁3号线,210200031346,小窑湾,金石滩,210200031346012,210200031346013,9.299,
大连地铁,地铁3号线支线,210200031356,九里,十九局,210200021335002,210200021335003,2.337,
大连地铁,地铁3号线支线,210200031356,十九局,和平路,210200021335003,210200031356004,2.462,
大连地铁,地铁3号线支线,210200031356,和平路,东山路,210200031356004,210200031356005,2.017,
大连地铁,地铁3号线支线,210200031356,东山路,鸿玮澜山,210200031356005,210200031354011,1.622,
大连地铁,地铁3号线支线,210200031356,鸿玮澜山,通世泰,210200031354011,210200031354010,2.089,
大连地铁,地铁3号线支线,210200031356,通世泰,开发区,210200031354010,210200031346009,1.744,
大连地铁,地铁5号线,900000094223,后关,后盐,900000094223001,210200031346006,3.478,
大连地铁,地铁5号线,900000094223,后盐,龙华路,210200031346006,900000094223003,0.821,
大连地铁,地铁5号线,900000094223,龙华路,泉水东,900000094223003,900000094223004,0.922,
大连地铁,地铁5号线,900000094223,泉水东,中华东路,900000094223004,900000094223005,1.166,
大连地铁,地铁5号线,900000094223,中华东路,甘北路,900000094223005,900000094223006,1.894,
大连地铁,地铁5号线,900000094223,甘北路,甘井子街,900000094223006,900000094223007,0.811,
大连地铁,地铁5号线,900000094223,甘井子街,梭鱼湾,900000094223007,900000094223008,1.269,
大连地铁,地铁5号线,900000094223,梭鱼湾,梭鱼湾南,900000094223008,900000094223009,1.127,
大连地铁,地铁5号线,900000094223,梭鱼湾南,大连站,900000094223009,210200031346002,3.506,
大连地铁,地铁5号线,900000094223,大连站,青泥洼桥,210200031346002,210200021333023,0.71,
大连地铁,地铁5号线,900000094223,青泥洼桥,劳动公园,210200021333023,900000094223012,1.015,
大连地铁,地铁5号线,900000094223,劳动公园,石葵路,900000094223012,900000094223013,1.199,
大连地铁,地铁5号线,900000094223,石葵路,青云街,900000094223013,900000094223018,0.777,
大连地铁,地铁5号线,900000094223,青云街,桃源,900000094223018,900000094223014,0.81,
大连地铁,地铁5号线,900000094223,桃源,秀月街,900000094223014,900000094223015,0.814,
大连地铁,地铁5号线,900000094223,秀月街,虎滩公园,900000094223015,900000094223016,1.364,
大连地铁,地铁5号线,900000094223,虎滩公园,虎滩新区,900000094223016,900000094223017,1.067,
大连地铁,地铁九里线,210200031354,和平路,东山路,210200031356004,210200031356005,2.017,
大连地铁,地铁九里线,210200031354,东山路,鸿玮澜山,210200031356005,210200031354011,1.622,
大连地铁,地铁九里线,210200031354,鸿玮澜山,通世泰,210200031354011,210200031354010,2.089,
大连地铁,地铁九里线,210200031354,通世泰,开发区,210200031354010,210200031346009,1.744,
大连地铁,地铁九里线,210200031354,开发区,金马路,210200031346009,210200031346008,2.723,
大连地铁,地铁九里线,210200031354,金马路,大连湾,210200031346008,210200031346007,3.308,
大连地铁,地铁九里线,210200031354,大连湾,后盐,210200031346007,210200031346006,6.436,
大连地铁,地铁九里线,210200031354,后盐,泉水,210200031346006,210200031346005,2.851,
大连地铁,地铁九里线,210200031354,泉水,金家街,210200031346005,210200031346004,3.955,
大连地铁,地铁九里线,210200031354,金家街,香炉礁,210200031346004,210200031346003,4.362,
大连地铁,地铁九里线,210200031354,香炉礁,大连站,210200031346003,210200031346002,2.28,
