系统,线路,线路ID,from_station,to_station,from_id,to_id,distance(km),year of segment opening
佛山地铁,佛山地铁2号线,900000075494,南庄,湖涌,900000075494001,900000075494002,2.28,
佛山地铁,佛山地铁2号线,900000075494,湖涌,绿岛湖,900000075494002,900000075494003,2.341,
佛山地铁,佛山地铁2号线,900000075494,绿岛湖,智慧新城,900000075494003,900000075494004,2.396,
佛山地铁,佛山地铁2号线,900000075494,智慧新城,张槎,900000075494004,900000075494005,1.262,
佛山地铁,佛山地铁2号线,900000075494,张槎,石湾,900000075494005,900000075494006,1.714,
佛山地铁,佛山地铁2号线,900000075494,石湾,沙岗,900000075494006,900000075494007,1.487,
佛山地铁,佛山地铁2号线,900000075494,沙岗,魁奇路,900000075494007,440600021959002,1.498,
佛山地铁,佛山地铁2号线,900000075494,魁奇路,石梁,440600021959002,900000075494009,1.047,
佛山地铁,佛山地铁2号线,900000075494,石梁,湾华,900000075494009,900000075494010,1.334,
佛山地铁,佛山地铁2号线,900000075494,湾华,登洲,900000075494010,900000075494011,2.254,
佛山地铁,佛山地铁2号线,900000075494,登洲,花卉世界,900000075494011,900000075494012,1.437,
佛山地铁,佛山地铁2号线,900000075494,花卉世界,仙涌,900000075494012,900000075494013,3.926,
佛山地铁,佛山地铁2号线,900000075494,仙涌,石洲,900000075494013,900000075494014,2.015,
佛山地铁,佛山地铁2号线,900000075494,石洲,林岳西,900000075494014,900000075494015,2.181,
佛山地铁,佛山地铁2号线,900000075494,林岳西,林岳东(2号线),900000075494015,900000075494016,1.283,
佛山地铁,佛山地铁2号线,900000075494,林岳东(2号线),广州南站,900000075494016,900000075494017,2.137,
佛山地铁,南海有轨电车1号线,900000170038,礌岗,华翠路,440600021959016,900000170038002,1.097,
佛山地铁,南海有轨电车1号线,900000170038,华翠路,夏西,900000170038002,900000170038003,0.812,
佛山地铁,南海有轨电车1号线,900000170038,夏西,夏东,900000170038003,900000170038004,0.978,
佛山地铁,南海有轨电车1号线,900000170038,夏东,康怡公园,900000170038004,900000170038005,0.882,
佛山地铁,南海有轨电车1号线,900000170038,康怡公园,平西,900000170038005,900000170038006,0.813,
佛山地铁,南海有轨电车1号线,900000170038,平西,平南,900000170038006,900000170038007,1.045,
佛山地铁,南海有轨电车1号线,900000170038,平南,玉器街,900000170038007,900000170038008,0.847,
佛山地铁,南海有轨电车1号线,900000170038,玉器街,中区,900000170038008,900000170038009,1.731,
佛山地铁,南海有轨电车1号线,900000170038,中区,三山新城北,900000170038009,900000170038010,0.91,
佛山地铁,南海有轨电车1号线,900000170038,三山新城北,文翰湖公园(季华实验室),900000170038010,900000170038011,0.458,
佛山地铁,南海有轨电车1号线,900000170038,文翰湖公园(季华实验室),三山新城南,900000170038011,900000165206032,1.409,
佛山地铁,南海有轨电车1号线,900000170038,三山新城南,林岳北,900000165206032,900000170038013,0.341,
佛山地铁,南海有轨电车1号线,900000170038,林岳北,林岳西,900000170038013,900000075494015,1.133,
佛山地铁,南海有轨电车1号线,900000170038,林岳西,林岳东,900000075494015,900000170038015,1.044,
