系统,线路,线路ID,站名,站间距(km),累计里程(km),经度,纬度,station ID,pinyin,year of opening
呼和浩特地铁,地铁1号线,900000077532,伊利健康谷,0.0,0.0,111.575004,40.784834,900000077532001,,
呼和浩特地铁,地铁1号线,900000077532,西二环路,1.806,1.806,111.592055,40.794695,900000077532020,,
呼和浩特地铁,地铁1号线,900000077532,孔家营,1.208,3.014,111.604646,40.799909,900000077532002,,
呼和浩特地铁,地铁1号线,900000077532,呼钢南路,1.167,4.181,111.616787,40.804968,900000077532003,,
呼和浩特地铁,地铁1号线,900000077532,西龙王庙,1.459,5.64,111.631969,40.811302,900000077532004,,
呼和浩特地铁,地铁1号线,900000077532,乌兰夫纪念馆,0.928,6.568,111.641578,40.815389,900000077532005,,
呼和浩特地铁,地铁1号线,900000077532,附属医院,1.235,7.803,111.655512,40.818873,900000077532006,,
呼和浩特地铁,地铁1号线,900000077532,新华广场,1.079,8.882,111.668066,40.820864,900000077532007,,
呼和浩特地铁,地铁1号线,900000077532,人民会堂,0.741,9.623,111.676241,40.823344,900000077532008,,
呼和浩特地铁,地铁1号线,900000077532,将军衙署,1.111,10.734,111.6889,40.826185,900000077532019,,
呼和浩特地铁,地铁1号线,900000077532,艺术学院,0.958,11.692,111.69971,40.828903,900000077532009,,
呼和浩特地铁,地铁1号线,900000077532,东影路,0.805,12.497,111.70887,40.830989,900000077532010,,
呼和浩特地铁,地铁1号线,900000077532,内蒙古展览馆,1.019,13.516,111.720493,40.833566,900000077532011,,
呼和浩特地铁,地铁1号线,900000077532,内蒙古博物院,0.997,14.513,111.731866,40.836071,900000077532012,,
呼和浩特地铁,地铁1号线,900000077532,市政府,1.349,15.862,111.747265,40.839462,900000077532013,,
呼和浩特地铁,地铁1号线,900000077532,呼和浩特东站,1.934,17.796,111.767643,40.847519,900000077532014,,
呼和浩特地铁,地铁1号线,900000077532,后不塔气,1.161,18.957,111.781405,40.848302,900000077532015,,
呼和浩特地铁,地铁1号线,900000077532,什兰岱,1.678,20.635,111.800674,40.852205,900000077532016,,
呼和浩特地铁,地铁1号线,900000077532,白塔西,0.974,21.609,111.811751,40.854772,900000077532017,,
呼和浩特地铁,地铁1号线,900000077532,坝堰(机场),1.126,22.735,111.824553,40.857728,900000077532018,,
呼和浩特地铁,轨道交通2号线,900000077536,塔利东路,0.0,0.0,111.777149,40.869462,900000077536001,,
呼和浩特地铁,轨道交通2号线,900000077536,新店,0.977,0.977,111.765874,40.867358,900000077536002,,
呼和浩特地铁,轨道交通2号线,900000077536,百合路,0.652,1.629,111.758645,40.865237,900000077536003,,
呼和浩特地铁,轨道交通2号线,900000077536,北山公园,1.007,2.636,111.747192,40.862606,900000077536004,,
呼和浩特地铁,轨道交通2号线,900000077536,丝绸之路大道,1.303,3.939,111.732427,40.859053,900000077536005,,
呼和浩特地铁,轨道交通2号线,900000077536,一家村,1.165,5.104,111.71858,40.859428,900000077536006,,
呼和浩特地铁,轨道交通2号线,900000077536,成吉思汗公园,1.187,6.291,111.704754,40.861566,900000077536007,,
呼和浩特地铁,轨道交通2号线,900000077536,毫沁营,1.207,7.498,111.690689,40.859396,900000077536008,,
呼和浩特地铁,轨道交通2号线,900000077536,成吉思汗广场,1.229,8.727,111.676287,40.857524,900000077536009,,
呼和浩特地铁,轨道交通2号线,900000077536,内蒙古体育馆,1.028,9.755,111.664229,40.855988,900000077536010,,
呼和浩特地铁,轨道交通2号线,900000077536,呼和浩特体育场,0.93,10.685,111.65592,40.850474,900000077536011,,
呼和浩特地铁,轨道交通2号线,900000077536,公主府,1.72,12.405,111.662245,40.835767,900000077536012,,
呼和浩特地铁,轨道交通2号线,900000077536,呼和浩特站,0.803,13.208,111.665677,40.829028,900000077536013,,
呼和浩特地铁,轨道交通2号线,900000077536,新华广场,0.93,14.138,111.668066,40.820864,900000077532007,,
呼和浩特地铁,轨道交通2号线,900000077536,中山路,0.666,14.804,111.670988,40.815302,900000077536014,,
呼和浩特地铁,轨道交通2号线,900000077536,大学西街,1.105,15.909,111.675658,40.806012,900000077536015,,
呼和浩特地铁,轨道交通2号线,900000077536,诺和木勒,0.893,16.802,111.679573,40.798548,900000077536016,,
呼和浩特地铁,轨道交通2号线,900000077536,水上公园,1.36,18.162,111.681343,40.78639,900000077536017,,
呼和浩特地铁,轨道交通2号线,900000077536,五里营,1.044,19.206,111.684912,40.777399,900000077536018,,
呼和浩特地铁,轨道交通2号线,900000077536,锡林公园,0.756,19.962,111.68746,40.770883,900000077536019,,
呼和浩特地铁,轨道交通2号线,900000077536,内大南校区,1.371,21.333,111.692463,40.759146,900000077536020,,
呼和浩特地铁,轨道交通2号线,900000077536,帅家营,1.285,22.618,111.706981,40.755604,900000077536021,,
呼和浩特地铁,轨道交通2号线,900000077536,喇嘛营,2.051,24.669,111.731336,40.755684,900000077536022,,
呼和浩特地铁,轨道交通2号线,900000077536,阿尔山路,1.388,26.057,111.747816,40.755465,900000077536023,,
