系统,线路,线路ID,from_station,to_station,from_id,to_id,distance(km),year of segment opening
深圳地铁,地铁10号线(坂田线),900000055265,双拥街,平湖,900000055265023,900000055265022,0.921,
深圳地铁,地铁10号线(坂田线),900000055265,平湖,禾花,900000055265022,900000055265021,0.979,
深圳地铁,地铁10号线(坂田线),900000055265,禾花,华南城,900000055265021,900000055265020,1.125,
深圳地铁,地铁10号线(坂田线),900000055265,华南城,木古,900000055265020,900000055265019,0.739,
深圳地铁,地铁10号线(坂田线),900000055265,木古,上李朗,900000055265019,900000055265018,1.763,
深圳地铁,地铁10号线(坂田线),900000055265,上李朗,凉帽山,900000055265018,900000055265017,1.196,
深圳地铁,地铁10号线(坂田线),900000055265,凉帽山,甘坑,900000055265017,900000055265016,1.359,
深圳地铁,地铁10号线(坂田线),900000055265,甘坑,雪象,900000055265016,900000055265015,2.936,
深圳地铁,地铁10号线(坂田线),900000055265,雪象,岗头,900000055265015,900000055265014,0.726,
深圳地铁,地铁10号线(坂田线),900000055265,岗头,华为,900000055265014,900000055265013,0.882,
深圳地铁,地铁10号线(坂田线),900000055265,华为,贝尔路,900000055265013,900000055265012,0.974,
深圳地铁,地铁10号线(坂田线),900000055265,贝尔路,坂田北,900000055265012,900000055265011,0.816,
深圳地铁,地铁10号线(坂田线),900000055265,坂田北,五和,900000055265011,440300024058013,0.94,
深圳地铁,地铁10号线(坂田线),900000055265,五和,光雅园,440300024058013,900000055265009,1.161,
深圳地铁,地铁10号线(坂田线),900000055265,光雅园,南坑,900000055265009,900000055265024,0.613,
深圳地铁,地铁10号线(坂田线),900000055265,南坑,雅宝,900000055265024,900000055265008,0.707,
深圳地铁,地铁10号线(坂田线),900000055265,雅宝,孖岭,900000055265008,440300024054024,4.085,
深圳地铁,地铁10号线(坂田线),900000055265,孖岭,冬瓜岭,440300024054024,900000055265006,0.892,
深圳地铁,地铁10号线(坂田线),900000055265,冬瓜岭,莲花村,900000055265006,440300024060026,1.311,
深圳地铁,地铁10号线(坂田线),900000055265,莲花村,岗厦北,440300024060026,440300024056027,1.148,
深圳地铁,地铁10号线(坂田线),900000055265,岗厦北,岗厦,440300024056027,440300024063025,0.386,
深圳地铁,地铁10号线(坂田线),900000055265,岗厦,福民,440300024063025,440300024050015,1.314,
深圳地铁,地铁10号线(坂田线),900000055265,福民,福田口岸,440300024050015,440300024074016,0.72,
深圳地铁,地铁11号线,440300024056,碧头,松岗,440300024056025,440300024046020,1.642,
深圳地铁,地铁11号线,440300024056,松岗,后亭,440300024046020,440300024056024,2.203,
深圳地铁,地铁11号线,440300024056,后亭,沙井,440300024056024,440300024056023,2.434,
深圳地铁,地铁11号线,440300024056,沙井,马安山,440300024056023,440300024056022,1.718,
深圳地铁,地铁11号线,440300024056,马安山,塘尾,440300024056022,440300024056021,1.662,
深圳地铁,地铁11号线,440300024056,塘尾,桥头,440300024056021,440300024056020,1.703,
深圳地铁,地铁11号线,440300024056,桥头,福永,440300024056020,440300024056009,1.697,
深圳地铁,地铁11号线,440300024056,福永,机场北,440300024056009,440300024056026,2.623,
深圳地铁,地铁11号线,440300024056,机场北,机场,440300024056026,440300024056019,3.407,
深圳地铁,地铁11号线,440300024056,机场,碧海湾,440300024056019,440300024056018,6.972,
深圳地铁,地铁11号线,440300024056,碧海湾,宝安,440300024056018,440300024056017,3.379,
深圳地铁,地铁11号线,440300024056,宝安,前海湾,440300024056017,440300024056006,2.649,
深圳地铁,地铁11号线,440300024056,前海湾,南山,440300024056006,440300024056005,3.001,
深圳地铁,地铁11号线,440300024056,南山,后海,440300024056005,440300024056016,2.157,
深圳地铁,地铁11号线,440300024056,后海,红树湾南,440300024056016,440300024054031,2.919,
深圳地铁,地铁11号线,440300024056,红树湾南,车公庙,440300024054031,440300024050011,5.777,
深圳地铁,地铁11号线,440300024056,车公庙,福田,440300024050011,440300024056002,2.811,
深圳地铁,地铁11号线,440300024056,福田,岗厦北,440300024056002,440300024056027,1.562,
深圳地铁,地铁11号线,440300024056,岗厦北,福星,440300024056027,440300024056029,1.398,
深圳地铁,地铁11号线,440300024056,福星,华强南,440300024056029,440300024050018,0.543,
深圳地铁,地铁11号线,440300024056,华强南,红岭南,440300024050018,440300024054004,2.001,
深圳地铁,地铁12号线(南宝线),900000094862,松岗,朗下,440300024046020,900000094862035,1.276,
深圳地铁,地铁12号线(南宝线),900000094862,朗下,步涌,900000094862035,900000094862036,1.325,
深圳地铁,地铁12号线(南宝线),900000094862,步涌,沙井古墟,900000094862036,900000094862037,1.516,
深圳地铁,地铁12号线(南宝线),900000094862,沙井古墟,沙蚝,900000094862037,900000094862038,0.872,
深圳地铁,地铁12号线(南宝线),900000094862,沙蚝,蚝乡,900000094862038,900000094862039,1.178,
深圳地铁,地铁12号线(南宝线),900000094862,蚝乡,海上田园东,900000094862039,900000094862001,1.385,
深圳地铁,地铁12号线(南宝线),900000094862,海上田园东,海上田园南,900000094862001,900000094862002,1.598,
深圳地铁,地铁12号线(南宝线),900000094862,海上田园南,国展北,900000094862002,900000075925005,1.703,
深圳地铁,地铁12号线(南宝线),900000094862,国展北,国展,900000075925005,900000075925004,0.805,
深圳地铁,地铁12号线(南宝线),900000094862,国展,福海西,900000075925004,900000094862005,1.451,
深圳地铁,地铁12号线(南宝线),900000094862,福海西,桥头西,900000094862005,900000094862006,1.006,
深圳地铁,地铁12号线(南宝线),900000094862,桥头西,福永,900000094862006,440300024056009,1.382,
深圳地铁,地铁12号线(南宝线),900000094862,福永,怀德,440300024056009,900000094862008,1.523,
深圳地铁,地铁12号线(南宝线),900000094862,怀德,福围,900000094862008,900000094862009,1.117,
深圳地铁,地铁12号线(南宝线),900000094862,福围,机场东,900000094862009,440300024063002,1.104,
深圳地铁,地铁12号线(南宝线),900000094862,机场东,兴围,440300024063002,900000094862011,1.3,
深圳地铁,地铁12号线(南宝线),900000094862,兴围,黄田,900000094862011,900000094862012,1.817,
深圳地铁,地铁12号线(南宝线),900000094862,黄田,钟屋南,900000094862012,900000094862013,1.901,
深圳地铁,地铁12号线(南宝线),900000094862,钟屋南,西乡桃源,900000094862013,900000094862014,0.896,
深圳地铁,地铁12号线(南宝线),900000094862,西乡桃源,平峦山,900000094862014,900000094862015,1.158,
深圳地铁,地铁12号线(南宝线),900000094862,平峦山,宝田一路,900000094862015,900000094862016,1.314,
深圳地铁,地铁12号线(南宝线),900000094862,宝田一路,宝安客运站,900000094862016,900000094862017,0.786,
深圳地铁,地铁12号线(南宝线),900000094862,宝安客运站,流塘,900000094862017,900000094862018,0.849,
深圳地铁,地铁12号线(南宝线),900000094862,流塘,上川,900000094862018,900000094862019,0.888,
深圳地铁,地铁12号线(南宝线),900000094862,上川,灵芝,900000094862019,440300024058023,1.354,
深圳地铁,地铁12号线(南宝线),900000094862,灵芝,新安公园,440300024058023,900000094862021,1.013,
深圳地铁,地铁12号线(南宝线),900000094862,新安公园,同乐南,900000094862021,900000094862022,1.043,
深圳地铁,地铁12号线(南宝线),900000094862,同乐南,中山公园,900000094862022,900000094862023,1.136,
深圳地铁,地铁12号线(南宝线),900000094862,中山公园,南头古城,900000094862023,900000094862024,0.956,
深圳地铁,地铁12号线(南宝线),900000094862,南头古城,桃园,900000094862024,440300024063013,0.777,
深圳地铁,地铁12号线(南宝线),900000094862,桃园,南山,440300024063013,440300024056005,0.841,
深圳地铁,地铁12号线(南宝线),900000094862,南山,南光,440300024056005,900000094862027,0.819,
深圳地铁,地铁12号线(南宝线),900000094862,南光,南油,900000094862027,440300024054036,0.735,
深圳地铁,地铁12号线(南宝线),900000094862,南油,四海,440300024054036,900000094862029,1.168,
深圳地铁,地铁12号线(南宝线),900000094862,四海,花果山,900000094862029,900000094862030,0.731,
深圳地铁,地铁12号线(南宝线),900000094862,花果山,海上世界,900000094862030,440300024076004,1.105,
深圳地铁,地铁12号线(南宝线),900000094862,海上世界,太子湾,440300024076004,900000094862032,1.427,
深圳地铁,地铁12号线(南宝线),900000094862,太子湾,左炮台东,900000094862032,900000094862033,1.407,
深圳地铁,地铁13号线(石岩线),900000094840,深圳湾口岸,人才公园,900000094840001,900000094840002,1.249,
深圳地铁,地铁13号线(石岩线),900000094840,人才公园,后海,900000094840002,440300024056016,0.679,
深圳地铁,地铁13号线(石岩线),900000094840,后海,科苑,440300024056016,440300024076011,1.022,
深圳地铁,地铁13号线(石岩线),900000094840,科苑,粤海门,440300024076011,440300024054033,0.635,
深圳地铁,地铁13号线(石岩线),900000094840,粤海门,深大,440300024054033,440300024063014,0.679,
