系统,线路,线路ID,站名,站间距(km),累计里程(km),经度,纬度,station ID,pinyin,year of opening
天津地铁,Z4线,900000076881,寨上,0.0,0.0,117.817838,39.227289,900000076881001,,
天津地铁,Z4线,900000076881,汉沽医院,1.248,1.248,117.830121,39.221343,900000076881002,,
天津地铁,Z4线,900000076881,中心渔港,2.225,3.473,117.850375,39.208928,900000076881003,,
天津地铁,Z4线,900000076881,玉砂道,3.993,7.466,117.818402,39.182932,900000076881004,,
天津地铁,Z4线,900000076881,航母公园,2.299,9.765,117.802015,39.166619,900000076881005,,
天津地铁,Z4线,900000076881,软件园,1.983,11.748,117.79206,39.150538,900000076881006,,
天津地铁,Z4线,900000076881,绿创园,2.048,13.796,117.77887,39.135219,900000076881007,,
天津地铁,Z4线,900000076881,和顺路,2.272,16.068,117.762927,39.118959,900000076881008,,
天津地铁,Z4线,900000076881,中新生态城,1.486,17.554,117.752486,39.108335,900000076881009,,
天津地铁,Z4线,900000076881,北塘,2.824,20.378,117.72555,39.093904,900000076881010,,
天津地铁,地铁10号线,900000079480,屿东城,0.0,0.0,117.27984,39.147214,120100021904017,,
天津地铁,地铁10号线,900000079480,崂山道,1.0,1.0,117.283592,39.1387,900000079480002,,
天津地铁,地铁10号线,900000079480,香山道,0.82,1.82,117.286522,39.131684,900000079480003,,
天津地铁,地铁10号线,900000079480,万山道,0.776,2.596,117.287628,39.124755,900000079480004,,
天津地铁,地铁10号线,900000079480,沙柳南路,0.827,3.423,117.288921,39.117388,120100021319018,,
天津地铁,地铁10号线,900000079480,方山道,0.807,4.23,117.289429,39.11014,900000079480006,,
天津地铁,地铁10号线,900000079480,金贸产业园,0.837,5.067,117.287541,39.102761,900000079480007,,
天津地铁,地铁10号线,900000079480,龙涵道,0.924,5.991,117.287063,39.094459,900000079480008,,
天津地铁,地铁10号线,900000079480,环宇道,1.134,7.125,117.285842,39.084306,900000079480009,,
天津地铁,地铁10号线,900000079480,柳林路,1.352,8.477,117.284779,39.072173,900000079480010,,
天津地铁,地铁10号线,900000079480,财经大学,1.14,9.617,117.276919,39.063938,120100021504022,,
天津地铁,地铁10号线,900000079480,微山路,1.487,11.104,117.259748,39.062922,900000079480012,,
天津地铁,地铁10号线,900000079480,玛钢厂,0.608,11.712,117.252721,39.062545,900000079480013,,
天津地铁,地铁10号线,900000079480,春海路,0.836,12.548,117.243057,39.06296,900000079480014,,
天津地铁,地铁10号线,900000079480,南珠桥,1.352,13.9,117.227425,39.063683,120100021321021,,
天津地铁,地铁10号线,900000079480,友谊南路,0.855,14.755,117.21752,39.063806,900000079480016,,
天津地铁,地铁10号线,900000079480,江湾二支路,1.007,15.762,117.205862,39.063799,900000079480017,,
天津地铁,地铁10号线,900000079480,丽江道,1.016,16.778,117.19417,39.062765,900000079480018,,
天津地铁,地铁10号线,900000079480,昌凌路,1.059,17.837,117.184695,39.056723,120100021323028,,
天津地铁,地铁10号线,900000079480,瑶环路,0.87,18.707,117.174953,39.054725,900000079480020,,
天津地铁,地铁10号线,900000079480,于台,1.408,20.115,117.162563,39.046497,900000079480022,,
天津地铁,地铁11号线,900000082333,水上公园西路,0.0,0.0,117.164606,39.099813,900000082333022,,
天津地铁,地铁11号线,900000082333,南开大学八里台,1.303,1.303,117.179299,39.102527,900000082333023,,
天津地铁,地铁11号线,900000082333,吴家窑,0.665,1.968,117.186144,39.099781,120100021500017,,
天津地铁,地铁11号线,900000082333,佟楼,1.057,3.025,117.198392,39.099749,900000082333025,,
天津地铁,地铁11号线,900000082333,迎宾馆,0.739,3.764,117.203106,39.094203,900000082333026,,
天津地铁,地铁11号线,900000082333,文化中心,0.953,4.717,117.206855,39.086142,120100021323023,,
天津地铁,地铁11号线,900000082333,医大二院,1.486,6.203,117.222935,39.081375,120100021325075,,
天津地铁,地铁11号线,900000082333,澧水道,0.924,7.127,117.233517,39.082621,120100021321019,,
天津地铁,地铁11号线,900000082333,内江路,1.288,8.415,117.24561,39.075834,900000082333030,,
天津地铁,地铁11号线,900000082333,陈塘,0.645,9.06,117.249458,39.070858,900000082333031,,
天津地铁,地铁11号线,900000082333,东江道,0.95,10.01,117.25995,39.068285,900000082333011,,
天津地铁,地铁11号线,900000082333,学苑北路,1.249,11.259,117.272234,39.074215,900000082333012,,
天津地铁,地铁11号线,900000082333,海河东路,1.024,12.283,117.276518,39.082801,900000082333013,,
天津地铁,地铁11号线,900000082333,环宇道,0.822,13.105,117.285842,39.084306,900000079480009,,
天津地铁,地铁11号线,900000082333,雪莲南路,1.226,14.331,117.29994,39.082974,900000082333015,,
天津地铁,地铁11号线,900000082333,招远路,0.959,15.29,117.310733,39.080929,900000082333016,,
天津地铁,地铁11号线,900000082333,东丽文体中心,1.563,16.853,117.328674,39.079021,900000082333017,,
天津地铁,地铁11号线,900000082333,驯海路,0.923,17.776,117.338756,39.07625,900000082333018,,
天津地铁,地铁11号线,900000082333,东丽一经路,1.016,18.792,117.349852,39.073214,900000082333019,,
天津地铁,地铁11号线,900000082333,东丽三经路,0.805,19.597,117.358351,39.070246,900000082333020,,
天津地铁,地铁11号线,900000082333,东丽六经路,1.502,21.099,117.374493,39.065196,900000082333021,,
天津地铁,地铁1号线,120100021504,刘园,0.0,0.0,117.115904,39.207953,120100021504002,,
天津地铁,地铁1号线,120100021504,瑞景新苑,1.003,1.003,117.12186,39.200203,120100021504003,,
天津地铁,地铁1号线,120100021504,佳园里,1.064,2.067,117.128158,39.191974,120100021504004,,
天津地铁,地铁1号线,120100021504,本溪路,1.216,3.283,117.139463,39.185432,120100021504005,,
天津地铁,地铁1号线,120100021504,勤俭道,1.457,4.74,117.153675,39.178342,120100021504006,,
天津地铁,地铁1号线,120100021504,洪湖里,1.091,5.831,117.161912,39.170889,120100021504007,,
天津地铁,地铁1号线,120100021504,西站,1.603,7.434,117.166787,39.156977,120100021325065,,
天津地铁,地铁1号线,120100021504,西北角,1.231,8.665,117.171661,39.146568,120100021504009,,
天津地铁,地铁1号线,120100021504,西南角,1.024,9.689,117.171996,39.137364,120100021504010,,
天津地铁,地铁1号线,120100021504,二纬路,0.818,10.507,117.174737,39.130318,120100021504011,,
天津地铁,地铁1号线,120100021504,海光寺,0.918,11.425,117.177534,39.122349,120100021504012,,
天津地铁,地铁1号线,120100021504,鞍山道,0.874,12.299,117.187336,39.120355,120100021504013,,
天津地铁,地铁1号线,120100021504,营口道,0.913,13.212,117.197685,39.118628,120100021500015,,
天津地铁,地铁1号线,120100021504,小白楼,1.584,14.796,117.215406,39.114911,120100021504015,,
天津地铁,地铁1号线,120100021504,下瓦房,1.258,16.054,117.222893,39.1052,120100021323021,,
天津地铁,地铁1号线,120100021504,南楼,1.027,17.081,117.223877,39.095998,120100021504017,,
天津地铁,地铁1号线,120100021504,土城,1.046,18.127,117.232283,39.089216,120100021504018,,
天津地铁,地铁1号线,120100021504,陈塘庄,1.537,19.664,117.248489,39.083497,120100021504019,,
天津地铁,地铁1号线,120100021504,复兴门,1.228,20.892,117.260182,39.077205,120100021504020,,
天津地铁,地铁1号线,120100021504,华山里,1.237,22.129,117.261895,39.06616,120100021504021,,
天津地铁,地铁1号线,120100021504,财经大学,1.32,23.449,117.276919,39.063938,120100021504022,,
天津地铁,地铁1号线,120100021504,双林,1.504,24.953,117.292143,39.057365,120100021504024,,
天津地铁,地铁1号线,120100021504,李楼,2.185,27.138,117.317171,39.054449,120100021504025,,
天津地铁,地铁1号线,120100021504,洪泥河东,2.511,29.649,117.344889,39.047609,120100021504027,,
天津地铁,地铁1号线,120100021504,高庄子,1.462,31.111,117.360797,39.043101,120100021504028,,
天津地铁,地铁1号线,120100021504,国家会展中心,2.545,33.656,117.383988,39.028975,120100021504030,,
天津地铁,地铁1号线,120100021504,国瑞路,0.977,34.633,117.390747,39.021933,120100021504031,,
天津地铁,地铁1号线,120100021504,东沽路,1.857,36.49,117.408398,39.012409,120100021504032,,
天津地铁,地铁1号线,120100021504,双桥河,2.249,38.739,117.431298,39.002798,120100021504034,,
天津地铁,地铁2号线,120100021904,滨海国际机场,0.0,0.0,117.362628,39.132116,120100021904021,,
天津地铁,地铁2号线,120100021904,空港经济区,3.711,3.711,117.335,39.1577,120100021904020,,
天津地铁,地铁2号线,120100021904,国山路,2.192,5.903,117.31,39.1541,120100021904019,,
天津地铁,地铁2号线,120100021904,登州路,1.272,7.175,117.296,39.1505,120100021904018,,
天津地铁,地铁2号线,120100021904,屿东城,1.441,8.616,117.27984,39.147214,120100021904017,,
天津地铁,地铁2号线,120100021904,翠阜新村,1.917,10.533,117.258,39.144,120100021904016,,
天津地铁,地铁2号线,120100021904,靖江路,1.198,11.731,117.244243,39.14252,120100021323017,,
天津地铁,地铁2号线,120100021904,顺驰桥,0.892,12.623,117.234,39.1414,120100021904014,,
天津地铁,地铁2号线,120100021904,远洋国际中心,1.247,13.87,117.221,39.1365,120100021904013,,
天津地铁,地铁2号线,120100021904,天津站,0.815,14.685,117.211693,39.137783,120100021500012,,
天津地铁,地铁2号线,120100021904,建国道意风区,0.942,15.627,117.200889,39.139008,120100021904011,,
天津地铁,地铁2号线,120100021904,东南角,0.944,16.571,117.190293,39.136881,120100021319010,,
