系统,线路,线路ID,from_station,to_station,from_id,to_id,distance(km),year of segment opening
温州轨道交通,轨道交通S1线,900000109349,桐岭,潘桥,900000109349018,900000109349017,2.259,
温州轨道交通,轨道交通S1线,900000109349,潘桥,动车南站,900000109349017,900000109349016,3.088,
温州轨道交通,轨道交通S1线,900000109349,动车南站,新桥,900000109349016,900000109349015,4.445,
温州轨道交通,轨道交通S1线,900000109349,新桥,德政,900000109349015,900000109349014,2.204,
温州轨道交通,轨道交通S1线,900000109349,德政,龙霞路,900000109349014,900000109349013,1.979,
温州轨道交通,轨道交通S1线,900000109349,龙霞路,惠民路,900000109349013,900000109349012,2.668,
温州轨道交通,轨道交通S1线,900000109349,惠民路,三垟湿地,900000109349012,900000109349011,1.824,
温州轨道交通,轨道交通S1线,900000109349,三垟湿地,龙腾路,900000109349011,900000109349010,5.065,
温州轨道交通,轨道交通S1线,900000109349,龙腾路,科技城,900000109349010,900000109349009,2.158,
温州轨道交通,轨道交通S1线,900000109349,科技城,瑶溪,900000109349009,900000109349008,2.691,
温州轨道交通,轨道交通S1线,900000109349,瑶溪,奥体中心,900000109349008,900000109349007,3.202,
温州轨道交通,轨道交通S1线,900000109349,奥体中心,永中,900000109349007,900000109349024,1.854,
温州轨道交通,轨道交通S1线,900000109349,永中,机场,900000109349024,900000109349023,1.872,
温州轨道交通,轨道交通S1线,900000109349,机场,灵昆,900000109349023,900000109349022,6.883,
温州轨道交通,轨道交通S1线,900000109349,灵昆,瓯江口,900000109349022,900000109349021,3.083,
温州轨道交通,轨道交通S1线,900000109349,瓯江口,瓯华,900000109349021,900000109349020,1.835,
温州轨道交通,轨道交通S1线,900000109349,瓯华,双瓯大道,900000109349020,900000109349019,1.966,
温州轨道交通,轨道交通S2线,900000153401,清东路,旭阳路,900000153401001,900000153401002,2.824,
温州轨道交通,轨道交通S2线,900000153401,旭阳路,万岙,900000153401002,900000153401003,2.916,
温州轨道交通,轨道交通S2线,900000153401,万岙,盐盆,900000153401003,900000153401004,2.718,
温州轨道交通,轨道交通S2线,900000153401,盐盆,新望,900000153401004,900000153401005,2.837,
温州轨道交通,轨道交通S2线,900000153401,新望,翁垟,900000153401005,900000153401006,2.188,
温州轨道交通,轨道交通S2线,900000153401,翁垟,柳市东,900000153401006,900000153401007,3.852,
温州轨道交通,轨道交通S2线,900000153401,柳市东,灵昆,900000153401007,900000109349022,7.563,
温州轨道交通,轨道交通S2线,900000153401,灵昆,机场,900000109349022,900000109349023,6.883,
温州轨道交通,轨道交通S2线,900000153401,机场,永兴,900000109349023,900000153401010,3.108,
温州轨道交通,轨道交通S2线,900000153401,永兴,沙城,900000153401010,900000153401011,2.386,
温州轨道交通,轨道交通S2线,900000153401,沙城,天河,900000153401011,900000153401012,2.954,
温州轨道交通,轨道交通S2线,900000153401,天河,海城,900000153401012,900000153401013,2.762,
温州轨道交通,轨道交通S2线,900000153401,海城,鲍田,900000153401013,900000153401014,4.653,
温州轨道交通,轨道交通S2线,900000153401,鲍田,大典下,900000153401014,900000153401015,2.46,
温州轨道交通,轨道交通S2线,900000153401,大典下,汀田,900000153401015,900000153401016,1.396,
温州轨道交通,轨道交通S2线,900000153401,汀田,莘塍,900000153401016,900000153401017,2.085,
温州轨道交通,轨道交通S2线,900000153401,莘塍,上望,900000153401017,900000153401018,1.741,
温州轨道交通,轨道交通S2线,900000153401,上望,上东路,900000153401018,900000153401019,1.167,
温州轨道交通,轨道交通S2线,900000153401,上东路,东山,900000153401019,900000153401020,1.679,
